basis,phase,output,input,mean,sd_across_fits
local,align,du,du,0.793116109211049,0.21098222000837558
local,align,du,dv,0.14089266180225526,0.16439442673532753
local,align,du,dw,0.08075883439760041,0.11672982744270186
local,align,du,roll,0.3319401010635172,0.23462756279857588
local,align,du,pitch,-0.00016146293728217504,0.18284098031732365
local,align,du,yaw,0.1450637076362287,0.2497174037895338
local,align,dv,du,-0.10049430736081003,0.22375060474473404
local,align,dv,dv,0.6904515539874577,0.17877253814692456
local,align,dv,dw,-0.16614892126069802,0.16236502432581906
local,align,dv,roll,0.014414606162178137,0.2959058388707303
local,align,dv,pitch,0.06851006878801955,0.31909815863056723
local,align,dv,yaw,0.29491446178103436,0.22321536727188734
local,align,dw,du,0.13345648160428752,0.37385392572716825
local,align,dw,dv,-0.1372297790646771,0.2755973333039441
local,align,dw,dw,0.7356577758993218,0.23750186736512616
local,align,dw,roll,0.030422979737284996,0.47316375949738926
local,align,dw,pitch,-0.4713626442172471,0.5495908531234137
local,align,dw,yaw,-0.023864480887479222,0.37808066241516003
local,align,roll,du,0.00358088916550687,0.030154751248510796
local,align,roll,dv,0.005398251025748564,0.024441242792173894
local,align,roll,dw,-0.004887906169168452,0.017002915455820646
local,align,roll,roll,0.6338596645719249,0.0361366227402811
local,align,roll,pitch,-0.02719507338922182,0.02378467204330569
local,align,roll,yaw,0.01519025263375672,0.03798914839704406
local,align,pitch,du,-0.019308863464676404,0.019673969992700036
local,align,pitch,dv,-0.007951248543949633,0.017415416512810283
local,align,pitch,dw,-0.006998252784071703,0.012360556221035556
local,align,pitch,roll,-0.016475176226327885,0.025810135132476052
local,align,pitch,pitch,0.6361749993403873,0.028790556989656695
local,align,pitch,yaw,-0.020527541962638993,0.026334995996557413
local,align,yaw,du,-0.03398293415688743,0.04763124693083693
local,align,yaw,dv,-0.024485116894699833,0.041527775201706744
local,align,yaw,dw,-0.015330484601341152,0.030038260980715194
local,align,yaw,roll,-0.058007924906284196,0.06177839681056143
local,align,yaw,pitch,0.012711583260112737,0.03266365218242116
local,align,yaw,yaw,0.5999902741956481,0.06299232239100876
local,enter,du,du,1.000918159354364,0.003280912950347691
local,enter,du,dv,0.0029284535762259664,0.004878321362561078
local,enter,du,dw,0.003157413679601452,0.0019760506730362453
local,enter,du,roll,0.006736649591660107,0.006024726400015656
local,enter,du,pitch,0.039945605321297185,0.003755909913717102
local,enter,du,yaw,0.0030877219189496285,0.003632264136555764
local,enter,dv,du,-0.0019275997357117967,0.00414961018543975
local,enter,dv,dv,0.9988633899087412,0.004833434435186987
local,enter,dv,dw,0.0025319150225545763,0.005128996211568595
local,enter,dv,roll,-0.008791993326930491,0.006272300602557592
local,enter,dv,pitch,0.009769411929635256,0.011220979669586757
local,enter,dv,yaw,0.010848576180265707,0.005276878688562398
