basis,output,input,coefficient
local,du,du,0.979592085812457
local,du,dv,0.044855476787622174
local,du,dw,-0.02816712546547925
local,du,roll,-0.012729171297850644
local,du,pitch,0.055756569771063594
local,du,yaw,0.02415164184888034
local,dv,du,0.012975308393183919
local,dv,dv,0.9982556753498394
local,dv,dw,0.01356743760022811
local,dv,roll,-0.040768262500969724
local,dv,pitch,0.006082106206119366
local,dv,yaw,0.003979329240124171
local,dw,du,-0.004561429938589554
local,dw,dv,-0.0004277700662886913
local,dw,dw,1.0071361853479432
local,dw,roll,-0.00032309205426396575
local,dw,pitch,-0.002739941691416194
local,dw,yaw,0.0011045315101411769
local,roll,du,-0.004360525348191277
local,roll,dv,0.015096260695559603
local,roll,dw,0.007246104384723233
local,roll,roll,0.9754366271317316
local,roll,pitch,0.015005932452316215
local,roll,yaw,0.03780067456841911
local,pitch,du,0.005834947922292145
local,pitch,dv,0.00976361072065173
local,pitch,dw,0.011925533121436968
local,pitch,roll,0.0074729154560578175
local,pitch,pitch,0.9943635870330034
local,pitch,yaw,-0.023633286685853752
local,yaw,du,0.005951533810687737
local,yaw,dv,-0.0021703118507936225
local,yaw,dw,0.000996599599848573
local,yaw,roll,-0.02489464486928558
local,yaw,pitch,-0.013428349437638772
local,yaw,yaw,0.005000223295883029
rotated-1,du,du,0.9991237476845561
rotated-1,du,dv,0.029223130831428672
rotated-1,du,dw,-0.019337520131116198
rotated-1,du,roll,0.009124875314766875
rotated-1,du,pitch,0.05179482707215252
rotated-1,du,yaw,0.005781058188878237
rotated-1,dv,du,0.019156815590551494
rotated-1,dv,dv,0.9705278270722096
rotated-1,dv,dw,0.02955779518047847
rotated-1,dv,roll,-0.03595809503866089
rotated-1,dv,pitch,-0.010554890215855865
rotated-1,dv,yaw,0.012842020919682689
rotated-1,dw,du,-0.0033947157920899747
rotated-1,dw,dv,-0.008044546808733434
rotated-1,dw,dw,1.0153323717534732
rotated-1,dw,roll,0.0013887982578306348
rotated-1,dw,pitch,-0.0345007415719335
rotated-1,dw,yaw,-0.004112518680497509
rotated-1,roll,du,0.013708587165170327
rotated-1,roll,dv,0.011210202941094805
rotated-1,roll,dw,0.001429197956766489
rotated-1,roll,roll,0.6904584268252195
rotated-1,roll,pitch,-0.08397820444618603
rotated-1,roll,yaw,-0.4208732940267348
rotated-1,pitch,du,0.007886181789903739
rotated-1,pitch,dv,-0.005574411929245404
rotated-1,pitch,dw,0.002196449338527166
rotated-1,pitch,roll,-0.123056014828283
rotated-1,pitch,pitch,0.9332238737966979
rotated-1,pitch,yaw,-0.18732109548079653
rotated-1,yaw,du,-0.006302148680872494
rotated-1,yaw,dv,-0.012477263051038877
rotated-1,yaw,dw,-0.0017344902636156614
rotated-1,yaw,roll,-0.46174281321077054
rotated-1,yaw,pitch,-0.15741796343566794
rotated-1,yaw,yaw,0.3511181368387011
