task,du,dv,dw,roll,pitch,yaw
Drawer,0.6246960365224348,1.754954916162594e-06,2.2038261318643776e-06,5.729483129411841e-06,6.9353230696147876e-06,4.2583862037393435e-06
Plate,0.6246960365224348,1.7549549161625936e-06,2.2038261318643776e-06,5.729483129411841e-06,6.935323069614788e-06,4.2583862037393435e-06
Free-yaw,0.637399818318527,0.5938527713368159,0.003986835027258158,0.005986228020394625,0.010656474730636157,0.028197626365120444
Heading,0.6408692214101581,0.6108791742010811,0.007235165521997335,0.009088265915320406,0.018644273868658905,0.2732536709188065
Knob,1.7480434708285763e-06,1.753906465726049e-06,1.7494081780184723e-06,1.784421577070178e-06,1.7871035514156813e-06,0.6239222816236749
Microwave,1.7480405159139258e-06,1.7539015014047283e-06,1.7494049337141264e-06,1.7704524272693202e-06,2.149435355428701e-06,0.6239222821921895
Bowl/Stove,0.6248975919196378,0.6239754164648428,0.5996955864332036,0.012894038677642342,0.011424028584140352,0.014940818486090593
Bowl/Plate,0.6248752126634453,0.6240223207987929,0.5994303105223866,0.0132208751934418,0.011474812510384595,0.014620606252822323
Cream/Bowl,0.6249008901521154,0.6240370030468558,0.5996928202107015,0.012867920441504381,0.011458817646534003,0.015040742481169931
Moka/Stove,0.6248752905583155,0.623949802777624,0.5994424844832196,0.013151606770261198,0.011385363496442013,0.014512795578936467
Wine/Cab.,0.6248772837381901,0.6238888807703518,0.5995709481234637,0.012924611228268656,0.011450888060949026,0.014753052359341236
Wine/Rack,0.638029875444096,0.6134926017133533,0.5995214318787975,0.012247644292872503,0.010308664022078421,0.579283301810605
Keyed,0.886385215141335,0.9166510717640398,0.9388742614348512,0.9049933231582856,0.9142828393939149,0.5309773858938326
