seed,subset_id,protocol,sample_size,repeat,model,fit_success,generator_rmse,task_error_mean_mm_equiv
20260818,100,random,20,0,Full operator,True,0.15409771064568129,2.9616979984293876
20260818,100,random,20,0,Generic RBF,True,0.16921606064196457,4.5108240950629686
20260818,100,random,20,0,Pdiag finite,True,0.14041438388610256,1.9565681959701902
20260818,100,random,20,0,TP-GMM SE(2),True,0.3209652441568511,4.1063647614242775
20260818,101,random,20,1,Full operator,True,0.45858598445792165,5.824960265267627
20260818,101,random,20,1,Generic RBF,True,0.39022032116461614,7.283469739692524
20260818,101,random,20,1,Pdiag finite,True,0.19190016243040503,2.435236052231674
20260818,101,random,20,1,TP-GMM SE(2),True,0.1535834824154547,5.460261348932116
20260818,102,random,20,2,Full operator,True,0.04773848441842948,1.231494852546493
20260818,102,random,20,2,Generic RBF,True,0.046853363126054356,1.2869838725228735
20260818,102,random,20,2,Pdiag finite,True,0.05326242970712528,1.5565381808645198
20260818,102,random,20,2,TP-GMM SE(2),True,0.11291310466226963,2.0081207393879676
20260818,103,random,20,3,Full operator,True,0.2035681366712318,3.4099481922843555
20260818,103,random,20,3,Generic RBF,True,0.2095484982500179,4.88808714013947
20260818,103,random,20,3,Pdiag finite,True,0.16722930691962584,2.085030259326524
20260818,103,random,20,3,TP-GMM SE(2),True,0.14560323887484947,4.160262569570889
20260818,104,random,20,4,Full operator,True,0.3231166926252772,5.337045570101114
20260818,104,random,20,4,Generic RBF,True,0.3141110241446043,6.795014454135748
20260818,104,random,20,4,Pdiag finite,True,0.18802187163228284,2.403052442280501
20260818,104,random,20,4,TP-GMM SE(2),True,0.14140824283508516,5.249486027049803
20260818,120,all,30,0,Full operator,True,0.19871200578728546,3.6474856791562535
20260818,120,all,30,0,Generic RBF,True,0.19590601057752047,4.509290194112303
20260818,120,all,30,0,Pdiag finite,True,0.16890277789935476,2.136021200548082
20260818,120,all,30,0,TP-GMM SE(2),True,0.14724543058555853,4.545517943316911
20260818,20,random,5,0,Full operator,True,0.1564150470290903,1.914589355946264
20260818,20,random,5,0,Generic RBF,True,0.15616808046909375,1.9412079906453372
20260818,20,random,5,0,Pdiag finite,True,0.14266186774921322,2.044490770550607
20260818,20,random,5,0,TP-GMM SE(2),True,0.15981255218771,3.1085746089810296
20260818,21,random,5,1,Full operator,True,1.2744848774637056,11.694369219541876
20260818,21,random,5,1,Generic RBF,True,0.7188661602281875,18.017012347101474
20260818,21,random,5,1,Pdiag finite,True,0.2679360585302908,4.066635261547375
20260818,21,random,5,1,TP-GMM SE(2),True,0.27164812107110575,9.222871432952426
20260818,22,random,5,2,Full operator,True,0.029667146273412517,1.1157421752501144
20260818,22,random,5,2,Generic RBF,True,0.02886648096681654,1.1752743069125164
20260818,22,random,5,2,Pdiag finite,True,0.0710619524598597,1.6134118662359018
20260818,22,random,5,2,TP-GMM SE(2),True,0.336679866042149,10.284801825882614
20260818,23,random,5,3,Full operator,True,0.09525069685548285,1.3586523721722121
20260818,23,random,5,3,Generic RBF,True,0.09231503200351525,2.210758426602713
20260818,23,random,5,3,Pdiag finite,True,0.12529471933903538,1.9777350059461773
20260818,23,random,5,3,TP-GMM SE(2),True,0.20261655280935278,4.099746557797751
20260818,24,random,5,4,Full operator,True,0.20958545501097986,1.899805857937281
20260818,24,random,5,4,Generic RBF,True,0.2075588883168608,1.9512093411671199
20260818,24,random,5,4,Pdiag finite,True,0.10863574726249324,1.7607571829383843
20260818,24,random,5,4,TP-GMM SE(2),True,0.27497164768238164,9.142389770293564
20260818,60,random,10,0,Full operator,True,0.09876920974105997,1.2988190555421004
20260818,60,random,10,0,Generic RBF,True,0.09861813821445925,1.3391658243862237
20260818,60,random,10,0,Pdiag finite,True,0.10111758028162297,1.5593054572722216
20260818,60,random,10,0,TP-GMM SE(2),True,0.11593818683156668,2.7661020645838574
20260818,61,random,10,1,Full operator,True,0.09026048641614343,1.6241655665391632
20260818,61,random,10,1,Generic RBF,True,0.0902021903641119,1.633754581066703
20260818,61,random,10,1,Pdiag finite,True,0.09392570499210867,1.9507839396980864
20260818,61,random,10,1,TP-GMM SE(2),True,0.1335805078711946,2.8721324232929435
20260818,62,random,10,2,Full operator,True,0.11006998886630744,1.6157855967567327
20260818,62,random,10,2,Generic RBF,True,0.10818169172045897,1.6474384031254343
20260818,62,random,10,2,Pdiag finite,True,0.08866366808309883,1.9496897738815862
20260818,62,random,10,2,TP-GMM SE(2),True,0.13259028978518872,2.867952001570864
20260818,63,random,10,3,Full operator,True,0.7879764714285857,9.710457822286337
20260818,63,random,10,3,Generic RBF,True,0.6105487644833201,13.355648691286925
20260818,63,random,10,3,Pdiag finite,True,0.2036795117607708,2.7151638269221143
20260818,63,random,10,3,TP-GMM SE(2),True,0.16513299757546657,5.817469430040109
20260818,64,random,10,4,Full operator,True,0.2114411058232,2.328712002277067
20260818,64,random,10,4,Generic RBF,True,0.21015394154444583,2.3752297284547517
20260818,64,random,10,4,Pdiag finite,True,0.16955244626971266,2.146643464072778
20260818,64,random,10,4,TP-GMM SE(2),True,0.13980625464463098,3.6477276762893878
20270818,100,random,20,0,Full operator,True,0.11774068388704118,1.871079379330682
20270818,100,random,20,0,Generic RBF,True,0.11746931719094994,1.9330892636728714
20270818,100,random,20,0,Pdiag finite,True,0.11231080516268072,2.0655834548246013
20270818,100,random,20,0,TP-GMM SE(2),True,0.09577810968152291,2.2286623325243493
20270818,101,random,20,1,Full operator,True,0.10401048599076727,2.2014299715558923
20270818,101,random,20,1,Generic RBF,True,0.10409722715337015,2.204992225528418
20270818,101,random,20,1,Pdiag finite,True,0.11202831771652377,2.2167187698949746
20270818,101,random,20,1,TP-GMM SE(2),True,0.12002364265263718,2.3371753103590285
20270818,102,random,20,2,Full operator,True,0.10082725677378421,2.038493106014042
20270818,102,random,20,2,Generic RBF,True,0.10083463567608604,2.0552352753408543
20270818,102,random,20,2,Pdiag finite,True,0.109980867385048,2.269493746051353
20270818,102,random,20,2,TP-GMM SE(2),True,0.10516091146767505,2.512491199172813
20270818,103,random,20,3,Full operator,True,0.14761296152834288,2.215816384996492
20270818,103,random,20,3,Generic RBF,True,0.1471822519654624,2.233764967378871
20270818,103,random,20,3,Pdiag finite,True,0.13338582185510703,2.378526160505486
20270818,103,random,20,3,TP-GMM SE(2),True,0.12916815384161284,2.8947712941200883
20270818,104,random,20,4,Full operator,True,0.15951066618246235,2.2073498798634246
20270818,104,random,20,4,Generic RBF,True,0.158130771230461,2.2273032906315127
20270818,104,random,20,4,Pdiag finite,True,0.15413294529218396,2.368140709490512
20270818,104,random,20,4,TP-GMM SE(2),True,0.1269449302114841,4.6714870596233204
20270818,120,all,30,0,Full operator,True,0.09604382765806764,1.9322714151867442
20270818,120,all,30,0,Generic RBF,True,0.09606208758113637,1.9425125136855763
20270818,120,all,30,0,Pdiag finite,True,0.11306526083440363,2.1908100888680675
20270818,120,all,30,0,TP-GMM SE(2),True,0.10631029691006122,2.8477002967761202
