panel,condition,sample_size,fit_count,generator,phase,mean_relevance,std_relevance,displayed_in_figure
a,keyed_insertion,30,18,du,align,0.5750875500136042,0.08338408198849423,True
a,keyed_insertion,30,18,du,enter,0.9966351734236655,0.007971661182295182,True
a,keyed_insertion,30,18,du,unlock,0.9900896676020596,0.018309840740688622,True
a,keyed_insertion,30,18,du,insert,0.98372846952601,0.027896234561178745,True
a,keyed_insertion,30,18,dv,align,0.6955542862826518,0.11610697903457225,True
a,keyed_insertion,30,18,dv,enter,0.9988431633868219,0.005201296466249956,True
a,keyed_insertion,30,18,dv,unlock,0.9899870988663036,0.017797218179483175,True
a,keyed_insertion,30,18,dv,insert,0.9822197385203835,0.03368187216840399,True
a,keyed_insertion,30,18,dw,align,0.749316978656212,0.12873679443430264,True
a,keyed_insertion,30,18,dw,enter,1.0002541740798343,0.015493135632657593,True
a,keyed_insertion,30,18,dw,unlock,1.0001008622682634,0.003574862018766112,True
a,keyed_insertion,30,18,dw,insert,1.0058250307350947,0.005549866444367475,True
a,keyed_insertion,30,18,roll,align,0.6633830419675828,0.01988278400618439,True
a,keyed_insertion,30,18,roll,enter,1.000601992419929,0.00212636851920784,True
a,keyed_insertion,30,18,roll,unlock,0.9836942434412337,0.009912574620955402,True
a,keyed_insertion,30,18,roll,insert,0.9722940148043988,0.017288491303946028,True
a,keyed_insertion,30,18,pitch,align,0.6305204727550613,0.02142620162187611,True
a,keyed_insertion,30,18,pitch,enter,1.0055321057353128,0.006416206917616418,True
a,keyed_insertion,30,18,pitch,unlock,1.0106681841497587,0.011501912738900248,True
a,keyed_insertion,30,18,pitch,insert,1.0104105949355286,0.02106401500741223,True
a,keyed_insertion,30,18,yaw,align,0.5431052728745905,0.03912924608491397,True
a,keyed_insertion,30,18,yaw,enter,0.9992733663085726,0.0016095690577681947,True
a,keyed_insertion,30,18,yaw,unlock,0.48578939012536043,0.01743704687612186,True
a,keyed_insertion,30,18,yaw,insert,0.09574151426680622,0.018880017364480164,True
b,multigen_insertion,30,18,du,align,0.5971401114479588,0.06158702173973378,True
b,multigen_insertion,30,18,du,enter,0.9964596209372678,0.007879971947292333,True
b,multigen_insertion,30,18,du,unlock,0.7639207245760968,0.01884834567038531,True
b,multigen_insertion,30,18,du,insert,0.021180371300737095,0.02219243020175802,True
b,multigen_insertion,30,18,dv,align,0.6692162285347457,0.12422333742047663,True
b,multigen_insertion,30,18,dv,enter,0.9997464905550145,0.004728141465529084,True
b,multigen_insertion,30,18,dv,unlock,0.9869403664973537,0.022001568788723665,True
b,multigen_insertion,30,18,dv,insert,0.9796267033145557,0.03560764317957992,True
b,multigen_insertion,30,18,dw,align,0.7501365883858453,0.1305181612436777,True
b,multigen_insertion,30,18,dw,enter,1.0013374672217856,0.016591830576554115,True
b,multigen_insertion,30,18,dw,unlock,0.9934380284596221,0.002689522590096502,True
b,multigen_insertion,30,18,dw,insert,0.9686744246985701,0.008296011112546964,True
b,multigen_insertion,30,18,roll,align,0.6669474879995723,0.02291039342663995,True
b,multigen_insertion,30,18,roll,enter,1.0000799745214668,0.0013752946264006965,True
b,multigen_insertion,30,18,roll,unlock,0.978838682190109,0.01222115088882784,True
b,multigen_insertion,30,18,roll,insert,0.9737594719927447,0.017911116208489855,True
b,multigen_insertion,30,18,pitch,align,0.6267969332141454,0.01611482987299112,True
b,multigen_insertion,30,18,pitch,enter,1.0059314550908407,0.006314008772898469,True
b,multigen_insertion,30,18,pitch,unlock,1.0125043307013286,0.013125543645891833,True
b,multigen_insertion,30,18,pitch,insert,1.0024759888722063,0.008542084864783736,True
b,multigen_insertion,30,18,yaw,align,0.5424910727371204,0.028156501415389716,True
b,multigen_insertion,30,18,yaw,enter,0.9992759742639239,0.0015738341861471926,True
b,multigen_insertion,30,18,yaw,unlock,0.3812146021952697,0.010530364596430353,True
b,multigen_insertion,30,18,yaw,insert,0.07987673574529944,0.01002026204385924,True
c,keyed_insertion,30,18,du,align,0.5750875500136042,0.08338408198849423,False
