model,episode,condition_id,generator,response_error_mm_equiv,response_endpoint_error_mm_equiv,task_error_mm_equiv,task_endpoint_error_mm_equiv
Frame-weighted,episode_0,0,yaw,5.872952746005206,8.220433393615515,2.482272720006692,0.14489551815347448
Frame-weighted,episode_1,1,yaw,2.4429414193178323,3.7613951513250607,1.0405361152615062,0.17600364115326142
Frame-weighted,episode_4,3,yaw,3.888605983401019,5.166172080252599,1.965364180998528,0.1697428587755781
Frame-weighted,episode_5,4,yaw,7.501342737336266,9.654491958610661,3.852132863865963,0.13630602734116667
Frame-weighted,episode_7,5,translation,3.9105947051957908,6.361478705409376,3.8970232827740445,6.324885139784536
Frame-weighted,episode_9,6,translation,17.212728849628505,6.555128290369394,17.19784391635702,6.514495241129606
Frame-weighted,episode_11,7,translation,4.524990887761341,6.058252161070208,4.506614229839141,6.022396924666899
Frame-weighted,episode_12,8,translation,3.188212515867349,6.641489778283753,3.17454119088817,6.606199767634126
Phase scalar GP,episode_0,0,yaw,5.8729005643706875,8.222069164743738,2.482266615386457,0.14487213200364188
Phase scalar GP,episode_1,1,yaw,2.4429728254599175,3.762140903039842,1.0405438631886794,0.17598004740226153
Phase scalar GP,episode_4,3,yaw,3.8885312295860213,5.167200510526582,1.9652763775505013,0.16971649702912514
Phase scalar GP,episode_5,4,yaw,7.501273474849876,9.656410035067388,3.8521464275066433,0.13628139628448638
Phase scalar GP,episode_7,5,translation,3.9098115346955886,6.359779155533695,3.896237493047879,6.323160549688107
Phase scalar GP,episode_9,6,translation,17.213175283219684,6.553493225968927,17.19829050193701,6.51283418741322
Phase scalar GP,episode_11,7,translation,4.525141722414123,6.0565841514213625,4.506765122297071,6.020703556941097
Phase scalar GP,episode_12,8,translation,3.187975449050808,6.63981424867598,3.174304938451252,6.604500677063313
TP-GMM additive,episode_0,0,yaw,3.0121281078138167,0.13985764594988578,2.675843524659428,0.1376804350710735
TP-GMM additive,episode_1,1,yaw,1.241240968865511,0.1443893266179305,1.1290734812152459,0.14398281192770448
TP-GMM additive,episode_4,3,yaw,1.216155576134642,0.14757631151021236,1.051163631632813,0.1469504165553477
TP-GMM additive,episode_5,4,yaw,4.194216887621913,0.10185821907909791,3.862627043265269,0.08534640495504366
TP-GMM additive,episode_7,5,translation,2.7343785489489973,0.5924175398985677,2.6613964792827356,0.5924147609069329
TP-GMM additive,episode_9,6,translation,15.164427426902177,0.5107138770512994,15.127022164891677,0.5106902095563951
TP-GMM additive,episode_11,7,translation,2.546040327497353,0.5405967126316852,2.5199370249200457,0.539564916071717
TP-GMM additive,episode_12,8,translation,1.0455366971630786,0.19460698875419516,1.0115999301246137,0.1925703911273534
TP-GMM SE(2),episode_0,0,yaw,4.274459596787309,0.12366015084284848,3.9683986626602485,0.12126165630056268
TP-GMM SE(2),episode_1,1,yaw,2.2540216218740357,0.17810536105349492,2.1456302653737453,0.17779309231769497
TP-GMM SE(2),episode_4,3,yaw,1.7348158136986922,0.11329225592668443,1.5661981991671952,0.11244697838986602
TP-GMM SE(2),episode_5,4,yaw,3.86562775675887,0.15854044673603188,3.5506885520771814,0.1483835080476515
TP-GMM SE(2),episode_7,5,translation,2.9324054509705757,0.586166777677098,2.8615077463815335,0.5861629557453326
TP-GMM SE(2),episode_9,6,translation,15.253372306092475,0.5289151447366486,15.215609558900358,0.5288904114102764
TP-GMM SE(2),episode_11,7,translation,2.548162516010569,0.522415938272131,2.523623511352076,0.5213674404700427
TP-GMM SE(2),episode_12,8,translation,1.4732925644313637,0.186845567382841,1.439797211910372,0.1847534082605017
Generic RBF,episode_0,0,yaw,2.2010768493343953,0.17224623531923794,2.041170918945584,0.17224241763352388
Generic RBF,episode_1,1,yaw,0.4004915740760572,0.0861294419667202,0.39832769006723473,0.0861176622292018
Generic RBF,episode_4,3,yaw,1.778314730104499,0.14105351787335269,1.7637885505696442,0.1407215592639778
Generic RBF,episode_5,4,yaw,2.55002204463855,0.01806975533206794,2.4407608824288616,0.00835336606452719
Generic RBF,episode_7,5,translation,2.0257933672508734,0.5046867928125671,2.0228997306317353,0.5041885525322011
Generic RBF,episode_9,6,translation,14.721086766231362,0.38495993013863933,14.720929909623305,0.38465555213549213
Generic RBF,episode_11,7,translation,2.440362379160167,0.5852393482103727,2.43931555018884,0.5837381940825606
Generic RBF,episode_12,8,translation,0.7099819452931496,0.1306213048468788,0.7027772593542639,0.12627350922654473
Full operator,episode_0,0,yaw,2.1804484147732035,0.17265924418838902,2.020492491055431,0.1726555463936154
Full operator,episode_1,1,yaw,0.3737100973833348,0.08590019132997564,0.3716208187755455,0.08588794470177824
Full operator,episode_4,3,yaw,1.7638207693477506,0.14084283686067983,1.7493232879140999,0.140507313330322
Full operator,episode_5,4,yaw,2.534510418399381,0.01813339679352117,2.425360498387328,0.00859069523057405
Full operator,episode_7,5,translation,2.0234746242116373,0.5050539992785855,2.020577996935933,0.504557102567843
Full operator,episode_9,6,translation,14.716991539329666,0.3851888578230372,14.716832609782346,0.38488833060665884
Full operator,episode_11,7,translation,2.4340282770325263,0.5844389355332273,2.43298104179039,0.5829422012473173
Full operator,episode_12,8,translation,0.6992202892672205,0.13051861699886702,0.6921107910690223,0.1261245887483763
Pdiag pointwise,episode_0,0,yaw,2.6590943277803736,0.10060353553576076,2.4965156180585213,0.10060321099587549
Pdiag pointwise,episode_1,1,yaw,1.015177460708601,0.11939924230647685,1.0127116560462632,0.1193802461205256
Pdiag pointwise,episode_4,3,yaw,1.9305293221921946,0.09847017899553998,1.9154672346751602,0.09805960234395734
Pdiag pointwise,episode_5,4,yaw,3.921448279493723,0.09082187879021174,3.80882983627418,0.08913781305914385
Pdiag pointwise,episode_7,5,translation,2.0385954271237754,0.5756497170124283,2.037107391917466,0.5750039499426466
Pdiag pointwise,episode_9,6,translation,14.785820895677872,0.4822575491514368,14.78539720981866,0.481837340519009
Pdiag pointwise,episode_11,7,translation,2.5421839798205217,0.5913124313761164,2.541227561587565,0.5891550233803385
Pdiag pointwise,episode_12,8,translation,0.7786209888713727,0.117469788466893,0.7735922395737507,0.11480862015768281
Pdiag finite,episode_0,0,yaw,2.529239380911461,0.3991138798313643,2.236235900904297,0.13227501470333555
Pdiag finite,episode_1,1,yaw,0.6444594692283553,0.383770010837817,0.6261295302171112,0.342031571586019
Pdiag finite,episode_4,3,yaw,1.9100529088971714,0.39486305104067654,1.8813116491178912,0.32248802708128865
Pdiag finite,episode_5,4,yaw,3.102335485522033,0.48003055131431166,2.95253075739569,0.14173983764106124
Pdiag finite,episode_7,5,translation,1.7872190720068604,0.736626428557868,1.7863778206707146,0.7366080772870522
Pdiag finite,episode_9,6,translation,14.727600147033959,0.6001636962254608,14.726778771056322,0.597855459860041
Pdiag finite,episode_11,7,translation,2.662361881064701,0.8371183804086624,2.6610026908714293,0.8369246923857314
Pdiag finite,episode_12,8,translation,0.7159240417023571,0.30458415729675903,0.7127471419356008,0.30448941578924377
