baseline,episode,condition_id,generator,metric,baseline_minus_pdiag_mm_equiv
Frame-weighted,episode_0,0,yaw,response_error_mm_equiv,3.3437133650937447
Frame-weighted,episode_1,1,yaw,response_error_mm_equiv,1.798481950089477
Frame-weighted,episode_4,3,yaw,response_error_mm_equiv,1.9785530745038475
Frame-weighted,episode_5,4,yaw,response_error_mm_equiv,4.399007251814233
Frame-weighted,episode_7,5,translation,response_error_mm_equiv,2.1233756331889304
Frame-weighted,episode_9,6,translation,response_error_mm_equiv,2.4851287025945457
Frame-weighted,episode_11,7,translation,response_error_mm_equiv,1.8626290066966398
Frame-weighted,episode_12,8,translation,response_error_mm_equiv,2.4722884741649915
Frame-weighted,episode_0,0,yaw,response_endpoint_error_mm_equiv,7.821319513784151
Frame-weighted,episode_1,1,yaw,response_endpoint_error_mm_equiv,3.3776251404872437
Frame-weighted,episode_4,3,yaw,response_endpoint_error_mm_equiv,4.771309029211922
Frame-weighted,episode_5,4,yaw,response_endpoint_error_mm_equiv,9.17446140729635
Frame-weighted,episode_7,5,translation,response_endpoint_error_mm_equiv,5.624852276851509
Frame-weighted,episode_9,6,translation,response_endpoint_error_mm_equiv,5.9549645941439335
Frame-weighted,episode_11,7,translation,response_endpoint_error_mm_equiv,5.221133780661546
Frame-weighted,episode_12,8,translation,response_endpoint_error_mm_equiv,6.336905620986994
Frame-weighted,episode_0,0,yaw,task_error_mm_equiv,0.24603681910239494
Frame-weighted,episode_1,1,yaw,task_error_mm_equiv,0.4144065850443951
Frame-weighted,episode_4,3,yaw,task_error_mm_equiv,0.08405253188063688
Frame-weighted,episode_5,4,yaw,task_error_mm_equiv,0.8996021064702728
Frame-weighted,episode_7,5,translation,task_error_mm_equiv,2.1106454621033297
Frame-weighted,episode_9,6,translation,task_error_mm_equiv,2.471065145300697
Frame-weighted,episode_11,7,translation,task_error_mm_equiv,1.8456115389677121
Frame-weighted,episode_12,8,translation,task_error_mm_equiv,2.4617940489525694
Frame-weighted,episode_0,0,yaw,task_endpoint_error_mm_equiv,0.012620503450138931
Frame-weighted,episode_1,1,yaw,task_endpoint_error_mm_equiv,-0.16602793043275757
Frame-weighted,episode_4,3,yaw,task_endpoint_error_mm_equiv,-0.15274516830571055
Frame-weighted,episode_5,4,yaw,task_endpoint_error_mm_equiv,-0.005433810299894565
Frame-weighted,episode_7,5,translation,task_endpoint_error_mm_equiv,5.588277062497484
Frame-weighted,episode_9,6,translation,task_endpoint_error_mm_equiv,5.9166397812695655
Frame-weighted,episode_11,7,translation,task_endpoint_error_mm_equiv,5.1854722322811675
Frame-weighted,episode_12,8,translation,task_endpoint_error_mm_equiv,6.301710351844882
Phase scalar GP,episode_0,0,yaw,response_error_mm_equiv,3.3436611834592265
Phase scalar GP,episode_1,1,yaw,response_error_mm_equiv,1.7985133562315623
Phase scalar GP,episode_4,3,yaw,response_error_mm_equiv,1.9784783206888499
Phase scalar GP,episode_5,4,yaw,response_error_mm_equiv,4.398937989327843
Phase scalar GP,episode_7,5,translation,response_error_mm_equiv,2.1225924626887283
Phase scalar GP,episode_9,6,translation,response_error_mm_equiv,2.485575136185725
Phase scalar GP,episode_11,7,translation,response_error_mm_equiv,1.8627798413494219
Phase scalar GP,episode_12,8,translation,response_error_mm_equiv,2.4720514073484505
Phase scalar GP,episode_0,0,yaw,response_endpoint_error_mm_equiv,7.822955284912374
Phase scalar GP,episode_1,1,yaw,response_endpoint_error_mm_equiv,3.378370892202025
Phase scalar GP,episode_4,3,yaw,response_endpoint_error_mm_equiv,4.772337459485906
