model,generator,response_error_mm_equiv_mean,response_error_mm_equiv_median,response_error_mm_equiv_min,response_error_mm_equiv_max,response_endpoint_error_mm_equiv_mean,response_endpoint_error_mm_equiv_median,response_endpoint_error_mm_equiv_min,response_endpoint_error_mm_equiv_max,task_error_mm_equiv_mean,task_error_mm_equiv_median,task_error_mm_equiv_min,task_error_mm_equiv_max,task_endpoint_error_mm_equiv_mean,task_endpoint_error_mm_equiv_median,task_endpoint_error_mm_equiv_min,task_endpoint_error_mm_equiv_max
Frame-weighted,yaw,4.926460721515081,4.880779364703113,2.4429414193178323,7.501342737336266,6.700623145950959,6.693302736934057,3.7613951513250607,9.654491958610661,2.3350764700331723,2.22381845050261,1.0405361152615062,3.852132863865963,0.15673701135587018,0.1573191884645263,0.13630602734116667,0.17600364115326142
Frame-weighted,translation,7.209131739613246,4.217792796478566,3.188212515867349,17.212728849628505,6.404087233783183,6.458303497889386,6.058252161070208,6.641489778283753,7.194005654964593,4.201818756306593,3.17454119088817,17.19784391635702,6.366994268303792,6.419690190457072,6.022396924666899,6.606199767634126
Phase scalar GP,yaw,4.926419523566626,4.880715896978354,2.4429728254599175,7.501273474849876,6.701955153344388,6.69463483763516,3.762140903039842,9.656410035067388,2.33505832090807,2.223771496468479,1.0405438631886794,3.8521464275066433,0.15671251817987875,0.1572943145163835,0.13628139628448638,0.17598004740226153
Phase scalar GP,translation,7.209025997345051,4.217476628554856,3.187975449050808,17.213175283219684,6.402417695399991,6.456636190751311,6.0565841514213625,6.63981424867598,7.193899513933302,4.2015013076724745,3.174304938451252,17.19829050193701,6.365299742776434,6.4179973685506635,6.020703556941097,6.604500677063313
TP-GMM additive,yaw,2.4159353851089707,2.126684538339664,1.216155576134642,4.194216887621913,0.13342037578928165,0.14212348628390814,0.10185821907909791,0.14757631151021236,2.179676920193189,1.9024585029373369,1.051163631632813,3.862627043265269,0.12849001712729233,0.140831623499389,0.08534640495504366,0.1469504165553477
TP-GMM additive,translation,5.372595750127902,2.640209438223175,1.0455366971630786,15.164427426902177,0.45958377958393687,0.5256552948414923,0.19460698875419516,0.5924175398985677,5.329988899804768,2.5906667521013906,1.0115999301246137,15.127022164891677,0.4588100694155996,0.525127562814056,0.1925703911273534,0.5924147609069329
TP-GMM SE(2),yaw,3.0322311972797267,3.0598246893164527,1.7348158136986922,4.274459596787309,0.14339955363976492,0.1411002987894402,0.11329225592668443,0.17810536105349492,2.8077289198195925,2.848159408725463,1.5661981991671952,3.9683986626602485,0.13997130876394379,0.1348225821741071,0.11244697838986602,0.17779309231769497
TP-GMM SE(2),translation,5.5518082093762455,2.7402839834905723,1.4732925644313637,15.253372306092475,0.45608585701717963,0.5256655415043898,0.186845567382841,0.586166777677098,5.510134507136085,2.692565628866805,1.439797211910372,15.215609558900358,0.45529355397153837,0.5251289259401595,0.1847534082605017,0.5861629557453326
Generic RBF,yaw,1.7324762995383753,1.9896957897194472,0.4004915740760572,2.55002204463855,0.10437473762284469,0.11359147992003645,0.01806975533206794,0.17224623531923794,1.661012010502831,1.902479734757614,0.39832769006723473,2.4407608824288616,0.10185875129780766,0.1134196107465898,0.00835336606452719,0.17224241763352388
Generic RBF,translation,4.9743061144838885,2.23307787320552,0.7099819452931496,14.721086766231362,0.4013768440021145,0.4448233614756032,0.1306213048468788,0.5852393482103727,4.971480612449536,2.2311076404102876,0.7027772593542639,14.720929909623305,0.3997139519941996,0.4444220523338466,0.12627350922654473,0.5837381940825606
Full operator,yaw,1.7131224249759174,1.9721345920604771,0.3737100973833348,2.534510418399381,0.10438391729314142,0.11337151409532774,0.01813339679352117,0.17265924418838902,1.6416992740331011,1.8849078894847655,0.3716208187755455,2.425360498387328,0.10191037491407243,0.11319762901605011,0.00859069523057405,0.1726555463936154
Full operator,translation,4.968428682460263,2.228751450622082,0.6992202892672205,14.716991539329666,0.4013001024084293,0.4451214285508114,0.13051861699886702,0.5844389355332273,4.965625609894423,2.226779519363162,0.6921107910690223,14.716832609782346,0.3996280557925489,0.44472271658725093,0.1261245887483763,0.5829422012473173
Pdiag pointwise,yaw,2.3815623475437233,2.294811824986284,1.015177460708601,3.921448279493723,0.10232370890699732,0.09953685726565037,0.09082187879021174,0.11939924230647685,2.3083810862635312,2.2059914263668405,1.0127116560462632,3.80882983627418,0.10179521812987558,0.09933140666991641,0.08913781305914385,0.1193802461205256
Pdiag pointwise,translation,5.036305322873385,2.2903897034721483,0.7786209888713727,14.785820895677872,0.4416723715017186,0.5289536330819326,0.117469788466893,0.5913124313761164,5.03433110072436,2.2891674767525156,0.7735922395737507,14.78539720981866,0.44020123349991924,0.5284206452308278,0.11480862015768281,0.5891550233803385
Pdiag finite,yaw,2.046521811139755,2.219646144904316,0.6444594692283553,3.102335485522033,0.4144443732560424,0.3969884654360204,0.383770010837817,0.48003055131431166,1.9240519594087475,2.058773775011094,0.6261295302171112,2.95253075739569,0.2346336127529261,0.23211393236117495,0.13227501470333555,0.342031571586019
Pdiag finite,translation,4.973276285451969,2.2247904765357807,0.7159240417023571,14.727600147033959,0.6196231656221876,0.6683950623916644,0.30458415729675903,0.8371183804086624,4.971726606133517,2.223690255771072,0.7127471419356008,14.726778771056322,0.6189694113305171,0.6672317685735466,0.30448941578924377,0.8369246923857314
