phase,variant_a,variant_b,rho_yaw,rho_trans
Align keyed,base,base,1.0000000000000002,1.0
Align keyed,base,soft,0.9929464233201887,0.9999350534892696
Align keyed,base,stiff,0.9999996666050749,0.99997504176456
Align keyed,base,rrt,0.9869085257188623,0.9800587161291464
Align keyed,base,slow,0.9991012438088842,0.9965383018981341
Align keyed,base,fast,0.9995616989087943,0.9976025695903215
Align keyed,soft,base,0.9929464233201887,0.9999350534892696
Align keyed,soft,soft,1.0000000000000002,1.0
Align keyed,soft,stiff,0.9929700258461219,0.9998351805927723
Align keyed,soft,rrt,0.9940711489539016,0.9821032677355037
Align keyed,soft,slow,0.9959573475276053,0.9968871127640992
Align keyed,soft,fast,0.9900235385867603,0.9981190825067843
Align keyed,stiff,base,0.9999996666050749,0.99997504176456
Align keyed,stiff,soft,0.9929700258461219,0.9998351805927723
Align keyed,stiff,stiff,1.0000000000000002,0.9999999999999999
Align keyed,stiff,rrt,0.9870129948399621,0.9786822544298359
Align keyed,stiff,slow,0.9991249914765273,0.9962700591948439
Align keyed,stiff,fast,0.9995439493183439,0.9971879463214061
Align keyed,rrt,base,0.9869085257188623,0.9800587161291464
Align keyed,rrt,soft,0.9940711489539016,0.9821032677355037
Align keyed,rrt,stiff,0.9870129948399621,0.9786822544298359
Align keyed,rrt,rrt,0.9999999999999999,0.9999999999999999
Align keyed,rrt,slow,0.9924704485853667,0.9852282420258652
Align keyed,rrt,fast,0.982149073862951,0.988724947924436
Align keyed,slow,base,0.9991012438088842,0.9965383018981341
Align keyed,slow,soft,0.9959573475276053,0.9968871127640992
Align keyed,slow,stiff,0.9991249914765273,0.9962700591948439
Align keyed,slow,rrt,0.9924704485853667,0.9852282420258652
Align keyed,slow,slow,0.9999999999999999,0.9999999999999998
Align keyed,slow,fast,0.997436309661195,0.9939259614259788
Align keyed,fast,base,0.9995616989087943,0.9976025695903215
Align keyed,fast,soft,0.9900235385867603,0.9981190825067843
Align keyed,fast,stiff,0.9995439493183439,0.9971879463214061
Align keyed,fast,rrt,0.982149073862951,0.988724947924436
Align keyed,fast,slow,0.997436309661195,0.9939259614259788
Align keyed,fast,fast,1.0,0.9999999999999999
Enter key,base,base,0.9999999999999999,1.0000000000000002
Enter key,base,soft,-0.6213931075156931,0.7752310821831517
Enter key,base,stiff,0.9937933417070756,0.9739658359982138
Enter key,base,rrt,0.7324859598739513,-0.542484806554519
Enter key,base,slow,0.993250607696082,0.9907887456239735
Enter key,base,fast,0.23774305693898096,-0.4335854072541042
Enter key,soft,base,-0.6213931075156931,0.7752310821831517
Enter key,soft,soft,0.9999999999999998,1.0
Enter key,soft,stiff,-0.6387215981695533,0.7277436255695678
Enter key,soft,rrt,-0.7195202900175987,-0.24656175907020805
Enter key,soft,slow,-0.6087601586887137,0.7484208304795169
Enter key,soft,fast,0.08984760217119415,-0.22017255527232205
Enter key,stiff,base,0.9937933417070756,0.9739658359982138
Enter key,stiff,soft,-0.6387215981695533,0.7277436255695678
Enter key,stiff,stiff,0.9999999999999999,1.0000000000000002
Enter key,stiff,rrt,0.7615533503642992,-0.6480513716896984
Enter key,stiff,slow,0.9952588797405112,0.9927959276761206
Enter key,stiff,fast,0.23663808679049406,-0.3830114372789419
Enter key,rrt,base,0.7324859598739513,-0.542484806554519
Enter key,rrt,soft,-0.7195202900175987,-0.24656175907020805
Enter key,rrt,stiff,0.7615533503642992,-0.6480513716896984
Enter key,rrt,rrt,1.0,1.0
Enter key,rrt,slow,0.7290257803160286,-0.6048889500666679
Enter key,rrt,fast,0.0398191091163387,0.6670098988292358
Enter key,slow,base,0.993250607696082,0.9907887456239735
Enter key,slow,soft,-0.6087601586887137,0.7484208304795169
Enter key,slow,stiff,0.9952588797405112,0.9927959276761206
Enter key,slow,rrt,0.7290257803160286,-0.6048889500666679
Enter key,slow,slow,1.0,1.0000000000000002
Enter key,slow,fast,0.24602940195500714,-0.39926819509003353
Enter key,fast,base,0.23774305693898096,-0.4335854072541042
Enter key,fast,soft,0.08984760217119415,-0.22017255527232205
Enter key,fast,stiff,0.23663808679049406,-0.3830114372789419
Enter key,fast,rrt,0.0398191091163387,0.6670098988292358
Enter key,fast,slow,0.24602940195500714,-0.39926819509003353
Enter key,fast,fast,1.0,1.0
Unlock yaw,base,base,1.0,1.0
Unlock yaw,base,soft,0.9993979664916137,0.9563238409981876
Unlock yaw,base,stiff,0.9999999065617964,-0.03936660204183142
Unlock yaw,base,rrt,0.9910814068432552,-0.14402197542605186
Unlock yaw,base,slow,0.9997254363473317,-0.5506301004597458
Unlock yaw,base,fast,0.9998876838375323,0.48428060151759633
Unlock yaw,soft,base,0.9993979664916137,0.9563238409981876
Unlock yaw,soft,soft,1.0,1.0000000000000002
Unlock yaw,soft,stiff,0.9993843079276584,-0.010797275769232293
Unlock yaw,soft,rrt,0.9951055593023631,-0.054364748925136146
Unlock yaw,soft,slow,0.9998692250716241,-0.49835634806354523
Unlock yaw,soft,fast,0.9987900454335052,0.3135966468230508
Unlock yaw,stiff,base,0.9999999065617964,-0.03936660204183142
Unlock yaw,stiff,soft,0.9993843079276584,-0.010797275769232293
Unlock yaw,stiff,stiff,1.0,0.9999999999999999
Unlock yaw,stiff,rrt,0.9910287745426243,-0.27548565398782654
Unlock yaw,stiff,slow,0.9997168493043719,0.8109221766990711
Unlock yaw,stiff,fast,0.9998927577487325,0.2603850785404024
Unlock yaw,rrt,base,0.9910814068432552,-0.14402197542605186
Unlock yaw,rrt,soft,0.9951055593023631,-0.054364748925136146
Unlock yaw,rrt,stiff,0.9910287745426243,-0.27548565398782654
Unlock yaw,rrt,rrt,1.0000000000000002,1.0
Unlock yaw,rrt,slow,0.993663786475156,-0.08618400512605105
Unlock yaw,rrt,fast,0.9890823277309405,-0.33094510345271855
Unlock yaw,slow,base,0.9997254363473317,-0.5506301004597458
Unlock yaw,slow,soft,0.9998692250716241,-0.49835634806354523
Unlock yaw,slow,stiff,0.9997168493043719,0.8109221766990711
Unlock yaw,slow,rrt,0.993663786475156,-0.08618400512605105
Unlock yaw,slow,slow,1.0000000000000002,1.0
Unlock yaw,slow,fast,0.999278619456504,0.06481090574398217
Unlock yaw,fast,base,0.9998876838375323,0.48428060151759633
Unlock yaw,fast,soft,0.9987900454335052,0.3135966468230508
Unlock yaw,fast,stiff,0.9998927577487325,0.2603850785404024
Unlock yaw,fast,rrt,0.9890823277309405,-0.33094510345271855
Unlock yaw,fast,slow,0.999278619456504,0.06481090574398217
Unlock yaw,fast,fast,1.0,1.0000000000000007
Circular insert,base,base,1.0,1.0000000000000002
Circular insert,base,soft,-0.4114370570043483,0.9756131299259887
Circular insert,base,stiff,0.9179634397529114,0.9491057584411094
Circular insert,base,rrt,-0.19771064048567238,0.42783881148634734
Circular insert,base,slow,0.7020309770354424,0.9771316257483303
Circular insert,base,fast,0.9857636132234842,0.9982677517898191
Circular insert,soft,base,-0.4114370570043483,0.9756131299259887
Circular insert,soft,soft,1.0,1.0000000000000002
Circular insert,soft,stiff,-0.14073822254035437,0.9942773075201412
Circular insert,soft,rrt,-0.1392148854039572,0.3999722620532561
Circular insert,soft,slow,-0.5768428754819532,0.9989023168214104
Circular insert,soft,fast,-0.38030798038975244,0.9758268122825752
Circular insert,stiff,base,0.9179634397529114,0.9491057584411094
Circular insert,stiff,soft,-0.14073822254035437,0.9942773075201412
Circular insert,stiff,stiff,0.9999999999999998,0.9999999999999999
Circular insert,stiff,rrt,-0.1369994592762869,0.3916527748286079
Circular insert,stiff,slow,0.4205376572003513,0.9942083765103609
Circular insert,stiff,fast,0.9543344301167731,0.9524458790274538
Circular insert,rrt,base,-0.19771064048567238,0.42783881148634734
Circular insert,rrt,soft,-0.1392148854039572,0.3999722620532561
Circular insert,rrt,stiff,-0.1369994592762869,0.3916527748286079
Circular insert,rrt,rrt,0.9999999999999999,1.0
Circular insert,rrt,slow,-0.034871413568201656,0.4091619358598352
Circular insert,rrt,fast,-0.07432790774559696,0.43511938645890996
Circular insert,slow,base,0.7020309770354424,0.9771316257483303
Circular insert,slow,soft,-0.5768428754819532,0.9989023168214104
Circular insert,slow,stiff,0.4205376572003513,0.9942083765103609
Circular insert,slow,rrt,-0.034871413568201656,0.4091619358598352
Circular insert,slow,slow,0.9999999999999998,0.9999999999999999
Circular insert,slow,fast,0.6375250240112043,0.979525973268791
Circular insert,fast,base,0.9857636132234842,0.9982677517898191
Circular insert,fast,soft,-0.38030798038975244,0.9758268122825752
Circular insert,fast,stiff,0.9543344301167731,0.9524458790274538
Circular insert,fast,rrt,-0.07432790774559696,0.43511938645890996
Circular insert,fast,slow,0.6375250240112043,0.979525973268791
Circular insert,fast,fast,1.0,1.0
