protocol,sample_size,model,metric,mean_over_seed_means,between_seed_sd,seed_count
random,3,Pdiag finite,task_error_mean_mm_equiv,3.265254070482984,0.8215034780709366,5
random,3,Full operator,task_error_mean_mm_equiv,9.49824993552761,1.1653781348453522,5
random,3,Generic RBF,task_error_mean_mm_equiv,24.12146273172761,0.9616737369981694,5
qualified,3,Pdiag finite,task_error_mean_mm_equiv,3.3349182995648072,0.720549510813991,5
qualified,3,Full operator,task_error_mean_mm_equiv,9.14444461915986,1.1998556379760226,5
qualified,3,Generic RBF,task_error_mean_mm_equiv,28.471900150972026,1.4757813349090938,5
random,5,Pdiag finite,task_error_mean_mm_equiv,2.6725478878307944,0.6936131290295954,5
random,5,Full operator,task_error_mean_mm_equiv,3.891070811692529,1.9081316506813044,5
random,5,Generic RBF,task_error_mean_mm_equiv,5.296544124632569,3.0146701289458107,5
qualified,5,Pdiag finite,task_error_mean_mm_equiv,2.985280543627197,0.6350966034305711,5
qualified,5,Full operator,task_error_mean_mm_equiv,5.772109439226346,2.459661767262978,5
qualified,5,Generic RBF,task_error_mean_mm_equiv,7.770062291380663,3.4267833897005375,5
random,8,Pdiag finite,task_error_mean_mm_equiv,2.7501401864667563,0.6620495022793422,5
random,8,Full operator,task_error_mean_mm_equiv,4.532454818011585,2.3040051355364035,5
random,8,Generic RBF,task_error_mean_mm_equiv,6.066447097106268,3.8109711924471146,5
qualified,8,Pdiag finite,task_error_mean_mm_equiv,2.8600550269674354,0.7156383761033993,5
qualified,8,Full operator,task_error_mean_mm_equiv,4.696844683239403,2.2506838779578273,5
qualified,8,Generic RBF,task_error_mean_mm_equiv,6.125572552394466,3.6372534184155083,5
random,10,Pdiag finite,task_error_mean_mm_equiv,2.6098419050726425,0.7687355341470093,5
random,10,Full operator,task_error_mean_mm_equiv,3.7233212775688203,1.637802858334267,5
random,10,Generic RBF,task_error_mean_mm_equiv,5.038974025561615,2.992695918929254,5
qualified,10,Pdiag finite,task_error_mean_mm_equiv,2.571809863076839,0.7079722449853082,5
qualified,10,Full operator,task_error_mean_mm_equiv,3.565649775985778,1.474272004345362,5
qualified,10,Generic RBF,task_error_mean_mm_equiv,4.420029506699142,2.1444654918582655,5
random,15,Pdiag finite,task_error_mean_mm_equiv,2.536245186533996,0.7227864446637097,5
random,15,Full operator,task_error_mean_mm_equiv,3.6214808141455834,1.5420307600357928,5
random,15,Generic RBF,task_error_mean_mm_equiv,4.67876878687497,2.4644517232206136,5
qualified,15,Pdiag finite,task_error_mean_mm_equiv,2.6028717400166568,0.6714706453883987,5
qualified,15,Full operator,task_error_mean_mm_equiv,3.629138064002228,1.635842833423299,5
qualified,15,Generic RBF,task_error_mean_mm_equiv,4.446244600703453,2.3936046895110965,5
random,20,Pdiag finite,task_error_mean_mm_equiv,2.47402334117941,0.669707986548137,5
random,20,Full operator,task_error_mean_mm_equiv,3.317489073345301,1.4313815521709494,5
random,20,Generic RBF,task_error_mean_mm_equiv,4.014763162632935,2.0315553669414306,5
qualified,20,Pdiag finite,task_error_mean_mm_equiv,2.4903025088627113,0.7273508987060098,5
qualified,20,Full operator,task_error_mean_mm_equiv,3.389426249562979,1.503504346794273,5
qualified,20,Generic RBF,task_error_mean_mm_equiv,4.153970533616782,2.119624894583674,5
random,30,Pdiag finite,task_error_mean_mm_equiv,2.385578162368333,0.6816670064285466,5
random,30,Full operator,task_error_mean_mm_equiv,3.0749946468428218,1.2592422622711197,5
random,30,Generic RBF,task_error_mean_mm_equiv,3.6296485866556987,1.731653535352095,5
qualified,30,Pdiag finite,task_error_mean_mm_equiv,2.385578162368333,0.6816670064285466,5
qualified,30,Full operator,task_error_mean_mm_equiv,3.0749946468428218,1.2592422622711197,5
qualified,30,Generic RBF,task_error_mean_mm_equiv,3.6296485866556987,1.731653535352095,5
random,3,Pdiag finite,task_endpoint_error_mean_mm_equiv,1.0857454770435695,0.06702401078215252,5
random,3,Full operator,task_endpoint_error_mean_mm_equiv,6.269991350702211,0.15784159580563795,5
random,3,Generic RBF,task_endpoint_error_mean_mm_equiv,23.277776859559985,0.04086451079892405,5
qualified,3,Pdiag finite,task_endpoint_error_mean_mm_equiv,1.3300726407162098,0.09246488180242347,5
qualified,3,Full operator,task_endpoint_error_mean_mm_equiv,6.366566562551178,0.051171976345154004,5
qualified,3,Generic RBF,task_endpoint_error_mean_mm_equiv,28.044433318202515,1.0063227722832975,5
random,5,Pdiag finite,task_endpoint_error_mean_mm_equiv,0.6632727434010751,0.03236927622952514,5
random,5,Full operator,task_endpoint_error_mean_mm_equiv,0.34793658582978015,0.08195951397124387,5
random,5,Generic RBF,task_endpoint_error_mean_mm_equiv,3.0145501490524635,2.2275007608981,5
qualified,5,Pdiag finite,task_endpoint_error_mean_mm_equiv,0.8763126675206923,0.06175406899245784,5
qualified,5,Full operator,task_endpoint_error_mean_mm_equiv,0.4222756635145045,0.13188115101781667,5
qualified,5,Generic RBF,task_endpoint_error_mean_mm_equiv,4.15290298833156,2.9258480365182704,5
random,8,Pdiag finite,task_endpoint_error_mean_mm_equiv,0.6833317635451641,0.04589349151317071,5
random,8,Full operator,task_endpoint_error_mean_mm_equiv,0.3733251317275448,0.09322968572763579,5
random,8,Generic RBF,task_endpoint_error_mean_mm_equiv,3.5403504569276336,3.0041247473360615,5
