sample_size,model,metric,spearman_rho,pvalue_descriptive,subset_count
3,Pdiag finite,task_error_mean_mm_equiv,0.5757575757575757,0.08155281477260236,10
3,Pdiag finite,generator_rmse,0.41818181818181815,0.22911284098281892,10
3,Full operator,task_error_mean_mm_equiv,-0.19999999999999998,0.5795840000000001,10
3,Full operator,generator_rmse,0.1515151515151515,0.6760651759978538,10
3,Generic RBF,task_error_mean_mm_equiv,-0.22424242424242422,0.5334005612725947,10
3,Generic RBF,generator_rmse,-0.17575757575757575,0.6271883447764844,10
5,Pdiag finite,task_error_mean_mm_equiv,0.18787878787878787,0.603217610029209,10
5,Pdiag finite,generator_rmse,0.6969696969696969,0.02509667588225183,10
5,Full operator,task_error_mean_mm_equiv,0.2121212121212121,0.5563057751029299,10
5,Full operator,generator_rmse,0.43030303030303024,0.21449233253280775,10
5,Generic RBF,task_error_mean_mm_equiv,-0.01818181818181818,0.9602404181286243,10
5,Generic RBF,generator_rmse,0.23636363636363633,0.5108853175152002,10
8,Pdiag finite,task_error_mean_mm_equiv,-0.49090909090909085,0.14965567342083677,10
8,Pdiag finite,generator_rmse,-0.1515151515151515,0.6760651759978538,10
8,Full operator,task_error_mean_mm_equiv,-0.04242424242424241,0.907363817812816,10
8,Full operator,generator_rmse,-0.01818181818181818,0.9602404181286243,10
8,Generic RBF,task_error_mean_mm_equiv,-0.23636363636363633,0.5108853175152002,10
8,Generic RBF,generator_rmse,-0.29696969696969694,0.4047016712701569,10
10,Pdiag finite,task_error_mean_mm_equiv,-0.04242424242424241,0.907363817812816,10
10,Pdiag finite,generator_rmse,0.2121212121212121,0.5563057751029299,10
10,Full operator,task_error_mean_mm_equiv,0.2727272727272727,0.44583834154275137,10
10,Full operator,generator_rmse,0.23636363636363633,0.5108853175152002,10
10,Generic RBF,task_error_mean_mm_equiv,0.18787878787878787,0.603217610029209,10
10,Generic RBF,generator_rmse,0.05454545454545454,0.8810361811618526,10
15,Pdiag finite,task_error_mean_mm_equiv,0.6606060606060605,0.03758837757140939,10
15,Pdiag finite,generator_rmse,0.8424242424242423,0.0022200312259168407,10
15,Full operator,task_error_mean_mm_equiv,0.4545454545454545,0.186904810349332,10
15,Full operator,generator_rmse,0.4424242424242424,0.20042268671194224,10
15,Generic RBF,task_error_mean_mm_equiv,0.38181818181818183,0.27625533338543595,10
15,Generic RBF,generator_rmse,0.4545454545454545,0.186904810349332,10
20,Pdiag finite,task_error_mean_mm_equiv,0.406060606060606,0.24428229408662638,10
20,Pdiag finite,generator_rmse,0.0303030303030303,0.9337729580941466,10
20,Full operator,task_error_mean_mm_equiv,0.6242424242424242,0.053717767217167395,10
20,Full operator,generator_rmse,-0.01818181818181818,0.9602404181286243,10
20,Generic RBF,task_error_mean_mm_equiv,0.4787878787878787,0.1615229280174558,10
20,Generic RBF,generator_rmse,0.09090909090909088,0.8027717312071619,10
30,Pdiag finite,task_error_mean_mm_equiv,,,1
30,Pdiag finite,generator_rmse,,,1
30,Full operator,task_error_mean_mm_equiv,,,1
30,Full operator,generator_rmse,,,1
30,Generic RBF,task_error_mean_mm_equiv,,,1
30,Generic RBF,generator_rmse,,,1
