protocol,sample_size,model,generator_law_pass_fraction
random,3,Pdiag finite,0.88
random,3,Full operator,0.0
random,3,Generic RBF,0.1
qualified,3,Pdiag finite,0.92
qualified,3,Full operator,0.0
qualified,3,Generic RBF,0.0
random,5,Pdiag finite,1.0
random,5,Full operator,1.0
random,5,Generic RBF,0.78
qualified,5,Pdiag finite,1.0
qualified,5,Full operator,1.0
qualified,5,Generic RBF,0.7
random,8,Pdiag finite,1.0
random,8,Full operator,1.0
random,8,Generic RBF,0.68
qualified,8,Pdiag finite,1.0
qualified,8,Full operator,1.0
qualified,8,Generic RBF,0.72
random,10,Pdiag finite,1.0
random,10,Full operator,1.0
random,10,Generic RBF,0.72
qualified,10,Pdiag finite,1.0
qualified,10,Full operator,1.0
qualified,10,Generic RBF,0.76
random,15,Pdiag finite,1.0
random,15,Full operator,1.0
random,15,Generic RBF,0.54
qualified,15,Pdiag finite,1.0
qualified,15,Full operator,1.0
qualified,15,Generic RBF,0.66
random,20,Pdiag finite,1.0
random,20,Full operator,1.0
random,20,Generic RBF,0.68
qualified,20,Pdiag finite,1.0
qualified,20,Full operator,1.0
qualified,20,Generic RBF,0.58
random,30,Pdiag finite,1.0
random,30,Full operator,1.0
random,30,Generic RBF,1.0
qualified,30,Pdiag finite,1.0
qualified,30,Full operator,1.0
qualified,30,Generic RBF,1.0
