protocol,sample_size,competitor,competitor_minus_pdiag_mean,hierarchical_bootstrap_95ci_low,hierarchical_bootstrap_95ci_high,pdiag_win_fraction,paired_fit_count
random,3,Full operator,6.232995865044627,5.438561838350878,7.317881737772798,1.0,50
random,3,Generic RBF,20.856208661244622,19.134801361762584,22.710421718007364,1.0,50
random,5,Full operator,1.218522923861734,0.1914681450951739,2.903004753037306,0.56,50
random,5,Generic RBF,2.623996236801774,0.6126180667990647,5.294985220922855,0.72,50
random,8,Full operator,1.7823146315448282,0.36926230223363077,3.553293307299467,0.74,50
random,8,Generic RBF,3.3163069106395113,0.6210708756716581,6.443114799553915,0.86,50
random,10,Full operator,1.1134793724961782,0.1987258409099756,2.132571222759602,0.56,50
random,10,Generic RBF,2.429132120488972,0.4188842757965821,4.646490354374894,0.62,50
random,15,Full operator,1.0852356276115875,0.17868821049429318,2.0598717645903593,0.66,50
random,15,Generic RBF,2.142523600340974,0.4982001509659263,3.828329093037167,0.72,50
random,20,Full operator,0.8434657321658912,0.04321920300513482,1.740582468494898,0.54,50
random,20,Generic RBF,1.5407398214535246,0.25225572683294173,2.9342979330881036,0.6,50
random,30,Full operator,0.6894164844744889,0.00937455546211261,1.3694584134868648,0.6,5
random,30,Generic RBF,1.2440704242873655,0.2228314514085426,2.2653093971661877,0.6,5
qualified,3,Full operator,5.809526319595052,5.205103952354412,6.6832975465308495,1.0,50
qualified,3,Generic RBF,25.13698185140722,22.15150819181685,28.183699464925073,1.0,50
qualified,5,Full operator,2.7868288955991485,1.020066357934622,5.239129446580975,0.8,50
qualified,5,Generic RBF,4.784781747753464,2.019982083718673,8.10967167347986,0.84,50
qualified,8,Full operator,1.8367896562719677,0.501724566746101,3.490820209637634,0.68,50
qualified,8,Generic RBF,3.2655175254270308,0.7933865349755792,6.099901462468218,0.78,50
qualified,10,Full operator,0.993839912908939,0.10123640241306697,2.095305780223667,0.54,50
qualified,10,Generic RBF,1.8482196436223024,0.31937664571900665,3.581156284397499,0.6,50
qualified,15,Full operator,1.0262663239855718,-0.0209732200881285,2.2180323397964465,0.52,50
qualified,15,Generic RBF,1.8433728606867967,0.15722353103775405,3.6811625911401067,0.56,50
qualified,20,Full operator,0.8991237407002675,0.1192860242466711,1.7245431773940796,0.58,50
qualified,20,Generic RBF,1.6636680247540698,0.37741948328642655,2.9467884254622003,0.7,50
qualified,30,Full operator,0.6894164844744889,0.00937455546211261,1.3694584134868648,0.6,5
qualified,30,Generic RBF,1.2440704242873655,0.2228314514085426,2.2653093971661877,0.6,5
