seed,protocol,sample_size,model,value,metric
20260818,random,3,Pdiag finite,3.512978562259451,task_error_mean_mm_equiv
20260818,random,3,Full operator,10.153345081687391,task_error_mean_mm_equiv
20260818,random,3,Generic RBF,24.951642081472357,task_error_mean_mm_equiv
20260818,qualified,3,Pdiag finite,2.8264182553370594,task_error_mean_mm_equiv
20260818,qualified,3,Full operator,8.280006450743581,task_error_mean_mm_equiv
20260818,qualified,3,Generic RBF,28.4773223279538,task_error_mean_mm_equiv
20260818,random,5,Pdiag finite,2.1326658443305555,task_error_mean_mm_equiv
20260818,random,5,Full operator,3.0855342269409385,task_error_mean_mm_equiv
20260818,random,5,Generic RBF,3.825070489938233,task_error_mean_mm_equiv
20260818,qualified,5,Pdiag finite,2.9976099000075003,task_error_mean_mm_equiv
20260818,qualified,5,Full operator,9.29394513746541,task_error_mean_mm_equiv
20260818,qualified,5,Generic RBF,12.656717962350047,task_error_mean_mm_equiv
20260818,random,8,Pdiag finite,2.5254738109584727,task_error_mean_mm_equiv
20260818,random,8,Full operator,5.1167568146422635,task_error_mean_mm_equiv
20260818,random,8,Generic RBF,7.783351230139884,task_error_mean_mm_equiv
20260818,qualified,8,Pdiag finite,2.990976378638366,task_error_mean_mm_equiv
20260818,qualified,8,Full operator,7.824829672739753,task_error_mean_mm_equiv
20260818,qualified,8,Generic RBF,11.167891272771694,task_error_mean_mm_equiv
20260818,random,10,Pdiag finite,2.0517444288698696,task_error_mean_mm_equiv
20260818,random,10,Full operator,3.2420403885034133,task_error_mean_mm_equiv
20260818,random,10,Generic RBF,4.235652948184081,task_error_mean_mm_equiv
20260818,qualified,10,Pdiag finite,2.1761901486510564,task_error_mean_mm_equiv
20260818,qualified,10,Full operator,3.875760196870936,task_error_mean_mm_equiv
20260818,qualified,10,Generic RBF,5.629467941297413,task_error_mean_mm_equiv
20260818,random,15,Pdiag finite,2.2290299930661335,task_error_mean_mm_equiv
20260818,random,15,Full operator,4.768982608074973,task_error_mean_mm_equiv
20260818,random,15,Generic RBF,6.713630866370854,task_error_mean_mm_equiv
20260818,qualified,15,Pdiag finite,2.3198463449576456,task_error_mean_mm_equiv
20260818,qualified,15,Full operator,4.48725732504117,task_error_mean_mm_equiv
20260818,qualified,15,Generic RBF,6.123723875871407,task_error_mean_mm_equiv
20260818,random,20,Pdiag finite,2.096550101830307,task_error_mean_mm_equiv
20260818,random,20,Full operator,3.4848283553423096,task_error_mean_mm_equiv
20260818,random,20,Generic RBF,4.665531155666356,task_error_mean_mm_equiv
20260818,qualified,20,Pdiag finite,2.09234264542221,task_error_mean_mm_equiv
20260818,qualified,20,Full operator,3.569740144142102,task_error_mean_mm_equiv
20260818,qualified,20,Generic RBF,4.70905153607015,task_error_mean_mm_equiv
20270818,random,3,Pdiag finite,2.8837925236839625,task_error_mean_mm_equiv
20270818,random,3,Full operator,8.311932939653147,task_error_mean_mm_equiv
20270818,random,3,Generic RBF,23.125609618098057,task_error_mean_mm_equiv
20270818,qualified,3,Pdiag finite,3.0361603649501907,task_error_mean_mm_equiv
20270818,qualified,3,Full operator,8.120241427342322,task_error_mean_mm_equiv
20270818,qualified,3,Generic RBF,26.577498711670756,task_error_mean_mm_equiv
20270818,random,5,Pdiag finite,2.420613201176593,task_error_mean_mm_equiv
20270818,random,5,Full operator,2.4979744558341346,task_error_mean_mm_equiv
20270818,random,5,Generic RBF,2.623608776941291,task_error_mean_mm_equiv
20270818,qualified,5,Pdiag finite,2.6965152421876173,task_error_mean_mm_equiv
20270818,qualified,5,Full operator,4.069615715711097,task_error_mean_mm_equiv
20270818,qualified,5,Generic RBF,7.016087717125808,task_error_mean_mm_equiv
20270818,random,8,Pdiag finite,2.2711433995693335,task_error_mean_mm_equiv
20270818,random,8,Full operator,2.3193410807944947,task_error_mean_mm_equiv
20270818,random,8,Generic RBF,2.416010338098895,task_error_mean_mm_equiv
20270818,qualified,8,Pdiag finite,2.4840940268358063,task_error_mean_mm_equiv
20270818,qualified,8,Full operator,2.832080343686279,task_error_mean_mm_equiv
20270818,qualified,8,Generic RBF,2.9435226478739773,task_error_mean_mm_equiv
20270818,random,10,Pdiag finite,2.372534787165685,task_error_mean_mm_equiv
20270818,random,10,Full operator,2.4858029742938808,task_error_mean_mm_equiv
20270818,random,10,Generic RBF,2.5185000441897207,task_error_mean_mm_equiv
20270818,qualified,10,Pdiag finite,2.297789220788735,task_error_mean_mm_equiv
20270818,qualified,10,Full operator,2.1889614880185957,task_error_mean_mm_equiv
20270818,qualified,10,Generic RBF,2.3406737991023756,task_error_mean_mm_equiv
20270818,random,15,Pdiag finite,2.280684431371022,task_error_mean_mm_equiv
20270818,random,15,Full operator,2.161197226383762,task_error_mean_mm_equiv
20270818,random,15,Generic RBF,2.20324815753374,task_error_mean_mm_equiv
20270818,qualified,15,Pdiag finite,2.379077046915405,task_error_mean_mm_equiv
20270818,qualified,15,Full operator,2.1839524100978873,task_error_mean_mm_equiv
20270818,qualified,15,Generic RBF,2.2050167428267953,task_error_mean_mm_equiv
20270818,random,20,Pdiag finite,2.253303943695567,task_error_mean_mm_equiv
20270818,random,20,Full operator,2.077888151139797,task_error_mean_mm_equiv
20270818,random,20,Generic RBF,2.1107083596655833,task_error_mean_mm_equiv
20270818,qualified,20,Pdiag finite,2.262050181567851,task_error_mean_mm_equiv
20270818,qualified,20,Full operator,2.0313820241072413,task_error_mean_mm_equiv
20270818,qualified,20,Generic RBF,2.066288801745966,task_error_mean_mm_equiv
20280818,random,3,Pdiag finite,4.582825851887025,task_error_mean_mm_equiv
20280818,random,3,Full operator,10.629261372060302,task_error_mean_mm_equiv
20280818,random,3,Generic RBF,25.23953151979766,task_error_mean_mm_equiv
20280818,qualified,3,Pdiag finite,4.51199868166423,task_error_mean_mm_equiv
20280818,qualified,3,Full operator,10.440589258303495,task_error_mean_mm_equiv
20280818,qualified,3,Generic RBF,29.993813163384647,task_error_mean_mm_equiv
20280818,random,5,Pdiag finite,3.6851869562039576,task_error_mean_mm_equiv
20280818,random,5,Full operator,4.5564965015185575,task_error_mean_mm_equiv
20280818,random,5,Generic RBF,8.390502913313242,task_error_mean_mm_equiv
20280818,qualified,5,Pdiag finite,3.9407937102516177,task_error_mean_mm_equiv
20280818,qualified,5,Full operator,5.5295514198803115,task_error_mean_mm_equiv
20280818,qualified,5,Generic RBF,8.626747316915049,task_error_mean_mm_equiv
20280818,random,8,Pdiag finite,3.6069156509175997,task_error_mean_mm_equiv
20280818,random,8,Full operator,4.637418183381468,task_error_mean_mm_equiv
20280818,random,8,Generic RBF,5.701201848725822,task_error_mean_mm_equiv
