protocol,sample_size,model,switch_detection_fraction
random,3,Pdiag finite,1.0
random,3,Full operator,0.7
random,3,Generic RBF,0.2
qualified,3,Pdiag finite,1.0
qualified,3,Full operator,0.8
qualified,3,Generic RBF,0.3
random,5,Pdiag finite,1.0
random,5,Full operator,1.0
random,5,Generic RBF,0.98
qualified,5,Pdiag finite,1.0
qualified,5,Full operator,1.0
qualified,5,Generic RBF,0.98
random,8,Pdiag finite,1.0
random,8,Full operator,1.0
random,8,Generic RBF,1.0
qualified,8,Pdiag finite,1.0
qualified,8,Full operator,1.0
qualified,8,Generic RBF,0.96
random,10,Pdiag finite,1.0
random,10,Full operator,1.0
random,10,Generic RBF,1.0
qualified,10,Pdiag finite,1.0
qualified,10,Full operator,1.0
qualified,10,Generic RBF,1.0
random,15,Pdiag finite,1.0
random,15,Full operator,1.0
random,15,Generic RBF,1.0
qualified,15,Pdiag finite,1.0
qualified,15,Full operator,1.0
qualified,15,Generic RBF,1.0
random,20,Pdiag finite,1.0
random,20,Full operator,1.0
random,20,Generic RBF,1.0
qualified,20,Pdiag finite,1.0
qualified,20,Full operator,1.0
qualified,20,Generic RBF,1.0
random,30,Pdiag finite,1.0
random,30,Full operator,1.0
random,30,Generic RBF,1.0
qualified,30,Pdiag finite,1.0
qualified,30,Full operator,1.0
qualified,30,Generic RBF,1.0
