phase,phase_label,generator,episode,alpha_x,alpha_y,alpha_yaw,seed
0,Reach,yaw,episode_0,,,7.171563294639471e-08,20260818
0,Reach,yaw,episode_1,,,-9.748679817868066e-08,20260818
0,Reach,yaw,episode_5,,,3.863840651066955e-05,20260818
0,Reach,yaw,episode_7,,,-4.859894338459574e-09,20260818
0,Reach,x,episode_14,-1.986821492513021e-06,,,20260818
0,Reach,x,episode_15,-1.986821492513021e-06,,,20260818
0,Reach,y,episode_20,,9.934107462565105e-07,,20260818
0,Reach,y,episode_21,,-1.986821492513021e-06,,20260818
1,Grasp,yaw,episode_0,,,0.026362250803867282,20260818
1,Grasp,yaw,episode_1,,,0.005103916463830893,20260818
1,Grasp,yaw,episode_5,,,0.004124940880094227,20260818
1,Grasp,yaw,episode_7,,,-0.026288614489179296,20260818
1,Grasp,x,episode_14,-0.0004897514979044597,,,20260818
1,Grasp,x,episode_15,-0.0022937854131062827,,,20260818
1,Grasp,y,episode_20,,0.0457306702931722,,20260818
1,Grasp,y,episode_21,,-0.04493296146392822,,20260818
2,Lift,yaw,episode_0,,,0.035025076466239174,20260818
2,Lift,yaw,episode_1,,,0.023535414644553023,20260818
2,Lift,yaw,episode_5,,,-0.01528498047964805,20260818
2,Lift,yaw,episode_7,,,-0.03497016360084719,20260818
2,Lift,x,episode_14,0.009860595067342123,,,20260818
2,Lift,x,episode_15,-0.006326039632161459,,,20260818
2,Lift,y,episode_20,,0.05104343096415202,,20260818
2,Lift,y,episode_21,,-0.050843755404154464,,20260818
3,Align keyed,yaw,episode_0,,,0.9980947859081299,20260818
3,Align keyed,yaw,episode_1,,,0.9998261608743485,20260818
3,Align keyed,yaw,episode_5,,,1.0051716559208808,20260818
3,Align keyed,yaw,episode_7,,,1.0025620159574167,20260818
3,Align keyed,x,episode_14,1.0140538215637207,,,20260818
3,Align keyed,x,episode_15,0.9870529174804688,,,20260818
3,Align keyed,y,episode_20,,0.9554778536160787,,20260818
3,Align keyed,y,episode_21,,1.0427181919415793,,20260818
4,Enter key,yaw,episode_0,,,1.0005329290124305,20260818
4,Enter key,yaw,episode_1,,,1.0013455816872463,20260818
4,Enter key,yaw,episode_5,,,0.999421710868559,20260818
4,Enter key,yaw,episode_7,,,1.000234252196638,20260818
4,Enter key,x,episode_14,0.9991308053334554,,,20260818
4,Enter key,x,episode_15,1.0051568349202475,,,20260818
4,Enter key,y,episode_20,,1.0007033745447795,,20260818
4,Enter key,y,episode_21,,0.9965479373931885,,20260818
5,Unlock yaw,yaw,episode_0,,,0.04483451215190045,20260818
5,Unlock yaw,yaw,episode_1,,,0.0010928780235104712,20260818
5,Unlock yaw,yaw,episode_5,,,-0.000503177250174174,20260818
5,Unlock yaw,yaw,episode_7,,,0.7177292447650078,20260818
5,Unlock yaw,x,episode_14,1.0001838207244873,,,20260818
5,Unlock yaw,x,episode_15,1.0086297988891602,,,20260818
5,Unlock yaw,y,episode_20,,1.0060161352157593,,20260818
5,Unlock yaw,y,episode_21,,0.9930029511451721,,20260818
6,Circular insert,yaw,episode_0,,,0.02933053658921695,20260818
6,Circular insert,yaw,episode_1,,,-0.003024567801401479,20260818
6,Circular insert,yaw,episode_5,,,-0.0007900615959068393,20260818
6,Circular insert,yaw,episode_7,,,0.5094779128800011,20260818
6,Circular insert,x,episode_14,1.004338264465332,,,20260818
6,Circular insert,x,episode_15,1.0080079237620037,,,20260818
6,Circular insert,y,episode_20,,0.9988263249397278,,20260818
6,Circular insert,y,episode_21,,1.0000164310137432,,20260818
0,Reach,yaw,episode_1,,,-1.9313647967913354e-05,20270818
0,Reach,yaw,episode_2,,,-3.853809721193323e-05,20270818
0,Reach,yaw,episode_6,,,9.091444909602954e-08,20270818
0,Reach,yaw,episode_8,,,1.929012739285885e-05,20270818
0,Reach,x,episode_9,2.8808911641438804e-05,,,20270818
0,Reach,x,episode_10,-2.682209014892578e-05,,,20270818
0,Reach,y,episode_11,,-5.6624412536621094e-05,,20270818
0,Reach,y,episode_12,,5.5631001790364586e-05,,20270818
1,Grasp,yaw,episode_1,,,-0.019309051317841948,20270818
1,Grasp,yaw,episode_2,,,-0.07577512658959232,20270818
1,Grasp,yaw,episode_6,,,0.03452404178755429,20270818
1,Grasp,yaw,episode_8,,,0.039677281098518785,20270818
1,Grasp,x,episode_9,0.004759430885314941,,,20270818
1,Grasp,x,episode_10,-0.00260770320892334,,,20270818
1,Grasp,y,episode_11,,0.06108880043029785,,20270818
1,Grasp,y,episode_12,,-0.018568833669026695,,20270818
2,Lift,yaw,episode_1,,,-0.01643331621897893,20270818
2,Lift,yaw,episode_2,,,-0.07300479555791946,20270818
2,Lift,yaw,episode_6,,,0.02679518528315557,20270818
2,Lift,yaw,episode_8,,,0.03974613035228303,20270818
2,Lift,x,episode_9,-0.0005265076955159506,,,20270818
2,Lift,x,episode_10,0.011499722798665365,,,20270818
2,Lift,y,episode_11,,0.026269753774007164,,20270818
2,Lift,y,episode_12,,0.020742416381835938,,20270818
3,Align keyed,yaw,episode_1,,,0.9999425071705679,20270818
3,Align keyed,yaw,episode_2,,,1.0008230401848153,20270818
3,Align keyed,yaw,episode_6,,,1.0021358224960257,20270818
3,Align keyed,yaw,episode_8,,,0.9825380086067482,20270818
3,Align keyed,x,episode_9,0.9991049766540527,,,20270818
3,Align keyed,x,episode_10,1.0035137335459392,,,20270818
3,Align keyed,y,episode_11,,1.0013307134310405,,20270818
3,Align keyed,y,episode_12,,0.9912560383478801,,20270818
4,Enter key,yaw,episode_1,,,1.0012872220047258,20270818
4,Enter key,yaw,episode_2,,,1.0004355414889483,20270818
4,Enter key,yaw,episode_6,,,0.9991887365104689,20270818
4,Enter key,yaw,episode_8,,,1.0004444923885722,20270818
4,Enter key,x,episode_9,0.9931604067484539,,,20270818
4,Enter key,x,episode_10,1.0106603304545085,,,20270818
4,Enter key,y,episode_11,,1.0065843661626181,,20270818
4,Enter key,y,episode_12,,1.0734111070632935,,20270818
5,Unlock yaw,yaw,episode_1,,,0.019639432427677257,20270818
5,Unlock yaw,yaw,episode_2,,,0.0006128581709328124,20270818
5,Unlock yaw,yaw,episode_6,,,0.024889934156222593,20270818
5,Unlock yaw,yaw,episode_8,,,0.020109440118208526,20270818
5,Unlock yaw,x,episode_9,0.9909828503926595,,,20270818
5,Unlock yaw,x,episode_10,1.0190943876902263,,,20270818
5,Unlock yaw,y,episode_11,,1.0045985380808513,,20270818
5,Unlock yaw,y,episode_12,,1.0747308532396953,,20270818
6,Circular insert,yaw,episode_1,,,-0.017585142551185193,20270818
6,Circular insert,yaw,episode_2,,,-0.004922903179303832,20270818
6,Circular insert,yaw,episode_6,,,-0.022219246067272987,20270818
6,Circular insert,yaw,episode_8,,,0.01001506329868869,20270818
6,Circular insert,x,episode_9,0.9873489538828533,,,20270818
6,Circular insert,x,episode_10,1.024444897969564,,,20270818
6,Circular insert,y,episode_11,,1.011882225672404,,20270818
6,Circular insert,y,episode_12,,1.0537112752596538,,20270818
0,Reach,yaw,episode_0,,,5.284218838882151e-08,20280818
0,Reach,yaw,episode_2,,,-3.8525484811399415e-05,20280818
0,Reach,yaw,episode_4,,,3.865283971514741e-05,20280818
0,Reach,yaw,episode_9,,,1.9259828339941303e-05,20280818
0,Reach,x,episode_10,1.986821492513021e-06,,,20280818
0,Reach,x,episode_11,-2.682209014892578e-05,,,20280818
0,Reach,y,episode_13,,-0.0,,20280818
0,Reach,y,episode_14,,5.6624412536621094e-05,,20280818
1,Grasp,yaw,episode_0,,,-0.02412439502559143,20280818
1,Grasp,yaw,episode_2,,,-0.05907605002693778,20280818
1,Grasp,yaw,episode_4,,,0.04362142755793705,20280818
1,Grasp,yaw,episode_9,,,0.03063576036729289,20280818
1,Grasp,x,episode_10,0.0038037697474161787,,,20280818
1,Grasp,x,episode_11,0.0023146470387776694,,,20280818
1,Grasp,y,episode_13,,-0.0011026859283447266,,20280818
1,Grasp,y,episode_14,,-0.045609474182128906,,20280818
2,Lift,yaw,episode_0,,,-0.034812284241524875,20280818
2,Lift,yaw,episode_2,,,-0.055893362185736505,20280818
2,Lift,yaw,episode_4,,,0.06427599178582655,20280818
2,Lift,yaw,episode_9,,,0.028734998852256104,20280818
2,Lift,x,episode_10,0.007144610087076823,,,20280818
2,Lift,x,episode_11,-0.014573335647583008,,,20280818
2,Lift,y,episode_13,,-0.0002642472585042318,,20280818
2,Lift,y,episode_14,,-0.008894006411234539,,20280818
3,Align keyed,yaw,episode_0,,,1.002131779778746,20280818
3,Align keyed,yaw,episode_2,,,1.0032146052116475,20280818
3,Align keyed,yaw,episode_4,,,1.006572345835748,20280818
3,Align keyed,yaw,episode_9,,,0.9993301730962902,20280818
3,Align keyed,x,episode_10,0.992739200592041,,,20280818
3,Align keyed,x,episode_11,1.012722651163737,,,20280818
3,Align keyed,y,episode_13,,0.9991849462191265,,20280818
3,Align keyed,y,episode_14,,0.9941736857096355,,20280818
4,Enter key,yaw,episode_0,,,1.000423826357347,20280818
4,Enter key,yaw,episode_2,,,1.000363029883658,20280818
4,Enter key,yaw,episode_4,,,1.0000707522451426,20280818
4,Enter key,yaw,episode_9,,,0.9998562437203401,20280818
4,Enter key,x,episode_10,1.0102848211924236,,,20280818
4,Enter key,x,episode_11,0.9858826796213787,,,20280818
4,Enter key,y,episode_13,,1.0077476501464844,,20280818
4,Enter key,y,episode_14,,0.9914184610048931,,20280818
5,Unlock yaw,yaw,episode_0,,,0.0038050283805547433,20280818
5,Unlock yaw,yaw,episode_2,,,0.0024229409684741244,20280818
5,Unlock yaw,yaw,episode_4,,,-0.0012962326299336873,20280818
5,Unlock yaw,yaw,episode_9,,,-0.0028002958597759552,20280818
5,Unlock yaw,x,episode_10,1.0002315044403076,,,20280818
5,Unlock yaw,x,episode_11,0.9995102882385254,,,20280818
5,Unlock yaw,y,episode_13,,1.0015661517779033,,20280818
5,Unlock yaw,y,episode_14,,1.0011399785677593,,20280818
6,Circular insert,yaw,episode_0,,,0.003884767979993602,20280818
6,Circular insert,yaw,episode_2,,,-0.015117387452723835,20280818
6,Circular insert,yaw,episode_4,,,-0.000977520300464479,20280818
6,Circular insert,yaw,episode_9,,,-0.001834510330867634,20280818
6,Circular insert,x,episode_10,1.0224620501200359,,,20280818
6,Circular insert,x,episode_11,0.9812653064727783,,,20280818
6,Circular insert,y,episode_13,,1.2226298451423645,,20280818
6,Circular insert,y,episode_14,,0.9802669286727905,,20280818
