method,sample_size,m_transfer_accuracy,e_alpha_mean,heldout_prediction_mse_mean,count
Ours transfer: source Pdiag N=30 + target nominal N=1,3,1.0,0.00021250544405351354,9.27929099139839e-09,15
Frame-weighted target scratch,3,0.0,0.13757796434131817,8.097937399296389e-06,15
Phase scalar GP target scratch,3,0.0,0.13757956775232397,8.098074946260712e-06,15
Pdiag finite target scratch,3,1.0,0.0037624699708364733,3.4829540143787856e-07,15
Ours transfer: source Pdiag N=30 + target nominal N=1,5,1.0,0.00021250544405351354,9.17291859845235e-09,15
Frame-weighted target scratch,5,0.0,0.13047138126698254,6.6440106963117785e-06,15
Phase scalar GP target scratch,5,0.0,0.13047294359845168,6.644144006141173e-06,15
Pdiag finite target scratch,5,1.0,0.0009187726372913801,2.2931282106905428e-07,15
Ours transfer: source Pdiag N=30 + target nominal N=1,8,1.0,0.00021250544405351354,9.31562344735793e-09,15
Frame-weighted target scratch,8,0.0,0.12721618676886162,6.0117919218927876e-06,15
Phase scalar GP target scratch,8,0.0,0.12721786453758843,6.011911561935106e-06,15
Pdiag finite target scratch,8,1.0,0.0005865447251427326,2.1454277264945628e-07,15
