method,sample_size,m_transfer_accuracy,e_alpha_mean,e_task_mean,count
Ours transfer: source Pdiag N=30 + target nominal N=1,3,1.0,3.175859547156625e-05,1.5241685015531332e-09,15
Frame-weighted target scratch,3,0.0,0.13766969838414206,8.351633683682e-06,15
Phase scalar GP target scratch,3,0.0,0.13767131475459277,8.351768451808949e-06,15
Pdiag finite target scratch,3,0.9333333333333333,0.007011227155513536,6.385363614991533e-07,15
Ours transfer: source Pdiag N=30 + target nominal N=1,5,1.0,3.175859547156625e-05,1.5053030052610917e-09,15
Frame-weighted target scratch,5,0.0,0.1304472660243855,6.848860381863385e-06,15
Phase scalar GP target scratch,5,0.0,0.1304488477013952,6.848991914647952e-06,15
Pdiag finite target scratch,5,1.0,0.00037226960322893116,7.871473768542012e-08,15
Ours transfer: source Pdiag N=30 + target nominal N=1,8,1.0,3.175859547156625e-05,1.5155353877737592e-09,15
Frame-weighted target scratch,8,0.0,0.12658904962452816,6.109547784786465e-06,15
Phase scalar GP target scratch,8,0.0,0.1265907672199827,6.109666747512127e-06,15
Pdiag finite target scratch,8,1.0,9.765663611775401e-05,2.5861374167159473e-08,15
