method,pair_key,family,sample_size,m_transfer_accuracy,e_alpha_mean,e_task_mean,count
Ours transfer: source Pdiag N=30 + target nominal N=1,drawer_to_plate_push,one_axis_sliding,8,1.0,1.5214774024879558e-05,6.912320527549475e-10,3
Frame-weighted target scratch,drawer_to_plate_push,one_axis_sliding,8,0.0,0.08837431684713666,4.122092624298386e-06,3
Phase scalar GP target scratch,drawer_to_plate_push,one_axis_sliding,8,0.0,0.08837426085612209,4.122088698310176e-06,3
Pdiag finite target scratch,drawer_to_plate_push,one_axis_sliding,8,1.0,1.4664271073249697e-05,1.3273448183701165e-08,3
TP-GMM SE(3) target scratch,drawer_to_plate_push,one_axis_sliding,8,1.0,0.034313011901910974,7.350728364046559e-06,3
Ours transfer: source Pdiag N=30 + target nominal N=1,knob_to_microwave_door,revolute_yaw,8,1.0,1.3555074041710175e-05,1.0001637232811544e-09,3
Frame-weighted target scratch,knob_to_microwave_door,revolute_yaw,8,0.0,0.09113621488056949,5.688424547606892e-06,3
Phase scalar GP target scratch,knob_to_microwave_door,revolute_yaw,8,0.0,0.09113604288700176,5.6884727407415626e-06,3
Pdiag finite target scratch,knob_to_microwave_door,revolute_yaw,8,1.0,1.4316913346817355e-05,1.818759993747627e-09,3
TP-GMM SE(3) target scratch,knob_to_microwave_door,revolute_yaw,8,1.0,0.03288829981483828,3.4312181156501567e-06,3
Ours transfer: source Pdiag N=30 + target nominal N=1,bowl_stove_to_bowl_plate,support_to_stacking,8,1.0,4.334104309708051e-05,1.9670901366013476e-09,3
Frame-weighted target scratch,bowl_stove_to_bowl_plate,support_to_stacking,8,0.0,0.1558940080047054,7.045119206173857e-06,3
Phase scalar GP target scratch,bowl_stove_to_bowl_plate,support_to_stacking,8,0.0,0.15589650663453516,7.0452724316228985e-06,3
Pdiag finite target scratch,bowl_stove_to_bowl_plate,support_to_stacking,8,1.0,9.922289134318533e-05,5.0999502763862895e-08,3
TP-GMM SE(3) target scratch,bowl_stove_to_bowl_plate,support_to_stacking,8,1.0,0.1003764268499552,8.948552842607347e-06,3
Ours transfer: source Pdiag N=30 + target nominal N=1,bowl_stove_to_cream_cheese_bowl,support_to_container,8,1.0,4.334104309708051e-05,1.9896294184823905e-09,3
Frame-weighted target scratch,bowl_stove_to_cream_cheese_bowl,support_to_container,8,0.0,0.15492972108939293,8.033610145468808e-06,3
Phase scalar GP target scratch,bowl_stove_to_cream_cheese_bowl,support_to_container,8,0.0,0.15493316012941158,8.033822424633704e-06,3
Pdiag finite target scratch,bowl_stove_to_cream_cheese_bowl,support_to_container,8,1.0,0.00037165661991970584,6.761415968721372e-08,3
TP-GMM SE(3) target scratch,bowl_stove_to_cream_cheese_bowl,support_to_container,8,0.6666666666666666,0.1005764832556254,7.851159288503569e-06,3
Ours transfer: source Pdiag N=30 + target nominal N=1,bowl_stove_to_wine_cabinet,cross_object_support,8,1.0,4.334104309708051e-05,1.930772884811038e-09,3
Frame-weighted target scratch,bowl_stove_to_wine_cabinet,cross_object_support,8,0.0,0.1497436738790406,7.090263661640998e-06,3
Phase scalar GP target scratch,bowl_stove_to_wine_cabinet,cross_object_support,8,0.0,0.149746609864659,7.0904382865412685e-06,3
Pdiag finite target scratch,bowl_stove_to_wine_cabinet,cross_object_support,8,1.0,0.00018650833077959124,6.449406258552499e-08,3
TP-GMM SE(3) target scratch,bowl_stove_to_wine_cabinet,cross_object_support,8,1.0,0.10110219165276561,7.997241927189387e-06,3
