sample_size,protocol,metric,recovery,spearman_rho,pvalue_descriptive,subset_count,expected_sign
3,random,lambda_min_post,task_error_mean_mm_equiv,-0.23636363636363633,0.5108853175152002,10,-1
3,random,lambda_min_post,generator_rmse,-0.28484848484848485,0.42503815489214547,10,-1
3,random,lambda_min_post,switch_absolute_error,0.2121212121212121,0.5563057751029299,10,-1
3,random,lambda_ratio_post,task_error_mean_mm_equiv,-0.43030303030303024,0.21449233253280775,10,-1
3,random,lambda_ratio_post,generator_rmse,-0.4666666666666666,0.17393859716506632,10,-1
3,random,lambda_ratio_post,switch_absolute_error,0.1515151515151515,0.6760651759978538,10,-1
3,random,log_det_post,task_error_mean_mm_equiv,-0.4545454545454545,0.186904810349332,10,-1
3,random,log_det_post,generator_rmse,-0.4666666666666666,0.17393859716506632,10,-1
3,random,log_det_post,switch_absolute_error,0.05454545454545454,0.8810361811618526,10,-1
3,random,trace_inv_post,task_error_mean_mm_equiv,0.32121212121212117,0.3654683104386702,10,1
3,random,trace_inv_post,generator_rmse,0.34545454545454546,0.32822651147136733,10,1
3,random,trace_inv_post,switch_absolute_error,-0.19999999999999998,0.5795840000000001,10,1
3,random,lambda_min_design,task_error_mean_mm_equiv,-0.07878787878787878,0.8287173946974606,10,-1
3,random,lambda_min_design,generator_rmse,-0.18787878787878787,0.603217610029209,10,-1
3,random,lambda_min_design,switch_absolute_error,0.16363636363636364,0.6514773427962428,10,-1
3,random,lambda_ratio_design,task_error_mean_mm_equiv,-0.3696969696969697,0.2930500752928223,10,-1
3,random,lambda_ratio_design,generator_rmse,-0.41818181818181815,0.22911284098281892,10,-1
3,random,lambda_ratio_design,switch_absolute_error,-0.10303030303030303,0.7769984634438898,10,-1
3,random,log_det_design,task_error_mean_mm_equiv,-0.43030303030303024,0.21449233253280775,10,-1
3,random,log_det_design,generator_rmse,-0.4666666666666666,0.17393859716506632,10,-1
3,random,log_det_design,switch_absolute_error,0.006060606060606061,0.9867429111949892,10,-1
3,random,trace_inv_design,task_error_mean_mm_equiv,0.43030303030303024,0.21449233253280775,10,1
3,random,trace_inv_design,generator_rmse,0.4666666666666666,0.17393859716506632,10,1
3,random,trace_inv_design,switch_absolute_error,-0.006060606060606061,0.9867429111949892,10,1
3,random,condition_number,task_error_mean_mm_equiv,0.5757575757575757,0.08155281477260236,10,1
3,random,condition_number,generator_rmse,0.41818181818181815,0.22911284098281892,10,1
3,random,condition_number,switch_absolute_error,0.05454545454545454,0.8810361811618526,10,1
3,qualified,lambda_min_post,task_error_mean_mm_equiv,-0.0303030303030303,0.9337729580941466,10,-1
3,qualified,lambda_min_post,generator_rmse,-0.7575757575757575,0.011143446799694208,10,-1
3,qualified,lambda_min_post,switch_absolute_error,0.406060606060606,0.24428229408662638,10,-1
3,qualified,lambda_ratio_post,task_error_mean_mm_equiv,-0.17575757575757575,0.6271883447764844,10,-1
3,qualified,lambda_ratio_post,generator_rmse,-0.5636363636363636,0.08972402831709125,10,-1
3,qualified,lambda_ratio_post,switch_absolute_error,0.4666666666666666,0.17393859716506632,10,-1
3,qualified,log_det_post,task_error_mean_mm_equiv,-0.41818181818181815,0.22911284098281892,10,-1
3,qualified,log_det_post,generator_rmse,-0.5151515151515151,0.12755286970323426,10,-1
3,qualified,log_det_post,switch_absolute_error,0.4424242424242424,0.20042268671194224,10,-1
3,qualified,trace_inv_post,task_error_mean_mm_equiv,0.309090909090909,0.3848412302612835,10,1
3,qualified,trace_inv_post,generator_rmse,0.6121212121212121,0.05997214247725524,10,1
3,qualified,trace_inv_post,switch_absolute_error,-0.5030303030303029,0.13833369839449197,10,1
3,qualified,lambda_min_design,task_error_mean_mm_equiv,-0.01818181818181818,0.9602404181286243,10,-1
3,qualified,lambda_min_design,generator_rmse,-0.6484848484848483,0.04254012768448945,10,-1
3,qualified,lambda_min_design,switch_absolute_error,0.16363636363636364,0.6514773427962428,10,-1
3,qualified,lambda_ratio_design,task_error_mean_mm_equiv,-0.6727272727272726,0.0330412225454377,10,-1
3,qualified,lambda_ratio_design,generator_rmse,-0.5151515151515151,0.12755286970323426,10,-1
3,qualified,lambda_ratio_design,switch_absolute_error,-0.12727272727272726,0.7260570147627894,10,-1
3,qualified,log_det_design,task_error_mean_mm_equiv,-0.7212121212121211,0.018573155089460208,10,-1
3,qualified,log_det_design,generator_rmse,-0.4424242424242424,0.20042268671194224,10,-1
3,qualified,log_det_design,switch_absolute_error,-0.17575757575757575,0.6271883447764844,10,-1
3,qualified,trace_inv_design,task_error_mean_mm_equiv,0.7212121212121211,0.018573155089460208,10,1
3,qualified,trace_inv_design,generator_rmse,0.4424242424242424,0.20042268671194224,10,1
3,qualified,trace_inv_design,switch_absolute_error,0.17575757575757575,0.6271883447764844,10,1
