metric,recovery,spearman_rho,pvalue_descriptive,subset_count,expected_sign,scope
lambda_min_post,task_error_mean_mm_equiv,-0.20431279476027012,0.024583864031937682,121,-1,all_subsets_within_size_rank
lambda_min_post,generator_rmse,-0.30334205942570763,0.0007191180240194659,121,-1,all_subsets_within_size_rank
lambda_min_post,switch_absolute_error,0.14264614507043688,0.11856783354860001,121,-1,all_subsets_within_size_rank
lambda_ratio_post,task_error_mean_mm_equiv,-0.16532040377700588,0.06996476088405258,121,-1,all_subsets_within_size_rank
lambda_ratio_post,generator_rmse,-0.17626027522842327,0.053124561177690696,121,-1,all_subsets_within_size_rank
lambda_ratio_post,switch_absolute_error,0.026057741605804718,0.7766341164090623,121,-1,all_subsets_within_size_rank
log_det_post,task_error_mean_mm_equiv,0.054047446854023,0.556007945908134,121,-1,all_subsets_within_size_rank
log_det_post,generator_rmse,0.01564584967353549,0.8647519411963396,121,-1,all_subsets_within_size_rank
log_det_post,switch_absolute_error,-0.02161490430159005,0.8139576998751132,121,-1,all_subsets_within_size_rank
trace_inv_post,task_error_mean_mm_equiv,0.20671841205490984,0.02291013570341577,121,1,all_subsets_within_size_rank
trace_inv_post,generator_rmse,0.2209976266386888,0.014853178309101458,121,1,all_subsets_within_size_rank
trace_inv_post,switch_absolute_error,0.021879742902834787,0.8117201965129228,121,1,all_subsets_within_size_rank
lambda_min_design,task_error_mean_mm_equiv,-0.06788017071903679,0.4594303535023242,121,-1,all_subsets_within_size_rank
lambda_min_design,generator_rmse,-0.028419219133570327,0.7569952046085604,121,-1,all_subsets_within_size_rank
lambda_min_design,switch_absolute_error,0.09361025943996822,0.30712702109593554,121,-1,all_subsets_within_size_rank
lambda_ratio_design,task_error_mean_mm_equiv,-0.16798916198954905,0.06550271890739412,121,-1,all_subsets_within_size_rank
lambda_ratio_design,generator_rmse,0.04296497000193536,0.6398381530551349,121,-1,all_subsets_within_size_rank
lambda_ratio_design,switch_absolute_error,-0.10848196550986523,0.23624914993708218,121,-1,all_subsets_within_size_rank
log_det_design,task_error_mean_mm_equiv,-0.12251841137583654,0.18064786208217237,121,-1,all_subsets_within_size_rank
log_det_design,generator_rmse,0.0897616113052129,0.32752716354806954,121,-1,all_subsets_within_size_rank
log_det_design,switch_absolute_error,-0.19740661892781108,0.029981296706809556,121,-1,all_subsets_within_size_rank
trace_inv_design,task_error_mean_mm_equiv,0.16666666666666666,0.06768402397207308,121,1,all_subsets_within_size_rank
trace_inv_design,generator_rmse,-0.04420767420777606,0.6301808791404533,121,1,all_subsets_within_size_rank
trace_inv_design,switch_absolute_error,0.23937674649173732,0.008184223638921198,121,1,all_subsets_within_size_rank
condition_number,task_error_mean_mm_equiv,0.3579208811655614,5.5627750423849716e-05,121,1,all_subsets_within_size_rank
condition_number,generator_rmse,0.32322702440250034,0.00029900504316170975,121,1,all_subsets_within_size_rank
condition_number,switch_absolute_error,-0.07132307253521844,0.4369222938218247,121,1,all_subsets_within_size_rank
