seed,subset_id,protocol,sample_size,repeat,rank,augmented_intercept_rank,condition_number,optimization_success,optimization_nfev,lambda_min_post,lambda_max_post,lambda_ratio_post,log_det_post,trace_inv_post,ridge_post,lambda_min_design,lambda_max_design,lambda_ratio_design,log_det_design,trace_inv_design,ridge_design,fit_seconds
20260818,0,random,3,0,3,3,5.842135179342804,True,12,0.0,5.663246258574873e-05,0.0,-750.0109138445882,1780953785.275393,1e-08,8.908237147886969e-15,0.0012998689625179777,6.853180901120073e-12,-731.2178403398214,1123441120.262076,1e-08,0.4969052183441818
20260818,1,random,3,1,3,3,2.4630107919009743,True,23,6.0141246977407544e-21,9.045832575582465e-05,6.64850321680147e-17,-680.6964087195021,1397883797.1494088,1e-08,1.7776212054167846e-13,0.001915584637558873,9.27978420041047e-11,-678.1211784501256,930614349.120623,1e-08,2.19950701482594
20260818,2,random,3,2,3,3,26.679983773723798,True,11,6.969615859243205e-18,0.0002599985191360625,2.6806367522408328e-14,-737.273252373543,1382208587.3300815,1e-08,2.3118176990717944e-14,0.003334397704089053,6.933239236089793e-12,-751.8451991576719,1191774285.7590306,1e-08,0.8718357677571476
20260818,3,random,3,3,3,3,2.3641634164455234,True,14,2.637505404179751e-21,3.0125258392097653e-05,8.755129565532994e-17,-610.3353778989647,1138581590.6272013,1e-08,1.5341100939477307e-13,0.002176318854726622,7.049105376337135e-11,-696.2490794843047,989357699.979714,1e-08,8.812472264282405
20260818,4,random,3,4,3,3,8.187990437428704,True,22,1.534494389523427e-21,0.00026050027117856993,5.8905673402218795e-18,-709.3427835102354,1313991902.2864866,1e-08,1.6161570230816376e-13,0.0026116340879574172,6.188298087139952e-11,-694.8995887412121,985469049.7611389,1e-08,1.5284524532034993
20260818,5,random,3,5,3,3,8.659779477170954,True,15,1.4625298092224115e-15,0.0001296523922586633,1.128039200622375e-11,-688.3179617815306,1074917652.8579316,1e-08,9.585152222575502e-14,0.0010321723800426528,9.2863870492053e-11,-684.056997773047,949574772.9324313,1e-08,1.862406233791262
20260818,6,random,3,6,3,3,5.343911493942582,True,11,8.427553305885193e-17,8.041413284253638e-05,1.048018925029967e-12,-706.4241558702022,1257137983.6294634,1e-08,4.0451353222529965e-14,0.0016779809528241875,2.4107158757938718e-11,-724.063991320435,1085535245.4571319,1e-08,2.4330155928619206
20260818,7,random,3,7,3,3,2.930181440921983,True,12,8.664704138845953e-19,1.528706603482261e-05,5.667996801419258e-14,-625.269171997121,1070709499.0457557,1e-08,4.274045392053712e-14,0.00033452975025313064,1.2776278907390583e-10,-644.4797398661665,826517467.9676647,1e-08,9.46902977861464
20260818,8,random,3,8,3,3,5.970420695789112,True,19,5.317383363567827e-16,0.00029177866865340914,1.8224030523232354e-12,-697.6405237569597,1115120662.2925677,1e-08,1.7796466103461256e-14,0.00429402288817095,4.144473973924649e-12,-753.1975099710091,1203597307.142314,1e-08,4.122303917072713
20260818,9,random,3,9,3,3,4.071466494423975,True,13,2.5617102918128312e-18,0.0003080539996847254,8.315783253697684e-15,-754.3447304546039,1535445858.1107407,1e-08,6.983279327040926e-14,0.0028281598177125923,2.46919544054939e-11,-735.8448616480019,1127153391.4668064,1e-08,0.4911054647527635
20260818,10,qualified,3,0,3,3,6.736311708665926,True,325,2.83394365521413e-21,0.0002240966818059366,1.2646075936404407e-17,-722.6402938037834,1417951680.4363575,1e-08,1.2262115576927604e-13,0.003265617408882128,3.754914933873138e-11,-719.5061934575931,1068903755.2430959,1e-08,10.796211171429604
20260818,11,qualified,3,1,3,3,4.169871687984874,True,11,1.1300726719780951e-18,5.544179439519627e-05,2.0383046477947505e-14,-647.8468910732261,1036465078.1646881,1e-08,6.216088199758142e-14,0.0013854472771664354,4.486701372333345e-11,-701.1208662868701,1006693377.25455,1e-08,0.4536011917516589
20260818,12,qualified,3,2,3,3,5.153658116036859,True,9,5.162003948817526e-15,0.00010011332110813269,5.1561609301144155e-11,-614.7308473328827,879191225.4602655,1e-08,1.6681936065516635e-13,0.004051931858469848,4.117032726166407e-11,-713.2199058889685,1047014531.5686805,1e-08,1.0263259182684124
20260818,13,qualified,3,3,3,3,3.5783659660661766,True,7,1.9253504686287297e-14,0.00010517553180319954,1.830606829952971e-10,-608.9898115586542,775917831.40008,1e-08,1.1682206232732883e-13,0.004981937032242984,2.344912462186075e-11,-741.1658912274245,1146167163.366897,1e-08,0.5205202200450003
20260818,14,qualified,3,4,3,3,5.545363694438096,True,13,6.161353437287716e-15,0.00023398568868768888,2.63321807066224e-11,-685.6303167571446,1027065198.1221508,1e-08,3.904058274383754e-14,0.002346193107085651,1.6639969926572763e-11,-713.4141793765565,1054058038.4555999,1e-08,0.5701893498189747
20260818,15,qualified,3,5,3,3,4.881403000837172,True,12,4.653415684785891e-14,0.00025722620591295037,1.8090752721986205e-10,-632.0303435479925,811884905.1508651,1e-08,2.054162218081342e-13,0.004547359244733873,4.5172639932949886e-11,-706.2854902452043,1023361867.7195097,1e-08,0.4322339310310781
20260818,16,qualified,3,6,3,3,6.347940661960726,True,13,3.011202311305038e-14,0.0006486709217171583,4.6421108307642325e-11,-697.0297019560187,1048185804.9090016,1e-08,2.052309786944739e-13,0.006038728940488142,3.398579083728239e-11,-722.2580192559374,1078204896.502205,1e-08,0.9732908341102302
20260818,17,qualified,3,7,3,3,2.2516568891924833,True,5,1.137843462490039e-15,0.00020120650040729958,5.655102892733177e-12,-662.3696153282924,1012747472.3515607,1e-08,1.9615591836400244e-13,0.0026850755452765868,7.305415250199101e-11,-681.4063806806168,941641605.1894975,1e-08,0.786545863840729
20260818,18,qualified,3,8,3,3,3.00232122154559,True,12,1.8562434239310708e-14,7.198198074611018e-05,2.5787612464823426e-10,-590.7977353814488,729409478.6899031,1e-08,1.4951404365784115e-13,0.0018948748912527669,7.89044407881685e-11,-681.8298105358023,942765823.9090425,1e-08,0.9132810011506081
20260818,19,qualified,3,9,3,3,3.538045169612036,True,17,9.162429796316905e-20,0.00011250244717225962,8.144204883194878e-16,-747.6552774994152,1624743374.774048,1e-08,2.57183706197304e-14,0.002176229803790823,1.1817856080700208e-11,-741.3374662241558,1149523198.381779,1e-08,1.5661308388225734
20260818,20,random,5,0,3,4,2.5743447853171446,True,9,1.987573838355527e-15,0.000605356986907312,3.2833086614061834e-12,-691.8184447933018,1108179176.8611479,1e-08,3.1008790319090257e-13,0.006211876514162246,4.991855560617532e-11,-709.0391430130946,1032394160.7877629,1e-08,0.5639818073250353
20260818,21,random,5,1,3,4,3.470522048009643,True,35,0.0,0.00030216069015516695,0.0,-702.4608692868874,1280073993.172891,1e-08,1.670464755541536e-13,0.0039009462356629308,4.282203995199784e-11,-701.4549109814368,1007710660.7173525,1e-08,1.3322142497636378
20260818,22,random,5,2,3,4,1.5464395501085406,True,3,2.7346839318078448e-14,0.0004572985184244175,5.980084827805613e-11,-675.3289769807892,979858691.2890115,1e-08,1.834104207631694e-13,0.005391555489137324,3.401809016575957e-11,-717.3177244022843,1061172254.5001379,1e-08,0.332613293081522
20260818,23,random,5,3,3,4,2.2815563688607705,True,10,1.6315184497257124e-14,0.0003041433131442885,5.3643081376959437e-11,-655.5716883079991,976200572.7951272,1e-08,1.8528801420865672e-13,0.005093067511462849,3.63804355217427e-11,-712.1058844690767,1043374592.2972367,1e-08,0.6046273582614958
20260818,24,random,5,4,3,4,1.8995754397095692,True,15,3.081715259382441e-14,0.0006002682063668712,5.1338971924476066e-11,-673.5690439156665,956030059.4465238,1e-08,1.599369810376989e-13,0.0058954731059074825,2.7128777990257664e-11,-716.0476138077504,1058132082.2779837,1e-08,1.6782961380667984
20260818,25,random,5,5,3,4,3.1275660596457633,True,11,2.4087654823274616e-14,0.0005797252894567625,4.1550119101835626e-11,-698.8697970697513,1075595904.3431773,1e-08,1.1452634368110993e-13,0.006096989344070038,1.8784081325728218e-11,-726.3265157737069,1095089768.3617854,1e-08,0.8842104938812554
20260818,26,random,5,6,3,4,1.2501674383096084,True,14,1.1124418684238457e-15,0.0002595428941684771,4.286158062573373e-12,-638.9506730481185,953823029.25163,1e-08,2.7489869315842654e-13,0.005953862053849774,4.617149182700273e-11,-714.0615407585419,1049498655.1595657,1e-08,1.0546194780617952
20260818,27,random,5,7,3,4,3.0540953283991725,True,11,3.0919060472850006e-14,0.0003343994096338402,9.246146847778733e-11,-654.2996135016924,918997317.698214,1e-08,2.398619029298668e-13,0.004744574669108912,5.055498535865929e-11,-705.3714206769043,1020359303.9877913,1e-08,0.7767548295669258
20260818,28,random,5,8,3,4,2.6948302751462485,True,9,1.5086120906374516e-14,0.00045033005981167317,3.3500141901883014e-11,-676.7929221341092,973928318.0851909,1e-08,1.1048660617010992e-13,0.0055713559593551665,1.983118777118986e-11,-727.3614206453263,1097798398.7254949,1e-08,2.030904120299965
20260818,29,random,5,9,3,4,1.8641631432279837,True,7,2.590338226836944e-14,0.00034387037069547434,7.53289159981423e-11,-657.0815935764579,917407128.2935528,1e-08,1.7548545761780834e-13,0.003907748002431597,4.490705580518817e-11,-702.744546602544,1011760323.4661936,1e-08,1.0011349241249263
20260818,30,qualified,5,0,3,4,2.821003666170266,True,16,5.681822895176693e-16,0.00014749524954839381,3.852207384694422e-12,-664.4738216877961,1124849416.30184,1e-08,2.0910439577305474e-13,0.003998587103476326,5.229457064753242e-11,-706.8235674946061,1025000161.8562102,1e-08,12.99046421609819
20260818,31,qualified,5,1,3,4,2.3679730655787505,True,18,9.007172600903583e-22,2.7202217878083927e-05,3.311190521770069e-17,-629.1691330757758,1233387269.4801788,1e-08,1.486906273546406e-13,0.0017489763809606373,8.501580065533604e-11,-688.9253192561239,965314193.3233936,1e-08,4.578828633762896
20260818,32,qualified,5,2,3,4,1.5877511004269225,True,8,2.4626239192022363e-14,0.0005996437151672216,4.106811856629713e-11,-669.6798435099581,956402410.6267622,1e-08,2.550545990287164e-13,0.007136825248806714,3.5737823210868424e-11,-716.8055295703494,1059283458.6906358,1e-08,1.4305290738120675
