model,sample_size,alpha_active_du,alpha_active_dv,alpha_active_dw,alpha_active_roll,alpha_active_pitch,alpha_active_yaw
Frame-weighted (SE(3)),8,0.20375456593852834,0.20375456593852834,0.20375456593852834,0.20375456593852834,0.20375456593852834,0.20375456593852834
Full operator (SE(3)),8,0.999705085457768,0.0,0.0,0.0,0.0,0.0
Pdiag pointwise (SE(3)),8,0.9999999999999992,0.0,0.0,0.0,0.0,0.0
Pdiag finite (SE(3)),8,1.003372689101278,3.9765972186837486e-08,5.181795288108893e-08,2.3985079501495706e-07,2.544633621030122e-08,8.275356704076683e-09
Frame-weighted (SE(3)),15,0.17449796440813023,0.17449796440813023,0.17449796440813023,0.17449796440813023,0.17449796440813023,0.17449796440813023
Full operator (SE(3)),15,0.9999707503454796,0.0,0.0,0.0,0.0,0.0
Pdiag pointwise (SE(3)),15,0.9999999999999998,0.0,0.0,0.0,0.0,0.0
Pdiag finite (SE(3)),15,0.9836103858304488,2.5783096920161126e-09,2.645370662840304e-08,2.7066993157240484e-08,1.5022514341822228e-07,3.878604376502762e-09
Frame-weighted (SE(3)),30,0.1946769953134047,0.1946769953134047,0.1946769953134047,0.1946769953134047,0.1946769953134047,0.1946769953134047
Full operator (SE(3)),30,0.9999919727983637,0.0,0.0,0.0,0.0,0.0
Pdiag pointwise (SE(3)),30,0.9999999999999996,0.0,0.0,0.0,0.0,0.0
Pdiag finite (SE(3)),30,1.0103658622916198,7.82948204167885e-09,7.903195599610582e-09,1.2796595733920131e-08,4.2198544026499194e-08,5.830721237965614e-09
