model,sample_size,mean,std,count
Frame-weighted (SE(3)),8,0.08354181494310392,0.0025112560307744484,18
Full operator (SE(3)),8,1.6821806661415273e-08,2.5257647723311884e-08,18
Pdiag pointwise (SE(3)),8,7.271375254061014e-32,7.708776923245698e-32,18
Pdiag finite (SE(3)),8,0.0002420437867141641,0.0003592332912300099,18
Frame-weighted (SE(3)),15,0.08213665140475399,0.0012458231693844135,18
Full operator (SE(3)),15,9.65404842877903e-11,7.29426307224701e-11,18
Pdiag pointwise (SE(3)),15,1.895148501560797e-32,3.5397782313002425e-32,18
Pdiag finite (SE(3)),15,0.00013122761689030098,0.00019002145157588271,18
Frame-weighted (SE(3)),30,0.08196092132083445,0.0005454217802423455,18
Full operator (SE(3)),30,6.305584669498684e-12,7.692493645388183e-13,18
Pdiag pointwise (SE(3)),30,3.083927422282468e-32,3.112025325574908e-32,18
Pdiag finite (SE(3)),30,1.809484707612085e-05,1.1296029745728595e-05,18
