model,task_key,sample_size,alpha_active_du,alpha_active_dv,alpha_active_dw,alpha_active_roll,alpha_active_pitch,alpha_active_yaw
Frame-weighted (SE(3)),drawer_middle_open,8,0.20375456593852834,0.20375456593852834,0.20375456593852834,0.20375456593852834,0.20375456593852834,0.20375456593852834
Phase scalar GP (SE(3)),drawer_middle_open,8,0.20530396808369028,0.20530396808369028,0.20530396808369028,0.20530396808369028,0.20530396808369028,0.20530396808369028
TP-GMM additive (SE(3)),drawer_middle_open,8,0.9962471986658835,0.014841471857571505,0.010724741357557691,0.015338990401439082,0.019882891897098503,0.006295280998709425
TP-GMM SE(3),drawer_middle_open,8,0.9773340179829054,0.01442977282471699,0.012361650668148634,0.021093127294841734,0.02506372359291209,0.01015365984650507
Full operator (SE(3)),drawer_middle_open,8,0.999705085457768,0.0,0.0,0.0,0.0,0.0
Pdiag pointwise (SE(3)),drawer_middle_open,8,0.9999999999999992,0.0,0.0,0.0,0.0,0.0
Pdiag finite (SE(3)),drawer_middle_open,8,0.9989474447416763,5.583721856876316e-06,5.267770753459558e-06,1.3751613182651536e-05,1.2772631484919376e-05,8.56467642617938e-06
Frame-weighted (SE(3)),drawer_middle_open,15,0.17449796440813023,0.17449796440813023,0.17449796440813023,0.17449796440813023,0.17449796440813023,0.17449796440813023
Phase scalar GP (SE(3)),drawer_middle_open,15,0.17582489178745633,0.17582489178745633,0.17582489178745633,0.17582489178745633,0.17582489178745633,0.17582489178745633
TP-GMM additive (SE(3)),drawer_middle_open,15,0.9963429553652703,0.0031283203312656,0.0037793222239887567,0.00981020668335053,0.00934691026689786,0.002074929236183095
TP-GMM SE(3),drawer_middle_open,15,0.9373973106263297,0.0034343540420621508,0.0036907992928282285,0.00954110415413112,0.011726535496797993,0.004874290434838224
Full operator (SE(3)),drawer_middle_open,15,0.9999707503454796,0.0,0.0,0.0,0.0,0.0
Pdiag pointwise (SE(3)),drawer_middle_open,15,0.9999999999999998,0.0,0.0,0.0,0.0,0.0
Pdiag finite (SE(3)),drawer_middle_open,15,0.9897669521674892,7.451299938304913e-06,2.5744631802787915e-06,8.22864199428395e-06,6.739039065028306e-06,6.391566224348095e-06
Frame-weighted (SE(3)),drawer_middle_open,30,0.1946769953134047,0.1946769953134047,0.1946769953134047,0.1946769953134047,0.1946769953134047,0.1946769953134047
Phase scalar GP (SE(3)),drawer_middle_open,30,0.19615736925287527,0.19615736925287527,0.19615736925287527,0.19615736925287527,0.19615736925287527,0.19615736925287527
TP-GMM additive (SE(3)),drawer_middle_open,30,0.9977884225658684,0.004100048532059572,0.0063417195424454054,0.010463710112320909,0.009789944982915522,0.004865633343692795
TP-GMM SE(3),drawer_middle_open,30,0.9177246414762349,0.0037151059687493895,0.004487503950569316,0.012322387342189082,0.011223627103224073,0.004869618563863254
Full operator (SE(3)),drawer_middle_open,30,0.9999919727983637,0.0,0.0,0.0,0.0,0.0
Pdiag pointwise (SE(3)),drawer_middle_open,30,0.9999999999999996,0.0,0.0,0.0,0.0,0.0
Pdiag finite (SE(3)),drawer_middle_open,30,1.0097723097953395,2.2637072078016612e-06,3.2717730948421072e-06,1.302029591035167e-05,1.2981700875413538e-05,7.64248493393457e-06
Frame-weighted (SE(3)),stove_knob_turn,8,0.27229299472054413,0.27229299472054413,0.27229299472054413,0.27229299472054413,0.27229299472054413,0.27229299472054413
Phase scalar GP (SE(3)),stove_knob_turn,8,0.2743635807140512,0.2743635807140512,0.2743635807140512,0.2743635807140512,0.2743635807140512,0.2743635807140512
TP-GMM additive (SE(3)),stove_knob_turn,8,0.007380653663999376,0.017601490353525876,0.008898004071952055,0.013686598892261795,0.022066622492514936,0.9966837524452933
TP-GMM SE(3),stove_knob_turn,8,0.011580054411771014,0.009617219949642876,0.009396756303641696,0.007657552086971202,0.019821736709951725,0.9931170012520071
Full operator (SE(3)),stove_knob_turn,8,0.0,0.0,0.0,0.0,0.0,0.9997838537626489
Pdiag pointwise (SE(3)),stove_knob_turn,8,0.0,0.0,0.0,0.0,0.0,1.0000000000000002
Pdiag finite (SE(3)),stove_knob_turn,8,3.1505148237846844e-06,3.173877678283594e-06,3.187863752615068e-06,4.8969202152072315e-06,5.990954945639781e-06,1.0091013096475068
Frame-weighted (SE(3)),stove_knob_turn,15,0.28444626857975075,0.28444626857975075,0.28444626857975075,0.28444626857975075,0.28444626857975075,0.28444626857975075
Phase scalar GP (SE(3)),stove_knob_turn,15,0.2866092711943514,0.2866092711943514,0.2866092711943514,0.2866092711943514,0.2866092711943514,0.2866092711943514
TP-GMM additive (SE(3)),stove_knob_turn,15,0.003835025657710051,0.00309289370673425,0.003886501828520222,0.009708918006081277,0.011697908653700129,0.9970824068455243
TP-GMM SE(3),stove_knob_turn,15,0.0016484916675032436,0.0020741352992348864,0.0034777472958905215,0.0059717132882510056,0.004457251548252161,0.9941819568262547
