model,sample_size,mean,std,count
Frame-weighted (SE(3)),8,0.12349380134592183,0.030706704471944648,180
Phase scalar GP (SE(3)),8,0.123495842020995,0.030708245447317265,180
TP-GMM additive (SE(3)),8,0.02094323113014146,0.007997719032799316,180
TP-GMM SE(3),8,0.018191300967785966,0.0050548620244299895,180
Full operator (SE(3)),8,1.1791171504422444e-06,3.483808804754383e-06,180
Pdiag pointwise (SE(3)),8,1.306118984482272e-31,1.5464368688983645e-31,180
Pdiag finite (SE(3)),8,0.0005769983521874914,0.0006991736227130544,180
Frame-weighted (SE(3)),15,0.12442569069528178,0.031597396214569744,180
Phase scalar GP (SE(3)),15,0.12442762839721638,0.03159885658678171,180
TP-GMM additive (SE(3)),15,0.015471448977733957,0.006848484859182145,180
TP-GMM SE(3),15,0.016292771152527915,0.005351893808061606,180
Full operator (SE(3)),15,1.6240300958599625e-10,1.0662803929122807e-10,180
Pdiag pointwise (SE(3)),15,3.575608509905617e-32,3.506851591993562e-32,180
Pdiag finite (SE(3)),15,0.0005076978105449973,0.0006376180432494719,180
Frame-weighted (SE(3)),30,0.12322520070731376,0.030187827453731733,180
Phase scalar GP (SE(3)),30,0.1232272305473917,0.030189416067055653,180
TP-GMM additive (SE(3)),30,0.0035965730855458886,0.002024889490739777,180
TP-GMM SE(3),30,0.006144636974196164,0.003056528884238869,180
Full operator (SE(3)),30,1.997627272409658e-11,1.4719428467952908e-11,180
Pdiag pointwise (SE(3)),30,3.274866390636314e-32,2.816074887198921e-32,180
Pdiag finite (SE(3)),30,0.00043627248640421625,0.0006608151611019046,180
