model,task_key,sample_size,mean,std,count
Frame-weighted (SE(3)),drawer_middle_open,8,0.08354181494310392,0.002511256030774448,18
Phase scalar GP (SE(3)),drawer_middle_open,8,0.0835420501368686,0.002511101381708536,18
TP-GMM additive (SE(3)),drawer_middle_open,8,0.013119438837146455,0.0003787937907897924,18
TP-GMM SE(3),drawer_middle_open,8,0.01418108911627951,0.000840578581362703,18
Full operator (SE(3)),drawer_middle_open,8,1.6821806661415277e-08,2.5257647723311887e-08,18
Pdiag pointwise (SE(3)),drawer_middle_open,8,7.271375254061014e-32,7.708776923245698e-32,18
Pdiag finite (SE(3)),drawer_middle_open,8,0.0001769775693187125,0.0003463055320312281,18
Frame-weighted (SE(3)),drawer_middle_open,15,0.08213665140475399,0.001245823169384415,18
Phase scalar GP (SE(3)),drawer_middle_open,15,0.08213698448833087,0.0012457307311508072,18
TP-GMM additive (SE(3)),drawer_middle_open,15,0.012471079684553061,0.0002823025942737977,18
TP-GMM SE(3),drawer_middle_open,15,0.013645706904771918,0.00040030050096523704,18
Full operator (SE(3)),drawer_middle_open,15,9.65404842877903e-11,7.29426307224701e-11,18
Pdiag pointwise (SE(3)),drawer_middle_open,15,1.8951485015607967e-32,3.539778231300242e-32,18
Pdiag finite (SE(3)),drawer_middle_open,15,0.0001636352500235337,0.00021218908009038192,18
Frame-weighted (SE(3)),drawer_middle_open,30,0.08196092132083445,0.0005454217802423444,18
Phase scalar GP (SE(3)),drawer_middle_open,30,0.08196123107881975,0.0005453721397291459,18
TP-GMM additive (SE(3)),drawer_middle_open,30,0.002012048669080376,0.00022249927037548808,18
TP-GMM SE(3),drawer_middle_open,30,0.003057104391606644,0.0018461436453321386,18
Full operator (SE(3)),drawer_middle_open,30,6.305584669498684e-12,7.692493645388184e-13,18
Pdiag pointwise (SE(3)),drawer_middle_open,30,3.083927422282468e-32,3.112025325574907e-32,18
Pdiag finite (SE(3)),drawer_middle_open,30,3.144522819746157e-05,8.851589700722925e-06,18
Frame-weighted (SE(3)),stove_knob_turn,8,0.0891629611588318,0.005385176885625578,18
Phase scalar GP (SE(3)),stove_knob_turn,8,0.08916287712158187,0.00538489782216474,18
TP-GMM additive (SE(3)),stove_knob_turn,8,0.011741191200269084,0.002168595926254574,18
TP-GMM SE(3),stove_knob_turn,8,0.011386673320862122,0.0024932564080875036,18
Full operator (SE(3)),stove_knob_turn,8,7.262049434553274e-09,1.0211737367962323e-08,18
Pdiag pointwise (SE(3)),stove_knob_turn,8,1.3719696321680042e-32,7.087407297543546e-33,18
Pdiag finite (SE(3)),stove_knob_turn,8,4.503251983329056e-05,3.28210978902662e-05,18
Frame-weighted (SE(3)),stove_knob_turn,15,0.09021542708970341,0.005603284122419511,18
Phase scalar GP (SE(3)),stove_knob_turn,15,0.09021528429549722,0.005603010381674309,18
TP-GMM additive (SE(3)),stove_knob_turn,15,0.007986950485631385,0.0009446636564476826,18
TP-GMM SE(3),stove_knob_turn,15,0.007209022022810451,0.0008636156851313093,18
Full operator (SE(3)),stove_knob_turn,15,2.973587811036629e-11,2.1672243622829232e-11,18
Pdiag pointwise (SE(3)),stove_knob_turn,15,1.2990771961269982e-32,1.3786360656173476e-32,18
Pdiag finite (SE(3)),stove_knob_turn,15,1.7233094230873212e-05,3.591521924582839e-06,18
Frame-weighted (SE(3)),stove_knob_turn,30,0.09117050434250486,0.0022548875100117725,18
Phase scalar GP (SE(3)),stove_knob_turn,30,0.09117030752672346,0.002254777362849807,18
TP-GMM additive (SE(3)),stove_knob_turn,30,0.0029499046622233262,0.0018133195119282013,18
TP-GMM SE(3),stove_knob_turn,30,0.004175166993551918,0.002466815477184609,18
Full operator (SE(3)),stove_knob_turn,30,2.5829808703636665e-12,7.537988565805084e-13,18
Pdiag pointwise (SE(3)),stove_knob_turn,30,6.204396690356983e-33,3.145835319204019e-33,18
Pdiag finite (SE(3)),stove_knob_turn,30,1.7362990640880285e-05,3.239880356241998e-06,18
Frame-weighted (SE(3)),microwave_door_revolute,8,0.0891629611588318,0.005385176885625585,18
Phase scalar GP (SE(3)),microwave_door_revolute,8,0.08916287712174178,0.005384897822343304,18
TP-GMM additive (SE(3)),microwave_door_revolute,8,0.012030420779883222,0.001799049665172738,18
TP-GMM SE(3),microwave_door_revolute,8,0.01206626758376126,0.0022661284361569275,18
Full operator (SE(3)),microwave_door_revolute,8,7.262049437678911e-09,1.0211737374897042e-08,18
Pdiag pointwise (SE(3)),microwave_door_revolute,8,3.1865942002831606e-32,4.005195872055595e-32,18
Pdiag finite (SE(3)),microwave_door_revolute,8,4.503252251695987e-05,3.2821107345741545e-05,18
Frame-weighted (SE(3)),microwave_door_revolute,15,0.09021542708970341,0.005603284122419513,18
Phase scalar GP (SE(3)),microwave_door_revolute,15,0.0902152842955795,0.005603010381727514,18
TP-GMM additive (SE(3)),microwave_door_revolute,15,0.008038514915659769,0.000768491742418147,18
TP-GMM SE(3),microwave_door_revolute,15,0.007260358018616774,0.000592057679156508,18
Full operator (SE(3)),microwave_door_revolute,15,2.973587810998823e-11,2.1672243622967233e-11,18
Pdiag pointwise (SE(3)),microwave_door_revolute,15,2.1695868313792266e-32,1.4981169971707254e-32,18
Pdiag finite (SE(3)),microwave_door_revolute,15,1.7233093882574138e-05,3.591520347023443e-06,18
Frame-weighted (SE(3)),microwave_door_revolute,30,0.09117050434250487,0.00225488751001176,18
Phase scalar GP (SE(3)),microwave_door_revolute,30,0.09117030752661821,0.0022547773627963103,18
TP-GMM additive (SE(3)),microwave_door_revolute,30,0.005232771897864064,0.0024627217141981288,18
TP-GMM SE(3),microwave_door_revolute,30,0.0065424209365182555,0.0002565606789704958,18
Full operator (SE(3)),microwave_door_revolute,30,2.582980870485862e-12,7.53798856355885e-13,18
Pdiag pointwise (SE(3)),microwave_door_revolute,30,1.9591054251306563e-32,3.3126674619365894e-32,18
Pdiag finite (SE(3)),microwave_door_revolute,30,1.7362990848859512e-05,3.2398812055398725e-06,18
Frame-weighted (SE(3)),plate_front_push,8,0.08354181494310392,0.00251125603077445,18
Phase scalar GP (SE(3)),plate_front_push,8,0.0835420501368686,0.0025111013817085324,18
TP-GMM additive (SE(3)),plate_front_push,8,0.013119438837146455,0.00037879379078979247,18
TP-GMM SE(3),plate_front_push,8,0.01418108911627951,0.000840578581362703,18
Full operator (SE(3)),plate_front_push,8,1.6821806661415277e-08,2.5257647723311884e-08,18
Pdiag pointwise (SE(3)),plate_front_push,8,7.271375254061014e-32,7.708776923245699e-32,18
Pdiag finite (SE(3)),plate_front_push,8,0.0001769775693187125,0.0003463055320312281,18
Frame-weighted (SE(3)),plate_front_push,15,0.08213665140475399,0.001245823169384413,18
Phase scalar GP (SE(3)),plate_front_push,15,0.08213698448833087,0.0012457307311508074,18
TP-GMM additive (SE(3)),plate_front_push,15,0.012471079684553061,0.0002823025942737978,18
TP-GMM SE(3),plate_front_push,15,0.013645706904771918,0.0004003005009652368,18
Full operator (SE(3)),plate_front_push,15,9.65404842877903e-11,7.29426307224701e-11,18
Pdiag pointwise (SE(3)),plate_front_push,15,1.895148501560797e-32,3.539778231300242e-32,18
Pdiag finite (SE(3)),plate_front_push,15,0.0001636352500235337,0.0002121890800903819,18
Frame-weighted (SE(3)),plate_front_push,30,0.08196092132083445,0.0005454217802423452,18
Phase scalar GP (SE(3)),plate_front_push,30,0.08196123107881975,0.0005453721397291448,18
TP-GMM additive (SE(3)),plate_front_push,30,0.002012048669080376,0.00022249927037548808,18
TP-GMM SE(3),plate_front_push,30,0.0030571043916066435,0.0018461436453321384,18
Full operator (SE(3)),plate_front_push,30,6.305584669498684e-12,7.692493645388182e-13,18
Pdiag pointwise (SE(3)),plate_front_push,30,3.083927422282468e-32,3.112025325574907e-32,18
Pdiag finite (SE(3)),plate_front_push,30,3.144522819746157e-05,8.851589700722925e-06,18
Frame-weighted (SE(3)),bowl_on_stove,8,0.1490395814479464,0.0011032718421370615,18
Phase scalar GP (SE(3)),bowl_on_stove,8,0.1490426809588671,0.0011031542981634855,18
TP-GMM additive (SE(3)),bowl_on_stove,8,0.026505251350767266,0.0059755128484541235,18
TP-GMM SE(3),bowl_on_stove,8,0.021319958063729584,0.0023245153694222095,18
Full operator (SE(3)),bowl_on_stove,8,1.9559569570475525e-06,4.436428343043843e-06,18
Pdiag pointwise (SE(3)),bowl_on_stove,8,2.1652506803565196e-31,1.5319578382914348e-31,18
Pdiag finite (SE(3)),bowl_on_stove,8,0.0005957518177881374,0.0003632449557564723,18
Frame-weighted (SE(3)),bowl_on_stove,15,0.14986189694000052,0.0029333240018424044,18
Phase scalar GP (SE(3)),bowl_on_stove,15,0.14986486230954077,0.002933038077007279,18
TP-GMM additive (SE(3)),bowl_on_stove,15,0.014725228687278312,0.006810178960639585,18
TP-GMM SE(3),bowl_on_stove,15,0.019744143334831175,0.000642342413250595,18
Full operator (SE(3)),bowl_on_stove,15,2.2362358215829832e-10,7.35169304089938e-11,18
Pdiag pointwise (SE(3)),bowl_on_stove,15,4.637774388670841e-32,2.630722877179057e-32,18
Pdiag finite (SE(3)),bowl_on_stove,15,0.0005031067697700606,0.0002819333915176078,18
Frame-weighted (SE(3)),bowl_on_stove,30,0.14758844080651962,0.0006396519257591738,18
Phase scalar GP (SE(3)),bowl_on_stove,30,0.14759159200767535,0.0006395707584453313,18
TP-GMM additive (SE(3)),bowl_on_stove,30,0.0047169738260226315,0.0016538868702215316,18
TP-GMM SE(3),bowl_on_stove,30,0.008278244921868847,0.00046493410553255705,18
Full operator (SE(3)),bowl_on_stove,30,2.990043588184289e-11,9.502255442772901e-12,18
Pdiag pointwise (SE(3)),bowl_on_stove,30,2.7943986288789536e-32,1.2589341321929687e-32,18
Pdiag finite (SE(3)),bowl_on_stove,30,0.00038444278140831525,3.863677211353407e-05,18
Frame-weighted (SE(3)),bowl_on_plate,8,0.1490395814479464,0.0011032718421370633,18
Phase scalar GP (SE(3)),bowl_on_plate,8,0.14904268095895512,0.0011031542980754058,18
TP-GMM additive (SE(3)),bowl_on_plate,8,0.024497489521043556,0.003293407921106092,18
TP-GMM SE(3),bowl_on_plate,8,0.02040168817908809,0.001875974264515728,18
Full operator (SE(3)),bowl_on_plate,8,1.955956957216329e-06,4.436428343432094e-06,18
Pdiag pointwise (SE(3)),bowl_on_plate,8,1.2593647881640034e-31,1.0597214686680698e-31,18
Pdiag finite (SE(3)),bowl_on_plate,8,0.0005999596706113557,0.0003606924653567367,18
Frame-weighted (SE(3)),bowl_on_plate,15,0.14986189694000052,0.0029333240018424057,18
Phase scalar GP (SE(3)),bowl_on_plate,15,0.1498648623096358,0.0029330380770860786,18
TP-GMM additive (SE(3)),bowl_on_plate,15,0.013736307202095977,0.0070870843545503,18
TP-GMM SE(3),bowl_on_plate,15,0.01896251248604661,0.0006209854082496996,18
Full operator (SE(3)),bowl_on_plate,15,2.2362358215825466e-10,7.351693040779705e-11,18
Pdiag pointwise (SE(3)),bowl_on_plate,15,4.1741936888973816e-32,3.5055523537607517e-32,18
Pdiag finite (SE(3)),bowl_on_plate,15,0.0005031737929157474,0.0002833515588857377,18
Frame-weighted (SE(3)),bowl_on_plate,30,0.14758844080651962,0.0006396519257591727,18
Phase scalar GP (SE(3)),bowl_on_plate,30,0.14759159200752622,0.0006395707584583948,18
TP-GMM additive (SE(3)),bowl_on_plate,30,0.004134664371903639,0.0020650188297566536,18
TP-GMM SE(3),bowl_on_plate,30,0.005658674206844758,0.003035081995334584,18
Full operator (SE(3)),bowl_on_plate,30,2.990043588262615e-11,9.502255443438989e-12,18
Pdiag pointwise (SE(3)),bowl_on_plate,30,4.35517225581037e-32,3.0228817966364596e-32,18
Pdiag finite (SE(3)),bowl_on_plate,30,0.00038663221408530215,4.006353808871378e-05,18
Frame-weighted (SE(3)),cream_cheese_in_bowl,8,0.1490395814479464,0.001103271842137066,18
Phase scalar GP (SE(3)),cream_cheese_in_bowl,8,0.14904268095871795,0.0011031542981256473,18
TP-GMM additive (SE(3)),cream_cheese_in_bowl,8,0.026625742733180614,0.0060943873493647625,18
TP-GMM SE(3),cream_cheese_in_bowl,8,0.021479288384838105,0.0021832262208026105,18
Full operator (SE(3)),cream_cheese_in_bowl,8,1.955956957047365e-06,4.436428343043791e-06,18
Pdiag pointwise (SE(3)),cream_cheese_in_bowl,8,1.2892372990527996e-31,1.3401686554283713e-31,18
Pdiag finite (SE(3)),cream_cheese_in_bowl,8,0.0005944425185708972,0.00036431512563657854,18
Frame-weighted (SE(3)),cream_cheese_in_bowl,15,0.14986189694000052,0.0029333240018424023,18
Phase scalar GP (SE(3)),cream_cheese_in_bowl,15,0.14986486230955048,0.0029330380771398885,18
TP-GMM additive (SE(3)),cream_cheese_in_bowl,15,0.016175124663360133,0.007324033900756103,18
TP-GMM SE(3),cream_cheese_in_bowl,15,0.019794754211009156,0.0005374475463852207,18
Full operator (SE(3)),cream_cheese_in_bowl,15,2.2362358215882032e-10,7.351693040594879e-11,18
Pdiag pointwise (SE(3)),cream_cheese_in_bowl,15,5.004633281695553e-32,2.6414448452382775e-32,18
Pdiag finite (SE(3)),cream_cheese_in_bowl,15,0.0005025097337908876,0.0002826935708826999,18
Frame-weighted (SE(3)),cream_cheese_in_bowl,30,0.14758844080651962,0.0006396519257591736,18
Phase scalar GP (SE(3)),cream_cheese_in_bowl,30,0.1475915920076824,0.0006395707584508942,18
TP-GMM additive (SE(3)),cream_cheese_in_bowl,30,0.004069335072173979,0.002021403464945219,18
TP-GMM SE(3),cream_cheese_in_bowl,30,0.006416632120347602,0.0022442758280049754,18
Full operator (SE(3)),cream_cheese_in_bowl,30,2.990043588303914e-11,9.502255442991004e-12,18
Pdiag pointwise (SE(3)),cream_cheese_in_bowl,30,5.071084552033664e-32,3.649593520638806e-32,18
Pdiag finite (SE(3)),cream_cheese_in_bowl,30,0.00038455417508326435,3.865901988836886e-05,18
Frame-weighted (SE(3)),wine_bottle_on_rack,8,0.1443305540156149,0.007806461173846425,18
Phase scalar GP (SE(3)),wine_bottle_on_rack,8,0.1443351608985609,0.007805900923220195,18
TP-GMM additive (SE(3)),wine_bottle_on_rack,8,0.031066699766280688,0.004042833333206418,18
TP-GMM SE(3),wine_bottle_on_rack,8,0.02580429892044868,0.003271787636782368,18
Full operator (SE(3)),wine_bottle_on_rack,8,1.963219006567754e-06,4.446232638435103e-06,18
Pdiag pointwise (SE(3)),wine_bottle_on_rack,8,1.5573112328758397e-31,1.1760769325789808e-31,18
