model,task_key,family,sample_size,accuracy,sum,count
TP-GMM additive,drawer_middle_open,prismatic_sliding,8,1.0,18,18
TP-GMM SE(2),drawer_middle_open,prismatic_sliding,8,1.0,18,18
TP-GMM additive,drawer_middle_open,prismatic_sliding,15,1.0,18,18
TP-GMM SE(2),drawer_middle_open,prismatic_sliding,15,1.0,18,18
TP-GMM additive,drawer_middle_open,prismatic_sliding,30,1.0,18,18
TP-GMM SE(2),drawer_middle_open,prismatic_sliding,30,1.0,18,18
TP-GMM additive,stove_knob_turn,revolute_knob,8,1.0,18,18
TP-GMM SE(2),stove_knob_turn,revolute_knob,8,1.0,18,18
TP-GMM additive,stove_knob_turn,revolute_knob,15,1.0,18,18
TP-GMM SE(2),stove_knob_turn,revolute_knob,15,1.0,18,18
TP-GMM additive,stove_knob_turn,revolute_knob,30,1.0,18,18
TP-GMM SE(2),stove_knob_turn,revolute_knob,30,1.0,18,18
TP-GMM additive,microwave_door_revolute,revolute_door,8,1.0,18,18
TP-GMM SE(2),microwave_door_revolute,revolute_door,8,1.0,18,18
TP-GMM additive,microwave_door_revolute,revolute_door,15,1.0,18,18
TP-GMM SE(2),microwave_door_revolute,revolute_door,15,1.0,18,18
TP-GMM additive,microwave_door_revolute,revolute_door,30,1.0,18,18
TP-GMM SE(2),microwave_door_revolute,revolute_door,30,1.0,18,18
TP-GMM additive,plate_front_push,planar_one_axis_push,8,1.0,18,18
TP-GMM SE(2),plate_front_push,planar_one_axis_push,8,1.0,18,18
TP-GMM additive,plate_front_push,planar_one_axis_push,15,1.0,18,18
TP-GMM SE(2),plate_front_push,planar_one_axis_push,15,1.0,18,18
TP-GMM additive,plate_front_push,planar_one_axis_push,30,1.0,18,18
TP-GMM SE(2),plate_front_push,planar_one_axis_push,30,1.0,18,18
TP-GMM additive,bowl_on_stove,support_placement,8,1.0,18,18
TP-GMM SE(2),bowl_on_stove,support_placement,8,1.0,18,18
TP-GMM additive,bowl_on_stove,support_placement,15,1.0,18,18
TP-GMM SE(2),bowl_on_stove,support_placement,15,1.0,18,18
TP-GMM additive,bowl_on_stove,support_placement,30,1.0,18,18
TP-GMM SE(2),bowl_on_stove,support_placement,30,1.0,18,18
TP-GMM additive,bowl_on_plate,stacking_support,8,1.0,18,18
TP-GMM SE(2),bowl_on_plate,stacking_support,8,1.0,18,18
TP-GMM additive,bowl_on_plate,stacking_support,15,1.0,18,18
TP-GMM SE(2),bowl_on_plate,stacking_support,15,1.0,18,18
TP-GMM additive,bowl_on_plate,stacking_support,30,1.0,18,18
TP-GMM SE(2),bowl_on_plate,stacking_support,30,1.0,18,18
TP-GMM additive,cream_cheese_in_bowl,container_in,8,1.0,18,18
TP-GMM SE(2),cream_cheese_in_bowl,container_in,8,1.0,18,18
TP-GMM additive,cream_cheese_in_bowl,container_in,15,1.0,18,18
TP-GMM SE(2),cream_cheese_in_bowl,container_in,15,1.0,18,18
TP-GMM additive,cream_cheese_in_bowl,container_in,30,1.0,18,18
TP-GMM SE(2),cream_cheese_in_bowl,container_in,30,1.0,18,18
TP-GMM additive,wine_bottle_on_rack,rack_slot_placement,8,1.0,18,18
TP-GMM SE(2),wine_bottle_on_rack,rack_slot_placement,8,1.0,18,18
TP-GMM additive,wine_bottle_on_rack,rack_slot_placement,15,1.0,18,18
TP-GMM SE(2),wine_bottle_on_rack,rack_slot_placement,15,1.0,18,18
TP-GMM additive,wine_bottle_on_rack,rack_slot_placement,30,1.0,18,18
TP-GMM SE(2),wine_bottle_on_rack,rack_slot_placement,30,1.0,18,18
TP-GMM additive,wine_bottle_on_cabinet,upright_support_placement,8,1.0,18,18
TP-GMM SE(2),wine_bottle_on_cabinet,upright_support_placement,8,1.0,18,18
TP-GMM additive,wine_bottle_on_cabinet,upright_support_placement,15,1.0,18,18
TP-GMM SE(2),wine_bottle_on_cabinet,upright_support_placement,15,1.0,18,18
TP-GMM additive,wine_bottle_on_cabinet,upright_support_placement,30,1.0,18,18
TP-GMM SE(2),wine_bottle_on_cabinet,upright_support_placement,30,1.0,18,18
TP-GMM additive,moka_pot_on_stove,compound_support_subtask,8,1.0,18,18
TP-GMM SE(2),moka_pot_on_stove,compound_support_subtask,8,1.0,18,18
TP-GMM additive,moka_pot_on_stove,compound_support_subtask,15,1.0,18,18
TP-GMM SE(2),moka_pot_on_stove,compound_support_subtask,15,1.0,18,18
TP-GMM additive,moka_pot_on_stove,compound_support_subtask,30,1.0,18,18
TP-GMM SE(2),moka_pot_on_stove,compound_support_subtask,30,1.0,18,18
