model,task_key,sample_size,alpha_active_du,alpha_active_dv,alpha_active_yaw
TP-GMM additive,drawer_middle_open,8,0.996224321688291,0.004305525977758809,0.002611922307785649
TP-GMM SE(2),drawer_middle_open,8,0.9629601978784069,0.0048665072854657725,0.006076799309108419
TP-GMM additive,drawer_middle_open,15,0.9972193886133527,0.004359359487507104,0.007240911359056943
TP-GMM SE(2),drawer_middle_open,15,0.9253781150550418,0.00366691691511201,0.004775821323249501
TP-GMM additive,drawer_middle_open,30,0.9979189169031604,0.003568898486025355,0.0017563587258975439
TP-GMM SE(2),drawer_middle_open,30,0.9685656437539644,0.004701304086604461,0.009616460161262316
TP-GMM additive,stove_knob_turn,8,0.0031957193423081533,0.004244270704192793,0.9965431353858349
TP-GMM SE(2),stove_knob_turn,8,0.0033292221036610088,0.0035399819139723576,0.9965474506217455
TP-GMM additive,stove_knob_turn,15,0.007948788054982813,0.007973217872621612,0.9937926395780858
TP-GMM SE(2),stove_knob_turn,15,0.00513689432041783,0.005013040713008721,0.994516177961337
TP-GMM additive,stove_knob_turn,30,0.0022161547216683476,0.002955167663887388,0.9957915786038569
TP-GMM SE(2),stove_knob_turn,30,0.00730982255549308,0.0051562946165224725,0.9961807071133999
TP-GMM additive,microwave_door_revolute,8,0.0031826809456640247,0.0042133486855798,0.9965536897152507
TP-GMM SE(2),microwave_door_revolute,8,0.0033220503343837,0.0035191711044179888,0.9965544118815698
TP-GMM additive,microwave_door_revolute,15,0.022894538561847144,0.009225018581576119,0.9947666402059236
TP-GMM SE(2),microwave_door_revolute,15,0.01664195875889509,0.005470290545071956,0.9965852165892907
TP-GMM additive,microwave_door_revolute,30,0.008066816972992516,0.003030134408304394,0.9927692308674602
TP-GMM SE(2),microwave_door_revolute,30,0.004994052388459793,0.003007404043837702,0.9979405894423271
TP-GMM additive,plate_front_push,8,0.996224321688291,0.004305525977758809,0.002611922307785649
TP-GMM SE(2),plate_front_push,8,0.9629601978784069,0.0048665072854657725,0.006076799309108419
TP-GMM additive,plate_front_push,15,0.9972193886133527,0.004359359487507104,0.007240911359056943
TP-GMM SE(2),plate_front_push,15,0.9253781150550418,0.00366691691511201,0.004775821323249501
TP-GMM additive,plate_front_push,30,0.9979189169031604,0.003568898486025355,0.0017563587258975439
TP-GMM SE(2),plate_front_push,30,0.9685656437539644,0.0047013040866044605,0.009616460161262315
TP-GMM additive,bowl_on_stove,8,0.9958705864684947,0.9945794141353232,0.0024908420909408517
TP-GMM SE(2),bowl_on_stove,8,0.9959006865598261,0.994321652877765,0.005106792964466147
TP-GMM additive,bowl_on_stove,15,0.9948704856017666,0.9968696069923819,0.005514157079712785
TP-GMM SE(2),bowl_on_stove,15,0.997263026568801,0.9977887543783797,0.005017900234478123
TP-GMM additive,bowl_on_stove,30,0.9978447378068805,0.9973833196111394,0.0024907437369135724
TP-GMM SE(2),bowl_on_stove,30,0.9978646672558512,0.9976125321181841,0.004345707999090074
TP-GMM additive,bowl_on_plate,8,0.9958422263642412,0.9945828877831538,0.0023795859642651972
TP-GMM SE(2),bowl_on_plate,8,0.9958540875676842,0.994375007016861,0.004883016941673488
TP-GMM additive,bowl_on_plate,15,0.988559590145178,0.9948819360496481,0.005823809948290407
TP-GMM SE(2),bowl_on_plate,15,0.9957262944436154,0.9959657657875245,0.004212490550267512
TP-GMM additive,bowl_on_plate,30,0.9978447788678082,0.9973834203637517,0.002504810149559475
TP-GMM SE(2),bowl_on_plate,30,0.9969618987064679,0.9971228790956719,0.008059550139205264
TP-GMM additive,cream_cheese_in_bowl,8,0.9960292462921418,0.9948313809955498,0.002614094342496231
TP-GMM SE(2),cream_cheese_in_bowl,8,0.9958764201099234,0.9943550733022369,0.004880196392267183
TP-GMM additive,cream_cheese_in_bowl,15,0.9948704855087855,0.9968696106447642,0.005514138030195877
TP-GMM SE(2),cream_cheese_in_bowl,15,0.9972629936548747,0.9977886826368262,0.0065839820551309835
TP-GMM additive,cream_cheese_in_bowl,30,0.9978451261182312,0.9973860256018082,0.002513843033148905
TP-GMM SE(2),cream_cheese_in_bowl,30,0.9978138097999079,0.9972136636219285,0.0053958574978251635
TP-GMM additive,wine_bottle_on_rack,8,0.9955126310842952,0.9936063771850931,0.9955060534012026
TP-GMM SE(2),wine_bottle_on_rack,8,0.9955256184073524,0.9933310196581687,0.9968208442346818
TP-GMM additive,wine_bottle_on_rack,15,0.9888086672981665,0.9786196586164682,0.9855785743838337
TP-GMM SE(2),wine_bottle_on_rack,15,0.9967118277276708,0.9976190280842085,1.0027253463839727
TP-GMM additive,wine_bottle_on_rack,30,0.9977249464465306,0.9971621258306064,0.9970516073569501
TP-GMM SE(2),wine_bottle_on_rack,30,0.9909883731286259,0.9969542167636164,0.997561163583199
TP-GMM additive,wine_bottle_on_cabinet,8,0.995902739708623,0.9945404765000608,0.00245091272420102
TP-GMM SE(2),wine_bottle_on_cabinet,8,0.9960909918677273,0.9945797297288327,0.012855446016574769
TP-GMM additive,wine_bottle_on_cabinet,15,0.9948700328504696,0.9968695289745538,0.005632467939319919
TP-GMM SE(2),wine_bottle_on_cabinet,15,0.9972629972538594,0.9977886547221251,0.004743630933521283
