model,task_key,sample_size,mean,std,count
TP-GMM additive,drawer_middle_open,8,0.024597359276494465,0.0005843538276989141,18
TP-GMM SE(2),drawer_middle_open,8,0.02602289923027946,0.0013259063144436495,18
TP-GMM additive,drawer_middle_open,15,0.004128504404402712,0.0003423361540282073,18
TP-GMM SE(2),drawer_middle_open,15,0.003920774192376602,0.0018738956396301553,18
TP-GMM additive,drawer_middle_open,30,0.003867445900876661,0.0001428049984668994,18
TP-GMM SE(2),drawer_middle_open,30,0.0038427174503482433,0.001466453855538376,18
TP-GMM additive,stove_knob_turn,8,0.015726047110681828,0.0021930415593207526,18
TP-GMM SE(2),stove_knob_turn,8,0.01580251220320579,0.0023125399184118337,18
TP-GMM additive,stove_knob_turn,15,0.005579822421435326,0.004000532641747048,18
TP-GMM SE(2),stove_knob_turn,15,0.005533065932031926,0.0037206210568728007,18
TP-GMM additive,stove_knob_turn,30,0.003511225378236885,0.00019924317000340837,18
TP-GMM SE(2),stove_knob_turn,30,0.0036331717696311988,0.00035397669246079545,18
TP-GMM additive,microwave_door_revolute,8,0.016721586379961014,0.002216238526212635,18
TP-GMM SE(2),microwave_door_revolute,8,0.016770896292896898,0.002037938894983789,18
TP-GMM additive,microwave_door_revolute,15,0.007033820870254073,0.00457362036242432,18
TP-GMM SE(2),microwave_door_revolute,15,0.007350521948731794,0.005520355169516139,18
TP-GMM additive,microwave_door_revolute,30,0.003521624073829285,0.00015995182011809304,18
TP-GMM SE(2),microwave_door_revolute,30,0.0037346277769400743,0.00037816298420776203,18
TP-GMM additive,plate_front_push,8,0.024597359276494465,0.0005843538276989145,18
TP-GMM SE(2),plate_front_push,8,0.02602289923027946,0.0013259063144436492,18
TP-GMM additive,plate_front_push,15,0.004128504404402712,0.0003423361540282074,18
TP-GMM SE(2),plate_front_push,15,0.003920774192376602,0.001873895639630155,18
TP-GMM additive,plate_front_push,30,0.003867445900876661,0.00014280499846689942,18
TP-GMM SE(2),plate_front_push,30,0.0038427174503482433,0.001466453855538376,18
TP-GMM additive,bowl_on_stove,8,0.0335371229673406,0.0016308055325430378,18
TP-GMM SE(2),bowl_on_stove,8,0.03533743101240869,0.0030026183759397094,18
TP-GMM additive,bowl_on_stove,15,0.006065473424169356,0.002377818535113597,18
TP-GMM SE(2),bowl_on_stove,15,0.007985357144759331,0.002934876526267823,18
TP-GMM additive,bowl_on_stove,30,0.0031096332297158276,0.0026802486695856323,18
TP-GMM SE(2),bowl_on_stove,30,0.007818236589658767,0.0036660793589422995,18
TP-GMM additive,bowl_on_plate,8,0.03284521286544475,0.0021018074265022947,18
TP-GMM SE(2),bowl_on_plate,8,0.03294653773051851,0.0022721960907317036,18
TP-GMM additive,bowl_on_plate,15,0.0061309883716184526,0.0024049285998792636,18
TP-GMM SE(2),bowl_on_plate,15,0.007088671523414901,0.0034668507560681764,18
TP-GMM additive,bowl_on_plate,30,0.0028624099638845696,0.0028141552326547145,18
TP-GMM SE(2),bowl_on_plate,30,0.004330732371037623,0.003765708857066801,18
TP-GMM additive,cream_cheese_in_bowl,8,0.029023327567541335,0.009180975630711243,18
TP-GMM SE(2),cream_cheese_in_bowl,8,0.033944073555109255,0.0030170077200026542,18
TP-GMM additive,cream_cheese_in_bowl,15,0.006066756036548881,0.0023785274566992223,18
TP-GMM SE(2),cream_cheese_in_bowl,15,0.007896995760792079,0.0028396698277791173,18
TP-GMM additive,cream_cheese_in_bowl,30,0.002825314576264205,0.002978637383619626,18
TP-GMM SE(2),cream_cheese_in_bowl,30,0.007052030707151707,0.004397124031138981,18
TP-GMM additive,wine_bottle_on_rack,8,0.044964626396167114,0.0009853691220231497,18
TP-GMM SE(2),wine_bottle_on_rack,8,0.043001851107418734,0.00246124708326426,18
TP-GMM additive,wine_bottle_on_rack,15,0.015174507076388618,0.014265651569895928,18
TP-GMM SE(2),wine_bottle_on_rack,15,0.014615912619919937,0.0029036350907206128,18
TP-GMM additive,wine_bottle_on_rack,30,0.00542211554598993,0.0033726925748494567,18
TP-GMM SE(2),wine_bottle_on_rack,30,0.012134858109589237,0.005572044060814853,18
TP-GMM additive,wine_bottle_on_cabinet,8,0.03468353535678341,0.0009405016178702912,18
TP-GMM SE(2),wine_bottle_on_cabinet,8,0.03299780934184587,0.009321828574718301,18
TP-GMM additive,wine_bottle_on_cabinet,15,0.005840993878861142,0.0023605208915296345,18
TP-GMM SE(2),wine_bottle_on_cabinet,15,0.008985392280093157,0.0031215864630798726,18
TP-GMM additive,wine_bottle_on_cabinet,30,0.002794343985628495,0.002863612512935708,18
TP-GMM SE(2),wine_bottle_on_cabinet,30,0.006549986962625757,0.004035524087079827,18
TP-GMM additive,moka_pot_on_stove,8,0.03406271791910697,0.002006043461393213,18
TP-GMM SE(2),moka_pot_on_stove,8,0.03199391146853493,0.00678546976456196,18
TP-GMM additive,moka_pot_on_stove,15,0.005820736358025256,0.0024085701960958176,18
TP-GMM SE(2),moka_pot_on_stove,15,0.011159118922952887,0.0007831731882567412,18
TP-GMM additive,moka_pot_on_stove,30,0.0030969270700532663,0.0027917828078494558,18
TP-GMM SE(2),moka_pot_on_stove,30,0.007189307114855165,0.004281762933571426,18
