model,task_key,sample_size,alpha_active_du,alpha_active_dv,alpha_active_dw,alpha_active_roll,alpha_active_pitch,alpha_active_yaw
Frame-weighted (SE(3)),drawer_middle_open,8,0.2002283515137921,0.2002283515137921,0.2002283515137921,0.2002283515137921,0.2002283515137921,0.2002283515137921
Phase scalar GP (SE(3)),drawer_middle_open,8,0.20175093941793032,0.20175093941793032,0.20175093941793032,0.20175093941793032,0.20175093941793032,0.20175093941793032
TP-GMM additive (SE(3)),drawer_middle_open,8,0.9618944956316215,0.05417921580315072,0.017133781037330702,0.03749756172395783,0.05294177992672607,0.0470136873630315
TP-GMM SE(3),drawer_middle_open,8,0.9063053924520994,0.051770102426563255,0.022187257719905085,0.07481712547501429,0.0692457354157124,0.058550937519029476
Full operator (SE(3)),drawer_middle_open,8,0.9361464895038778,0.0,0.0,0.0,0.0,0.0
Pdiag pointwise (SE(3)),drawer_middle_open,8,0.9790248408200826,0.0,0.0,0.0,0.0,0.0
Pdiag finite (SE(3)),drawer_middle_open,8,1.0006427775789764,4.189904180789567e-06,4.257301748064147e-06,1.016647036671936e-05,1.0097748533843763e-05,7.309168461182531e-06
Frame-weighted (SE(3)),drawer_middle_open,15,0.17347964414295425,0.17347964414295425,0.17347964414295425,0.17347964414295425,0.17347964414295425,0.17347964414295425
Phase scalar GP (SE(3)),drawer_middle_open,15,0.17479882799331486,0.17479882799331486,0.17479882799331486,0.17479882799331486,0.17479882799331486,0.17479882799331486
TP-GMM additive (SE(3)),drawer_middle_open,15,0.9139995436567572,0.008579787147440713,0.008536834128333608,0.014245170138764177,0.015406199844244442,0.009930609893640696
TP-GMM SE(3),drawer_middle_open,15,0.9084806083699617,0.010738632566232104,0.013499989778790236,0.01054142646045153,0.01710452496735441,0.019855708148992218
Full operator (SE(3)),drawer_middle_open,15,1.0231256330045666,0.0,0.0,0.0,0.0,0.0
Pdiag pointwise (SE(3)),drawer_middle_open,15,0.9934527661378377,0.0,0.0,0.0,0.0,0.0
Pdiag finite (SE(3)),drawer_middle_open,15,1.011985130603278,1.791007173112332e-06,2.0636364905934152e-06,6.325189536773819e-06,7.276801046081942e-06,4.747637300696629e-06
Frame-weighted (SE(3)),drawer_middle_open,30,0.18837614468855124,0.18837614468855124,0.18837614468855124,0.18837614468855124,0.18837614468855124,0.18837614468855124
Phase scalar GP (SE(3)),drawer_middle_open,30,0.18980860536194266,0.18980860536194266,0.18980860536194266,0.18980860536194266,0.18980860536194266,0.18980860536194266
TP-GMM additive (SE(3)),drawer_middle_open,30,0.9394331224777304,0.002871143668216109,0.0034240439416693964,0.007225847423669274,0.006605315062612786,0.0015328280619781864
TP-GMM SE(3),drawer_middle_open,30,0.9264538925513391,0.0030074415419408455,0.0030561571081461148,0.006689385728028426,0.006789195751169578,0.0015888218697936256
Full operator (SE(3)),drawer_middle_open,30,0.9799590281262017,0.0,0.0,0.0,0.0,0.0
Pdiag pointwise (SE(3)),drawer_middle_open,30,0.9671789867410011,0.0,0.0,0.0,0.0,0.0
