model,sample_size,mean,std,count
Frame-weighted (SE(3)),8,0.12327238390608335,0.030608503597090782,180
Phase scalar GP (SE(3)),8,0.123274448356451,0.03061005524619275,180
TP-GMM additive (SE(3)),8,0.010384599767835971,0.007678203220651667,180
TP-GMM SE(3),8,0.010629872180650486,0.007811611426238088,180
Full operator (SE(3)),8,0.003205148360016858,0.005007853026804109,180
Pdiag pointwise (SE(3)),8,0.0005144339508660096,0.0005734992376016855,180
Pdiag finite (SE(3)),8,0.00019913307354571953,0.00027086110116918187,180
Frame-weighted (SE(3)),15,0.12422576923710339,0.03147519319791723,180
Phase scalar GP (SE(3)),15,0.12422772699162501,0.03147666765274425,180
TP-GMM additive (SE(3)),15,0.0036943908272287587,0.005946833422231027,180
TP-GMM SE(3),15,0.0035185208599271475,0.006294650020624315,180
Full operator (SE(3)),15,0.0002363073967395975,0.0002306176714723909,180
Pdiag pointwise (SE(3)),15,0.00017850241412098138,0.00024726722642171207,180
Pdiag finite (SE(3)),15,3.8000785324325984e-05,1.9095448169794874e-05,180
Frame-weighted (SE(3)),30,0.12307200863715326,0.030113723885747106,180
Phase scalar GP (SE(3)),30,0.12307405917912513,0.030115322835262776,180
TP-GMM additive (SE(3)),30,0.0036219945638836896,0.0023869750535382636,180
TP-GMM SE(3),30,0.00378395098404014,0.0021584593249326643,180
Full operator (SE(3)),30,0.0001610802953754037,0.00014284466960702861,180
Pdiag pointwise (SE(3)),30,0.00018718275567587256,0.00012551235090261102,180
Pdiag finite (SE(3)),30,3.540450099956281e-05,1.746413920941016e-05,180
