model,task_key,sample_size,mean,std,count
Frame-weighted (SE(3)),drawer_middle_open,8,0.08342017623118933,0.0020688734782356682,18
Phase scalar GP (SE(3)),drawer_middle_open,8,0.08342042138135433,0.002068751023304752,18
TP-GMM additive (SE(3)),drawer_middle_open,8,0.011642690687653457,0.014236467958267985,18
TP-GMM SE(3),drawer_middle_open,8,0.01570331601735859,0.014377238337870291,18
Full operator (SE(3)),drawer_middle_open,8,0.0013728567567965163,0.0027266822354840323,18
Pdiag pointwise (SE(3)),drawer_middle_open,8,0.00024019249301891898,0.00038217164330296065,18
Pdiag finite (SE(3)),drawer_middle_open,8,0.0001120812487448826,0.0002182408427659781,18
Frame-weighted (SE(3)),drawer_middle_open,15,0.0821402739161296,0.001169775992977147,18
Phase scalar GP (SE(3)),drawer_middle_open,15,0.08214060837932136,0.0011696922555222203,18
TP-GMM additive (SE(3)),drawer_middle_open,15,0.0067000181984770025,0.012526973243750454,18
TP-GMM SE(3),drawer_middle_open,15,0.006886629726378535,0.013358697181421382,18
Full operator (SE(3)),drawer_middle_open,15,0.00010384249758456966,0.00014666307931459106,18
Pdiag pointwise (SE(3)),drawer_middle_open,15,9.863378480121325e-05,0.00011899769694944851,18
Pdiag finite (SE(3)),drawer_middle_open,15,1.878560018299535e-05,5.304050808937896e-06,18
Frame-weighted (SE(3)),drawer_middle_open,30,0.08178206836434158,0.0004037064542850391,18
Phase scalar GP (SE(3)),drawer_middle_open,30,0.08178239442707153,0.00040366392937230135,18
TP-GMM additive (SE(3)),drawer_middle_open,30,0.0011544058447510548,0.000585460258281162,18
TP-GMM SE(3),drawer_middle_open,30,0.0015010073856733441,0.0005589666838631136,18
Full operator (SE(3)),drawer_middle_open,30,6.951685550880044e-05,5.5478064621374596e-05,18
Pdiag pointwise (SE(3)),drawer_middle_open,30,0.00011595821090774055,6.578251919569662e-05,18
Pdiag finite (SE(3)),drawer_middle_open,30,1.62612282782653e-05,3.1034982156252497e-06,18
Frame-weighted (SE(3)),stove_knob_turn,8,0.0891085701199248,0.005824927034763125,18
Phase scalar GP (SE(3)),stove_knob_turn,8,0.08910848908542746,0.005824630376648944,18
TP-GMM additive (SE(3)),stove_knob_turn,8,0.010563864647014178,0.003642589610839107,18
TP-GMM SE(3),stove_knob_turn,8,0.009752721962973705,0.004054363956362841,18
Full operator (SE(3)),stove_knob_turn,8,0.0001241878941771657,0.00017814050526717765,18
Pdiag pointwise (SE(3)),stove_knob_turn,8,3.4258532377421095e-05,3.135646451215257e-05,18
Pdiag finite (SE(3)),stove_knob_turn,8,1.4507888482506717e-05,1.9183029488097635e-06,18
Frame-weighted (SE(3)),stove_knob_turn,15,0.09008228378096737,0.005500297993678379,18
Phase scalar GP (SE(3)),stove_knob_turn,15,0.09008214752830732,0.00550002832044997,18
TP-GMM additive (SE(3)),stove_knob_turn,15,0.002565269989064192,0.00022441666243340754,18
TP-GMM SE(3),stove_knob_turn,15,0.0025307475667881475,0.0004571427482502066,18
Full operator (SE(3)),stove_knob_turn,15,8.340661115330061e-06,5.185177440013464e-06,18
Pdiag pointwise (SE(3)),stove_knob_turn,15,4.213530920295646e-06,2.99962634393129e-06,18
