model,task_key,sample_size,alpha_active_du,alpha_active_dv,alpha_active_yaw
TP-GMM additive,drawer_middle_open,8,0.9753272032986838,0.006219730641350315,0.003892519065108399
TP-GMM SE(2),drawer_middle_open,8,0.9775317686886696,0.005438590401026646,0.0031854580690544743
TP-GMM additive,drawer_middle_open,15,0.9409265514691173,0.002450028398161762,0.0020782499943399944
TP-GMM SE(2),drawer_middle_open,15,0.9197433967671313,0.0025500344182380016,0.0018731896653862335
TP-GMM additive,drawer_middle_open,30,0.9494921758219574,0.01012189568628571,0.015231572415467465
TP-GMM SE(2),drawer_middle_open,30,0.9663206590847587,0.004010553951127113,0.009955103165680481
TP-GMM additive,stove_knob_turn,8,0.0035837890230412117,0.004558186854961606,0.9943484968929689
TP-GMM SE(2),stove_knob_turn,8,0.0037365606198653057,0.003671725287235708,0.9944376835586163
TP-GMM additive,stove_knob_turn,15,0.0032478530845956397,0.0023488232668803966,0.9960653258819657
TP-GMM SE(2),stove_knob_turn,15,0.0027812560782765126,0.002595612559108927,0.9960460671986913
TP-GMM additive,stove_knob_turn,30,0.006607569764157472,0.0032707629490812493,0.9925123997846514
TP-GMM SE(2),stove_knob_turn,30,0.004900673245304099,0.0071111859299120995,0.9876461001690173
TP-GMM additive,microwave_door_revolute,8,0.003583789023040261,0.004558186854960934,0.994348496893022
TP-GMM SE(2),microwave_door_revolute,8,0.003736560619865391,0.003671725287235231,0.9944376835585899
TP-GMM additive,microwave_door_revolute,15,0.0032478530846030552,0.002348823266881679,0.996065325881971
TP-GMM SE(2),microwave_door_revolute,15,0.0027812560782764107,0.00259561255910898,0.996046067198707
TP-GMM additive,microwave_door_revolute,30,0.0066075697642260225,0.0032707629490890417,0.9925123997849483
TP-GMM SE(2),microwave_door_revolute,30,0.004900673245305855,0.007111185929908073,0.9876461001690385
TP-GMM additive,plate_front_push,8,0.9753272032986838,0.006219730641350315,0.003892519065108399
TP-GMM SE(2),plate_front_push,8,0.9775317686886696,0.005438590401026646,0.0031854580690544743
TP-GMM additive,plate_front_push,15,0.9409265514691173,0.002450028398161762,0.0020782499943399944
TP-GMM SE(2),plate_front_push,15,0.9197433967671313,0.0025500344182380016,0.0018731896653862335
TP-GMM additive,plate_front_push,30,0.9494921758219574,0.01012189568628571,0.015231572415467465
