model,task_key,sample_size,mean,std,count
TP-GMM additive,drawer_middle_open,8,0.0026814727385717444,0.0010154753035122714,18
TP-GMM SE(2),drawer_middle_open,8,0.0022822459669308336,0.0017030320492856235,18
TP-GMM additive,drawer_middle_open,15,0.0036351273572224462,0.0023052779560199135,18
TP-GMM SE(2),drawer_middle_open,15,0.0031301590955283842,0.0011830558984618237,18
TP-GMM additive,drawer_middle_open,30,0.0025138687352653927,0.0013018696092452768,18
TP-GMM SE(2),drawer_middle_open,30,0.001477714760596569,0.0014476426835316916,18
TP-GMM additive,stove_knob_turn,8,0.0034333087920163713,0.0013549352609402126,18
TP-GMM SE(2),stove_knob_turn,8,0.003471337492552143,0.0011000780655392951,18
TP-GMM additive,stove_knob_turn,15,0.004354276575410762,0.00038065518303534516,18
TP-GMM SE(2),stove_knob_turn,15,0.004267338613885182,0.0002640892338518811,18
TP-GMM additive,stove_knob_turn,30,0.0016950722659773985,0.0012434572549714646,18
TP-GMM SE(2),stove_knob_turn,30,0.002150234505457069,0.0017487174732571697,18
TP-GMM additive,microwave_door_revolute,8,0.0034333087920401153,0.0013549352609031407,18
TP-GMM SE(2),microwave_door_revolute,8,0.003471337492551631,0.0011000780655353413,18
TP-GMM additive,microwave_door_revolute,15,0.004354276575363409,0.00038065518303857267,18
TP-GMM SE(2),microwave_door_revolute,15,0.00426733861388617,0.00026408923385118946,18
TP-GMM additive,microwave_door_revolute,30,0.0016950722659677413,0.0012434572549602058,18
TP-GMM SE(2),microwave_door_revolute,30,0.002150234505451747,0.001748717473261349,18
TP-GMM additive,plate_front_push,8,0.0026814727385717444,0.0010154753035122714,18
TP-GMM SE(2),plate_front_push,8,0.0022822459669308336,0.0017030320492856235,18
TP-GMM additive,plate_front_push,15,0.0036351273572224462,0.0023052779560199135,18
TP-GMM SE(2),plate_front_push,15,0.0031301590955283842,0.0011830558984618235,18
TP-GMM additive,plate_front_push,30,0.0025138687352653927,0.0013018696092452768,18
TP-GMM SE(2),plate_front_push,30,0.001477714760596569,0.0014476426835316916,18
TP-GMM additive,bowl_on_stove,8,0.003847893394112324,0.001530795922949963,18
TP-GMM SE(2),bowl_on_stove,8,0.004283983009908995,0.001539457017160788,18
TP-GMM additive,bowl_on_stove,15,0.006665154305130169,0.0035412793004656793,18
TP-GMM SE(2),bowl_on_stove,15,0.0057496235904721344,0.004050407984388962,18
TP-GMM additive,bowl_on_stove,30,0.005109395905650422,0.0033438507120959224,18
TP-GMM SE(2),bowl_on_stove,30,0.006403258269489311,0.004286277789139292,18
TP-GMM additive,bowl_on_plate,8,0.0038478933941410564,0.0015307959229952188,18
TP-GMM SE(2),bowl_on_plate,8,0.004283983009932665,0.0015394570171455254,18
TP-GMM additive,bowl_on_plate,15,0.0066651543051382284,0.0035412793004581987,18
TP-GMM SE(2),bowl_on_plate,15,0.005749623590481461,0.004050407984400845,18
TP-GMM additive,bowl_on_plate,30,0.0051093959056628556,0.00334385071208792,18
TP-GMM SE(2),bowl_on_plate,30,0.0064032582694874066,0.004286277789131224,18
TP-GMM additive,cream_cheese_in_bowl,8,0.0038478933941285868,0.0015307959229611278,18
TP-GMM SE(2),cream_cheese_in_bowl,8,0.00428398300991641,0.001539457017159429,18
TP-GMM additive,cream_cheese_in_bowl,15,0.006665154305130757,0.0035412793004631743,18
TP-GMM SE(2),cream_cheese_in_bowl,15,0.005749623590471195,0.004050407984388082,18
TP-GMM additive,cream_cheese_in_bowl,30,0.005109395905651949,0.0033438507120934395,18
TP-GMM SE(2),cream_cheese_in_bowl,30,0.006403258269488242,0.004286277789137312,18
TP-GMM additive,wine_bottle_on_rack,8,0.011174226812157744,0.0018541302114892268,18
TP-GMM SE(2),wine_bottle_on_rack,8,0.011579260454943986,0.0017355710316917542,18
TP-GMM additive,wine_bottle_on_rack,15,0.009980723247532082,0.003339053002690649,18
TP-GMM SE(2),wine_bottle_on_rack,15,0.009021180673472552,0.004169870545819917,18
TP-GMM additive,wine_bottle_on_rack,30,0.004193090865766563,0.0019109698917283348,18
TP-GMM SE(2),wine_bottle_on_rack,30,0.0031823622148615628,0.00030218980810314,18
TP-GMM additive,wine_bottle_on_cabinet,8,0.0038478933941189022,0.001530795922966846,18
TP-GMM SE(2),wine_bottle_on_cabinet,8,0.004283983009917683,0.0015394570171543432,18
TP-GMM additive,wine_bottle_on_cabinet,15,0.006665154305133748,0.003541279300463258,18
TP-GMM SE(2),wine_bottle_on_cabinet,15,0.005749623590477377,0.004050407984395609,18
TP-GMM additive,wine_bottle_on_cabinet,30,0.005109395905655861,0.0033438507120935267,18
TP-GMM SE(2),wine_bottle_on_cabinet,30,0.006403258269489256,0.004286277789136352,18
TP-GMM additive,moka_pot_on_stove,8,0.003847893394109396,0.001530795922972939,18
TP-GMM SE(2),moka_pot_on_stove,8,0.004283983009918713,0.0015394570171497087,18
TP-GMM additive,moka_pot_on_stove,15,0.006665154305137479,0.00354127930046349,18
TP-GMM SE(2),moka_pot_on_stove,15,0.0057496235904831335,0.004050407984402911,18
TP-GMM additive,moka_pot_on_stove,30,0.005109395905659824,0.00334385071209277,18
TP-GMM SE(2),moka_pot_on_stove,30,0.006403258269490458,0.004286277789135453,18
