param,E_task_physical,delta_E_task_physical,E_task_scalar_physical,delta_z_switch_mm,rho_alpha_event,rmse_alpha_event,E_gen,g_translation_final,g_yaw_final,seed
oracle,3.6140310781472804,0.0,5.581263680526973,-5.589745938777924,1.0,0.0,0.1689093342410541,0.9846759801038194,0.023399239083336784,20260818
time,14.601763910635004,10.987732832487723,16.246283093047925,56.335948407649994,-0.5500769477192008,0.7435973942841094,0.5697175981134478,0.4483413198711256,0.10746106950638255,20260818
arc,3.8295753186234163,0.21554424047613585,8.066819466282741,44.2066490650177,0.7229999787261286,0.37705678148076693,0.2183580252903177,0.9746143881208762,0.1446356734837928,20260818
keypoint,4.458809577339279,0.8447784991919987,10.312334928190737,-5.256824195384979,0.6342625159097093,0.48018194316912444,0.24363776392768738,0.9908017835879442,3.275974570812352e-08,20260818
dtw,4.654180992576479,1.0401499144291986,10.409561067874048,13.149715960025787,0.7933732500096791,0.3249130266362498,0.23921528850800078,0.9797173950120535,0.03305859827996482,20260818
dtw-position,2.0798972357001047,-1.5341338424471758,8.802534170438257,-4.8723965883255005,0.8464722593192079,0.28891157780410986,0.1302508245202117,0.9827044748090784,0.0782059519451859,20260818
oracle,3.490909891856038,0.0,3.868472561373852,-3.8139671087265015,1.0,0.0,0.1130652396457597,0.9971706673545808,0.02735617692740004,20270818
time,5.156731419115517,1.665821527259479,5.542528885209272,-9.408004581928253,0.8025402974359376,0.250161278514887,0.13695972877599516,0.9886178970064998,0.03646992852627859,20270818
arc,2.3303781837050233,-1.160531708151015,3.4766018146572097,-9.408004581928253,0.8797433906027239,0.20444234388473637,0.08979404711004527,0.9819270202737865,0.19902511454773397,20270818
keypoint,7.985424190831081,4.494514298975043,8.504823203282628,-5.637623369693756,0.8926093215781564,0.196453550871961,0.406025372029424,0.9961218858877483,7.423082841293041e-11,20270818
dtw,2.771915877916061,-0.7189940139399771,4.3858365538998605,3.4023672342300415,0.7941775691321865,0.2897404102446932,0.22126872609126033,0.9964501208263754,0.028641435917535374,20270818
dtw-position,2.4750216082163172,-1.015888283639721,3.552873190439357,-4.573144018650055,0.9930179007550082,0.049676494757388986,0.09085193394835991,0.9968760749407568,0.02230104999193923,20270818
oracle,8.78364410942174,0.0,10.064382284087195,-3.842003643512726,1.0,0.0,0.4932867810143436,0.987543755727835,0.024991079317559887,20280818
time,20.50566488409514,11.7220207746734,19.997815360026145,3.412604331970215,0.23928335510493684,0.5175584662410821,2.4136293158310096,0.890703685837812,1.2499999999998832,20280818
arc,7.672980086260991,-1.1106640231607487,10.916349066622907,-6.879888474941254,0.9074288663280866,0.20313596405470705,0.6642249655092839,0.9786036543560286,0.2449219255499066,20280818
keypoint,12.03850001693017,3.2548559075084302,15.626387413315834,-6.252475082874298,0.8857984001260844,0.20286730022193084,0.17572575276498356,0.9904618960177843,9.726383593120083e-07,20280818
dtw,6.737712652158272,-2.0459314572634675,11.183597401686978,3.412604331970215,0.8076015693625145,0.2878399808878979,0.26076115286777074,0.9857339995455081,0.034855505537632565,20280818
dtw-position,6.603113994711558,-2.180530114710182,10.650388432073758,-4.576288163661957,0.9747246357568156,0.10118561081553226,0.16442402537550843,0.9865490999821662,0.02064959664226826,20280818
oracle,4.458726412625038,0.0,6.587708439809314,-4.89816814661026,1.0,0.0,0.25353313851382203,0.9821102755420359,0.025049741980243546,20290818
time,10.332174553300451,5.873448140675413,11.581104882877431,-3.572329878807068,0.7982535249869569,0.3506439149447333,0.31953123670089223,1.2499999999998832,0.0001789860839858018,20290818
arc,5.931914568609856,1.4731881559848183,8.158038121902912,-11.164963245391846,0.8317135226743323,0.2962446440680633,0.30093082290875617,1.0514355826162813,0.30947608834488494,20290818
keypoint,10.311710150329686,5.8529837377046485,16.02660952217564,-6.794363260269165,0.8239396071243362,0.2780264106130264,0.5065621026276875,0.9836581596000302,3.1990203532515925e-12,20290818
dtw,3.0356773220665287,-1.423049090558509,9.376095185728044,2.8999298810958862,0.7249189548645251,0.3132881280635019,0.20563095951785748,0.9809405130016765,0.06212437711883898,20290818
dtw-position,2.4489984132697025,-2.009727999355335,9.147287004660074,-4.931025207042694,0.9247316347699088,0.18089790322323784,0.10054105399473157,0.9849714487595125,7.175108579964349e-08,20290818
oracle,2.667987418534377,0.0,3.2723814285465633,-3.22616845369339,1.0,0.0,0.06235716912104475,0.9796957152479628,0.02828778386191699,20300818
time,4.941951865513163,2.273964446978786,4.816292842432015,0.0,0.8444403802722987,0.2632584822692287,0.28601214578956824,0.9733537484021809,0.07185048277247351,20300818
arc,7.735664452469827,5.06767703393545,8.307483502483922,-1.9072145223617554,0.8839429314302939,0.20198081506742602,0.36757300247526536,0.485771179004574,0.03467259612053446,20300818
keypoint,9.675065653097848,7.007078234563471,10.149741411073459,-6.290853023529053,0.7884474675224202,0.2707608584570929,0.41192498688533785,0.9805164406373763,1.6488648446459656e-07,20300818
dtw,3.4806752559608323,0.8126878374264552,4.845672570201002,11.17781549692154,0.7572860884447651,0.3281505652566473,0.15890123659386363,0.9806814833361891,0.031325676231441425,20300818
dtw-position,2.3323660621249678,-0.33562135640940927,3.255297218387045,-3.3818036317825317,0.9914161490600344,0.05498134188067111,0.16457958450641585,0.9828356271784594,0.02314285786949209,20300818
