param,s_end_mean,s_end_min,s_end_max,frac_s_end_gt_1,frac_s_end_lt_1,seed
time,0.9943224829674491,0.7607872823618471,1.8849356548069645,0.2,0.8,20260818
arc,1.0000000000000002,0.9184647592423909,1.1620132759081263,0.4,0.6,20260818
keypoint,1.0,0.9897182748942207,1.0257717525666512,0.36666666666666664,0.6333333333333333,20260818
time,0.9938662850132898,0.8587200981394398,1.2696790022490287,0.4,0.6,20270818
arc,0.9999999999999999,0.9518650749200307,1.078750813771774,0.4,0.6,20270818
keypoint,1.0000000000000002,0.9865643764334445,1.0162193365664973,0.4,0.6,20270818
time,0.9940381558028618,0.8227344992050875,2.0687599364069955,0.36666666666666664,0.6333333333333333,20280818
arc,1.0,0.9276630489956017,1.176506238395914,0.4,0.6,20280818
keypoint,1.0000000000000002,0.9903143323791146,1.0170331190721542,0.3333333333333333,0.6666666666666666,20280818
time,0.9941417691857061,0.7791446983011131,1.9859402460456943,0.3,0.7,20290818
arc,0.9999999999999999,0.8657825617476623,2.807680353027945,0.1,0.9,20290818
keypoint,0.9999999999999999,0.9838795077410286,1.028330859608046,0.5,0.5,20290818
time,0.9939073923639318,0.8164094232331438,1.3952071486596265,0.43333333333333335,0.5666666666666667,20300818
arc,1.0000000000000002,0.879744553412975,2.4422892030623515,0.13333333333333333,0.8666666666666667,20300818
keypoint,1.0,0.98725937896206,1.028945038499831,0.43333333333333335,0.5666666666666667,20300818
