model,sample_size,m_yaw_accuracy,yaw_active_heading_mean,yaw_active_free_mean
Frame-weighted (SE(3)),8,0.8333333333333334,0.5662822005862341,0.39967218179735886
Frame-weighted (SE(3)),15,0.9444444444444444,0.5772478653091242,0.392352088767162
Frame-weighted (SE(3)),30,1.0,0.5789959605024406,0.38321243310206576
Full operator (SE(3)),8,1.0,0.6966046485875441,0.06460972037919586
Full operator (SE(3)),15,1.0,0.6931578572996377,0.04501615670168246
Full operator (SE(3)),30,1.0,0.7164525266018985,0.03564216050612211
Pdiag finite (SE(3)),8,1.0,0.6587882293902984,0.10769772157516161
Pdiag finite (SE(3)),15,1.0,0.6767886973248723,0.04838258814749243
Pdiag finite (SE(3)),30,1.0,0.695762491760037,0.05026711861123416
Pdiag pointwise (SE(3)),8,1.0,0.6712451811346902,0.09005572390172949
Pdiag pointwise (SE(3)),15,1.0,0.6903654258152769,0.027313924917175332
Pdiag pointwise (SE(3)),30,1.0,0.7148436028833447,0.029616111183822163
