model,arm,sample_size,alpha_active_du,alpha_active_dv,alpha_active_dw,alpha_active_roll,alpha_active_pitch,alpha_active_yaw
Frame-weighted (SE(3)),heading_push,8,0.5662822005862341,0.5662822005862341,0.5662822005862341,0.5662822005862341,0.5662822005862341,0.5662822005862341
Full operator (SE(3)),heading_push,8,1.962227191483124,1.3540804567877442,0.08846046414078228,0.018987653676685243,0.03434126614000567,0.6966046485875441
Pdiag pointwise (SE(3)),heading_push,8,1.0211819354618985,1.054047847253689,0.047202056718533496,0.01442290864749419,0.004007501044770332,0.6712451811346902
Pdiag finite (SE(3)),heading_push,8,0.9676140413835321,1.024801241848635,0.0869798347822621,0.04181133021536591,0.2296112874105743,0.6587882293902984
Frame-weighted (SE(3)),heading_push,15,0.5772478653091242,0.5772478653091242,0.5772478653091242,0.5772478653091242,0.5772478653091242,0.5772478653091242
Full operator (SE(3)),heading_push,15,1.1142619649275,1.0330097710089658,0.028978676868223346,0.010926167943302454,0.0034182612504983388,0.6931578572996377
Pdiag pointwise (SE(3)),heading_push,15,1.0978368973760266,1.02409989983878,0.03051523836190549,0.002263573374852271,0.003993741621106358,0.6903654258152769
Pdiag finite (SE(3)),heading_push,15,1.0305429835260311,1.0349511888270102,0.031677422847615495,0.020262618759435913,0.17614250968135858,0.6767886973248723
Frame-weighted (SE(3)),heading_push,30,0.5789959605024406,0.5789959605024406,0.5789959605024406,0.5789959605024406,0.5789959605024406,0.5789959605024406
Full operator (SE(3)),heading_push,30,1.1734071759220643,1.0264982749829872,0.029684251933538693,0.010618951686597738,0.005551190399675534,0.7164525266018985
Pdiag pointwise (SE(3)),heading_push,30,1.1024973162520733,1.0232512215450082,0.035231298594700866,0.004764659598291814,0.005798120797118046,0.7148436028833447
Pdiag finite (SE(3)),heading_push,30,1.10104740711721,1.0184431421678868,0.04133529936534926,0.019586966203496793,0.09300560636401317,0.695762491760037
Frame-weighted (SE(3)),free_yaw_push,8,0.39967218179735886,0.39967218179735886,0.39967218179735886,0.39967218179735886,0.39967218179735886,0.39967218179735886
Full operator (SE(3)),free_yaw_push,8,1.0301065576856214,0.9771393114992186,0.019447769104801102,0.014615317670486674,0.003636503192980938,0.06460972037919588
Pdiag pointwise (SE(3)),free_yaw_push,8,0.9927977319372321,0.974112754895249,0.0215419962607855,0.013962352560002465,0.0017482915841690117,0.09005572390172949
Pdiag finite (SE(3)),free_yaw_push,8,0.9913534378824745,0.9388050996883521,0.019839779164806615,0.03338150406688087,0.039437617484550075,0.10769772157516161
Frame-weighted (SE(3)),free_yaw_push,15,0.392352088767162,0.392352088767162,0.392352088767162,0.392352088767162,0.392352088767162,0.392352088767162
Full operator (SE(3)),free_yaw_push,15,1.0213479898895763,1.0140910630131401,0.010395277341762378,0.015327446540406372,0.0017609933853182558,0.04501615670168245
Pdiag pointwise (SE(3)),free_yaw_push,15,1.0177196926903425,1.0077771914541194,0.011895921687763074,0.009296401858463333,0.0021249576273144164,0.027313924917175332
Pdiag finite (SE(3)),free_yaw_push,15,0.9971733579663723,1.0208850724613,0.010626187072510182,0.023491537147869574,0.025550268059252708,0.04838258814749243
Frame-weighted (SE(3)),free_yaw_push,30,0.38321243310206576,0.38321243310206576,0.38321243310206576,0.38321243310206576,0.38321243310206576,0.38321243310206576
Full operator (SE(3)),free_yaw_push,30,1.0058396099124225,0.9959548727445939,0.004448428225409685,0.005931927483587034,0.000981161284977664,0.03564216050612211
Pdiag pointwise (SE(3)),free_yaw_push,30,1.0059454418059353,0.9990024037499301,0.00523195313835884,0.004696897817782505,0.0012455914368066688,0.029616111183822163
Pdiag finite (SE(3)),free_yaw_push,30,1.0111608242997778,0.9989645573137409,0.006538077966593573,0.015841532504060542,0.02223671605351467,0.05026711861123416
