model,arm,sample_size,mean,std,count
Frame-weighted (SE(3)),heading_push,8,0.1981362407070036,0.004617603162407074,18
Full operator (SE(3)),heading_push,8,0.30463058345706057,0.41637939852100925,18
Pdiag pointwise (SE(3)),heading_push,8,0.08315611972167623,0.02460740942841775,18
Pdiag finite (SE(3)),heading_push,8,0.07198108466553493,0.012023479300434925,18
Frame-weighted (SE(3)),heading_push,15,0.19506466340223672,0.0035432984582206626,18
Full operator (SE(3)),heading_push,15,0.07744029506578518,0.02320644011286654,18
Pdiag pointwise (SE(3)),heading_push,15,0.06340414955915426,0.009298544654353149,18
Pdiag finite (SE(3)),heading_push,15,0.06218664428496935,0.009650595994752027,18
Frame-weighted (SE(3)),heading_push,30,0.1937249899452148,0.002015955440971761,18
Full operator (SE(3)),heading_push,30,0.05826964416827304,0.006913907288629547,18
Pdiag pointwise (SE(3)),heading_push,30,0.05761337890064328,0.006779127870067043,18
Pdiag finite (SE(3)),heading_push,30,0.056931744857436475,0.006670549741443851,18
Frame-weighted (SE(3)),free_yaw_push,8,0.18165411598019218,0.004009974523327633,18
Full operator (SE(3)),free_yaw_push,8,0.06557361747306381,0.04334574743090634,18
Pdiag pointwise (SE(3)),free_yaw_push,8,0.041960833143411744,0.005011479406894497,18
Pdiag finite (SE(3)),free_yaw_push,8,0.042495609509261685,0.0046694580123770825,18
Frame-weighted (SE(3)),free_yaw_push,15,0.18057245498884764,0.0029712079385814955,18
Full operator (SE(3)),free_yaw_push,15,0.03799383374164809,0.0034218122906634362,18
Pdiag pointwise (SE(3)),free_yaw_push,15,0.037811917427289725,0.002593030480332812,18
Pdiag finite (SE(3)),free_yaw_push,15,0.037770844866948816,0.0022000672931032383,18
Frame-weighted (SE(3)),free_yaw_push,30,0.17907131253434844,0.0009468638117710697,18
Full operator (SE(3)),free_yaw_push,30,0.038064923439034185,0.002183276686050938,18
Pdiag pointwise (SE(3)),free_yaw_push,30,0.037770234165265384,0.0018640240846418811,18
Pdiag finite (SE(3)),free_yaw_push,30,0.03790831813947766,0.001634461079610137,18
