seed,model,generator,task_error_mm_equiv_mean,task_error_mm_equiv_median,task_endpoint_error_mm_equiv_mean,task_endpoint_error_mm_equiv_median
20260818,Frame-weighted,yaw,3.339221631394837,3.144771682982806,0.15946161549914534,0.15694677689622236
20260818,Frame-weighted,translation,5.326038626845741,5.370462516486637,6.279542488147649,6.461403654792727
20260818,Phase scalar GP,yaw,3.344437934086579,3.159484281032696,0.15931360861777757,0.15680049237194532
20260818,Phase scalar GP,translation,5.334025994755577,5.380756273277836,6.2689679034365415,6.450924036483797
20260818,TP-GMM additive,yaw,3.019492656430395,2.849076466883435,0.12447614793659652,0.1219656929779872
20260818,TP-GMM additive,translation,2.782284814172363,2.762139706048046,0.3110313221656581,0.13706366604410425
20260818,TP-GMM SE(2),yaw,2.6259744987585667,2.3812302925674613,0.14845083273177123,0.12345964690682665
20260818,TP-GMM SE(2),translation,2.8632461074751956,2.639196039129436,0.273140129136534,0.12140212655748694
20260818,Generic RBF,yaw,3.565087732511112,3.5244914769285853,2.6700926623976464,2.660050474343092
20260818,Generic RBF,translation,5.453492655713495,5.476896054750997,2.6699181356131634,2.689260048051165
20260818,Full operator,yaw,2.481129469970517,2.4241158830108347,0.11348493021652548,0.08762341666824791
20260818,Full operator,translation,4.81384188834199,4.869481614858655,0.31876244844092383,0.1290348139111412
20260818,Pdiag pointwise,yaw,3.2629405558127274,3.143539921160902,0.10274228306872035,0.10645058756264525
20260818,Pdiag pointwise,translation,3.1212638149236662,3.358990132082371,0.2995402316762794,0.0983944932349607
20260818,Pdiag finite,yaw,1.8780197770609468,1.8289866805495532,0.19684127389027115,0.18879096531555065
20260818,Pdiag finite,translation,2.394022624035217,2.5038833104800293,0.689297192879156,0.654637920360196
20270818,Frame-weighted,yaw,2.9389504127304273,2.708936522496815,0.1466448709417706,0.1298788806457613
20270818,Frame-weighted,translation,3.854141221405305,3.927302607622224,6.40644735800974,6.442937239038395
20270818,Phase scalar GP,yaw,2.9389548535038448,2.708954900684022,0.14664011181003453,0.1298733772670118
20270818,Phase scalar GP,translation,3.854163335794552,3.927320273476832,6.406077039656677,6.442570497836613
20270818,TP-GMM additive,yaw,4.483653275709606,4.25231952546892,0.14695416695175628,0.13704501234541025
20270818,TP-GMM additive,translation,3.6550076475750544,3.750036697428519,0.2335525429655244,0.1499004810388288
20270818,TP-GMM SE(2),yaw,3.4322281369323098,3.2926407904019834,0.6778959788170562,0.7743586406098352
20270818,TP-GMM SE(2),translation,2.2631724566199303,2.3907699855411084,0.9998661755137158,1.0067063673903645
20270818,Generic RBF,yaw,2.307443333177648,2.3879458783327108,0.11203862585882135,0.1198431381687784
20270818,Generic RBF,translation,1.5775816941935048,1.5656121413992174,0.35758294693458653,0.36696398862666046
20270818,Full operator,yaw,2.295949706590925,2.37541495012922,0.1122457986510803,0.1201660281270168
20270818,Full operator,translation,1.5685931237825639,1.5623834161517918,0.3573844926725371,0.3667601045455726
