model,sample_size,alpha_pre_du,alpha_pre_dv,alpha_pre_dw,alpha_pre_roll,alpha_pre_pitch,alpha_pre_yaw
Frame-weighted (SE(3)),8,0.7122296509478923,0.7122296509478923,0.7122296509478923,0.7122296509478923,0.7122296509478923,0.7122296509478923
Full operator (SE(3)),8,0.78698636321077,0.57434261694634,0.7514599696117766,0.8076983446674532,0.8269949115545658,0.8214071727649307
Pdiag pointwise (SE(3)),8,0.22916297413079517,0.7046642499711033,0.7567730991373458,0.8102224721988637,0.8216862107987126,0.8219850585509519
Pdiag finite (SE(3)),8,0.7553286119491057,0.7892687503655842,0.8585865144395322,0.7993115447205412,0.8028185739589325,0.7654483472221365
Frame-weighted (SE(3)),15,0.6828895576098181,0.6828895576098181,0.6828895576098181,0.6828895576098181,0.6828895576098181,0.6828895576098181
Full operator (SE(3)),15,0.8063186337005936,0.769382063047743,0.8489992310907494,0.8179690515788024,0.818615738693287,0.7626748345232978
Pdiag pointwise (SE(3)),15,0.5803429768975357,0.551064048019777,0.7954634038034426,0.8096886371556761,0.8168167765870646,0.7558871818359963
Pdiag finite (SE(3)),15,0.7796773459473161,0.819042583464823,0.844814504793737,0.8250974593616877,0.8029943851706618,0.778027286059789
Frame-weighted (SE(3)),30,0.7126234180423102,0.7126234180423102,0.7126234180423102,0.7126234180423102,0.7126234180423102,0.7126234180423102
Full operator (SE(3)),30,0.8084030745840368,0.8429596519252739,0.8361682577499405,0.8112278876434424,0.8191268834507004,0.7751119137723564
Pdiag pointwise (SE(3)),30,0.742762703139243,0.372364450538873,0.813941138178002,0.8100853064600823,0.819152296138368,0.7860649494070905
Pdiag finite (SE(3)),30,0.7967998661926132,0.8344813595448801,0.8757370278038156,0.8335137312605194,0.816364194152493,0.770883523500522
