model,sample_size,delta_du,delta_dv,delta_dw,delta_roll,delta_pitch,delta_yaw
Frame-weighted (SE(3)),8,0.16032759382273254,0.16032759382273254,0.16032759382273254,0.16032759382273254,0.16032759382273254,0.16032759382273254
Full operator (SE(3)),8,0.3681181056016671,-0.42890701540609455,-0.21098782977747244,-0.1911101451131426,-0.16573581943731552,0.659602893014891
Pdiag pointwise (SE(3)),8,0.2943881962627466,-0.18333453740023417,-0.15646704375195183,-0.18941407416823786,-0.18102055461229075,0.6658474265251237
Pdiag finite (SE(3)),8,0.3716131005712665,-0.15386898004367958,-0.1247038343261744,-0.16460827434161526,-0.20381968072975978,0.531526949693442
Frame-weighted (SE(3)),15,0.11754554692364223,0.11754554692364223,0.11754554692364223,0.11754554692364223,0.11754554692364223,0.11754554692364223
Full operator (SE(3)),15,0.41331933436687573,-0.2288300524914549,-0.16476586815567243,-0.18256694488284803,-0.17765006845611941,0.6045150181412002
Pdiag pointwise (SE(3)),15,0.3812802487630591,-0.2185600648479948,-0.22799208584363928,-0.19040785844341815,-0.18325665394133722,0.6001253052910771
Pdiag finite (SE(3)),15,0.3917422698068442,-0.15679074077321967,-0.1482018673667382,-0.15473467771964777,-0.17710867331433922,0.5616261736003181
Frame-weighted (SE(3)),30,0.15755730472258173,0.15755730472258173,0.15755730472258173,0.15755730472258173,0.15755730472258173,0.15755730472258173
Full operator (SE(3)),30,0.40709922917081204,-0.15565765836777581,-0.1433251237503841,-0.18919397832191376,-0.18088361266321296,0.617506394501659
Pdiag pointwise (SE(3)),30,0.38756061608190984,-0.23446005454278732,-0.1919543990796822,-0.1897479712429622,-0.1811294821824081,0.6281337235085717
Pdiag finite (SE(3)),30,0.4042493182541963,-0.14880217536107448,-0.10531919877528043,-0.1427853458309075,-0.19112596563427442,0.5403378545302374
