model,sample_size,mean,std,count
Frame-weighted (SE(3)),8,0.26511896067114527,0.0870410547387419,18
Full operator (SE(3)),8,0.4141343438003002,0.5086349553468148,18
Pdiag pointwise (SE(3)),8,0.2867958053916397,0.1389159656862992,18
Pdiag finite (SE(3)),8,0.12951643453989523,0.007800060746901468,18
Frame-weighted (SE(3)),15,0.24254634023309019,0.05052864165899937,18
Full operator (SE(3)),15,0.14109002651294406,0.05040877507468092,18
Pdiag pointwise (SE(3)),15,0.2789014673298067,0.1370068312940436,18
Pdiag finite (SE(3)),15,0.12358499181945226,0.005984740450322876,18
Frame-weighted (SE(3)),30,0.2304181411497882,0.03758144140923044,18
Full operator (SE(3)),30,0.12555513719244618,0.02312634520093569,18
Pdiag pointwise (SE(3)),30,0.19030087958880462,0.04774804607851297,18
Pdiag finite (SE(3)),30,0.11859559131680834,0.004538070129608875,18
