context,seed,first_attempt,eventual,retries_used,last_phase
zero,20260818,True,True,1,circular_insert
zero,20270818,True,True,1,circular_insert
zero,20280818,True,True,1,circular_insert
dw+,20260818,True,True,1,circular_insert
dw+,20270818,True,True,1,circular_insert
dw+,20280818,True,True,1,circular_insert
dw-,20260818,True,True,1,circular_insert
dw-,20270818,True,True,1,circular_insert
dw-,20280818,True,True,1,circular_insert
roll+15,20260818,True,True,1,circular_insert
roll+15,20270818,True,True,1,circular_insert
roll+15,20280818,True,True,1,circular_insert
roll-15,20260818,True,True,1,circular_insert
roll-15,20270818,True,True,1,circular_insert
roll-15,20280818,True,True,1,circular_insert
pitch+15,20260818,True,True,1,circular_insert
pitch+15,20270818,True,True,1,circular_insert
pitch+15,20280818,True,True,1,circular_insert
pitch-15,20260818,True,True,1,circular_insert
pitch-15,20270818,True,True,1,circular_insert
pitch-15,20280818,True,True,1,circular_insert
roll+pitch+,20260818,True,True,1,circular_insert
roll+pitch+,20270818,True,True,1,circular_insert
roll+pitch+,20280818,True,True,1,circular_insert
roll-pitch-,20260818,True,True,1,circular_insert
roll-pitch-,20270818,True,True,1,circular_insert
roll-pitch-,20280818,True,True,1,circular_insert
tilt+yaw30,20260818,True,True,1,unlock_yaw
tilt+yaw30,20270818,True,True,1,unlock_yaw
tilt+yaw30,20280818,True,True,1,circular_insert
