task,model,sample_size,mean,std,count
keyed,Frame-weighted (SE(3)),8,0.22080655577961877,0.08583252473402297,18
keyed,Full operator (SE(3)),8,0.403413036818944,0.5215147354659885,18
keyed,Pdiag pointwise (SE(3)),8,0.3166269728993812,0.1663614410038757,18
keyed,Pdiag finite (SE(3)),8,0.10496530283382352,0.006706165858202396,18
keyed,Frame-weighted (SE(3)),15,0.225513847618419,0.06960784402976106,18
keyed,Full operator (SE(3)),15,0.1552628710909597,0.08640609977308222,18
keyed,Pdiag pointwise (SE(3)),15,0.31096439477459464,0.20620336726511693,18
keyed,Pdiag finite (SE(3)),15,0.10120287935820614,0.007715144547803252,18
keyed,Frame-weighted (SE(3)),30,0.19635616358879587,0.05273257478387905,18
keyed,Full operator (SE(3)),30,0.12164791744401719,0.04672662189250572,18
keyed,Pdiag pointwise (SE(3)),30,0.17948482635151525,0.06898162514344565,18
keyed,Pdiag finite (SE(3)),30,0.09494681095774336,0.00551541070868945,18
circular_honest,Frame-weighted (SE(3)),8,0.2984102819022123,0.13919557558014206,18
circular_honest,Full operator (SE(3)),8,0.21853197858818396,0.29613560758032814,18
circular_honest,Pdiag pointwise (SE(3)),8,0.2536195813273229,0.18612084662609021,18
circular_honest,Pdiag finite (SE(3)),8,0.0778892885299702,0.009470193369336478,18
circular_honest,Frame-weighted (SE(3)),15,0.2638118956053289,0.04302296532088347,18
circular_honest,Full operator (SE(3)),15,0.06201940075686355,0.00743468831915638,18
circular_honest,Pdiag pointwise (SE(3)),15,0.219668860226792,0.12825250594306514,18
circular_honest,Pdiag finite (SE(3)),15,0.07098541394743288,0.009219729644823378,18
circular_honest,Frame-weighted (SE(3)),30,0.26412930178227323,0.050923929856008396,18
circular_honest,Full operator (SE(3)),30,0.06433789834731536,0.00598407670560173,18
circular_honest,Pdiag pointwise (SE(3)),30,0.14402969696265042,0.05414637028257419,18
circular_honest,Pdiag finite (SE(3)),30,0.06977605433761237,0.004792208705577428,18
