model,sample_size,generator,mean,std,count
Frame-weighted (SE(3)),8,du,0.2516728996055933,0.059339874494490255,18
Frame-weighted (SE(3)),15,du,0.18000706873574887,0.07938177989682121,18
Frame-weighted (SE(3)),30,du,0.23015302455697256,0.0502756109572105,18
Full operator (SE(3)),8,du,0.07381393114208411,0.08159391997179928,18
Full operator (SE(3)),15,du,0.06124840544250058,0.05653318164324198,18
Full operator (SE(3)),30,du,0.0423989087152905,0.01898262534005549,18
Pdiag finite (SE(3)),8,du,0.09655747932284345,0.08042892818337344,18
Pdiag finite (SE(3)),15,du,0.08684651602986906,0.09739988450421248,18
Pdiag finite (SE(3)),30,du,0.046697890054214077,0.03330957381634599,18
Pdiag pointwise (SE(3)),8,du,0.06376948861678625,0.07813919743229841,18
Pdiag pointwise (SE(3)),15,du,0.05301664851515338,0.04499144119892288,18
Pdiag pointwise (SE(3)),30,du,0.03691864819461214,0.02793957946429953,18
Frame-weighted (SE(3)),8,dv,0.2516728996055933,0.059339874494490255,18
Frame-weighted (SE(3)),15,dv,0.18000706873574887,0.07938177989682121,18
Frame-weighted (SE(3)),30,dv,0.23015302455697256,0.0502756109572105,18
Full operator (SE(3)),8,dv,0.30350710923462765,0.45302679128763707,18
Full operator (SE(3)),15,dv,0.10259552331384568,0.11231982850609573,18
Full operator (SE(3)),30,dv,0.09130433753662229,0.06588593860836109,18
Pdiag finite (SE(3)),8,dv,0.10519777374703382,0.07816808892114793,18
Pdiag finite (SE(3)),15,dv,0.10444256909365554,0.08183497989647465,18
Pdiag finite (SE(3)),30,dv,0.0822658157276832,0.07342347899910016,18
Pdiag pointwise (SE(3)),8,dv,0.12839589628605325,0.1293700869346382,18
Pdiag pointwise (SE(3)),15,dv,0.08257886581744868,0.08356911881096624,18
Pdiag pointwise (SE(3)),30,dv,0.10277122026175221,0.07684112430784519,18
Frame-weighted (SE(3)),8,dw,0.2516728996055933,0.059339874494490255,18
Frame-weighted (SE(3)),15,dw,0.18000706873574887,0.07938177989682121,18
Frame-weighted (SE(3)),30,dw,0.23015302455697256,0.0502756109572105,18
Full operator (SE(3)),8,dw,0.41219640117891987,0.31587570055154146,18
Full operator (SE(3)),15,dw,0.10982763143336857,0.10082324741313371,18
Full operator (SE(3)),30,dw,0.11446467795109345,0.06862966694080046,18
Pdiag finite (SE(3)),8,dw,0.08908306480892451,0.06549301010914799,18
Pdiag finite (SE(3)),15,dw,0.07172790556568628,0.04938659198041926,18
Pdiag finite (SE(3)),30,dw,0.07628001486719141,0.062271640183871886,18
Pdiag pointwise (SE(3)),8,dw,0.2451547496177603,0.30968712841659546,18
Pdiag pointwise (SE(3)),15,dw,0.12466830565781718,0.0995155011310882,18
Pdiag pointwise (SE(3)),30,dw,0.09826066560103151,0.05805459024953733,18
Frame-weighted (SE(3)),8,roll,0.2516728996055933,0.059339874494490255,18
Frame-weighted (SE(3)),15,roll,0.18000706873574887,0.07938177989682121,18
Frame-weighted (SE(3)),30,roll,0.23015302455697256,0.0502756109572105,18
Full operator (SE(3)),8,roll,0.025375671878702433,0.018368414642159048,18
