model,sample_size,G_psi_mean,G_psi_std,abs_dev_mean
Frame-weighted (SE(3)),8,0.2516728996055933,0.05933987449449024,0.7483271003944068
Frame-weighted (SE(3)),15,0.18000706873574882,0.0793817798968212,0.8199929312642511
Frame-weighted (SE(3)),30,0.23015302455697256,0.05027561095721054,0.7698469754430275
Full operator (SE(3)),8,0.8194969590561718,0.03525936493326488,0.18050304094382827
Full operator (SE(3)),15,0.6261866972194369,0.28629294987930615,0.3738133027805632
Full operator (SE(3)),30,0.6660189024816356,0.23346446417714736,0.3339810975183644
Pdiag finite (SE(3)),8,0.6351393094473701,0.07146990502667838,0.36486069055263
Pdiag finite (SE(3)),15,0.6668447665085506,0.031115149764493436,0.33315523349144943
Pdiag finite (SE(3)),30,0.6495259496149173,0.025635893727350742,0.3504740503850827
Pdiag pointwise (SE(3)),8,0.820227542815212,0.01708806260277085,0.17977245718478793
Pdiag pointwise (SE(3)),15,0.6008630637716077,0.3226935339948518,0.3991369362283923
Pdiag pointwise (SE(3)),30,0.6995172534319117,0.17962287422422435,0.30048274656808815
