model,sample_size,m4_accuracy,delta_yaw_mean,delta_others_max_mean,count
Frame-weighted (SE(3)),8,0.0,0.033761878670169804,0.033761878670169804,18
Full operator (SE(3)),8,0.9444444444444444,0.615863878860908,0.03543687411645996,18
Pdiag pointwise (SE(3)),8,0.8888888888888888,0.6136542162287337,0.031244545926346914,18
Pdiag finite (SE(3)),8,0.5,0.47433319056196116,-0.039084197299749227,18
Frame-weighted (SE(3)),15,0.0,-0.07246492624621485,-0.07246492624621485,18
Full operator (SE(3)),15,0.6666666666666666,0.35091307266597455,-0.0735237552533427,18
Pdiag pointwise (SE(3)),15,0.6666666666666666,0.31876977492170194,-0.04954838520216119,18
Pdiag finite (SE(3)),15,0.3888888888888889,0.49268880872426657,-0.05901275434788281,18
Frame-weighted (SE(3)),30,0.0,-0.013050077224240545,-0.013050077224240545,18
Full operator (SE(3)),30,0.6666666666666666,0.4037251764111194,-0.06254211611156703,18
Pdiag pointwise (SE(3)),30,0.6666666666666666,0.4497251824837412,-0.1234492263451102,18
Pdiag finite (SE(3)),30,0.1111111111111111,0.4804238673954981,-0.08722249352858141,18
