model,sample_size,purity_mean,purity_std,S_yaw_mean,S_others_max_mean
Frame-weighted (SE(3)),8,0.16666666666666666,3.7480607778361806e-17,0.2516728996055933,0.2516728996055933
Frame-weighted (SE(3)),15,0.16666666666666666,1.5052574313296774e-17,0.18000706873574887,0.18000706873574887
Frame-weighted (SE(3)),30,0.16666666666666666,2.0195147640539282e-17,0.23015302455697256,0.23015302455697256
Full operator (SE(3)),8,0.548759328751137,0.1720552326910941,0.8194969590561718,0.5333144666841272
Full operator (SE(3)),15,0.62199987094919,0.23698708053883222,0.6261866972194369,0.1838126784602566
Full operator (SE(3)),30,0.6845410042593808,0.13058399885803915,0.6660189024816356,0.1487262253806934
Pdiag finite (SE(3)),8,0.6507856970372425,0.09094176310045501,0.6351393094473701,0.16078514360568924
Pdiag finite (SE(3)),15,0.6849305141257392,0.11070747226601414,0.6668447665085506,0.15889713648329576
Pdiag finite (SE(3)),30,0.728870060187765,0.07650814997940106,0.6495259496149173,0.12733367562537806
Pdiag pointwise (SE(3)),8,0.6842636420962674,0.16047631429568415,0.820227542815212,0.29174260704881555
Pdiag pointwise (SE(3)),15,0.6035109972399361,0.2672923863624371,0.6008630637716077,0.17413137348567365
Pdiag pointwise (SE(3)),30,0.7126193000985673,0.10285691988930996,0.6995172534319117,0.1470293338407969
