model,basis,sample_size,mean,std,count
Frame-weighted (SE(3)),rotated-2,8,6.252624899419197e-05,1.9708372732272207e-05,36
Full operator (SE(3)),rotated-2,8,9.363843689010373e-07,2.0668289024642747e-06,36
Pdiag pointwise (SE(3)),rotated-2,8,5.491242592223451e-05,1.936391200807343e-05,36
Pdiag finite (SE(3)),rotated-2,8,2.8062808095957625e-05,1.5251538706680779e-05,36
Frame-weighted (SE(3)),local,8,6.156091749785628e-05,1.971940846276649e-05,36
Full operator (SE(3)),local,8,8.234524631580532e-07,1.987922903481168e-06,36
Pdiag pointwise (SE(3)),local,8,5.356593093547693e-05,1.7913670932865637e-05,36
Pdiag finite (SE(3)),local,8,7.470461743050247e-06,1.209877458258626e-05,36
Frame-weighted (SE(3)),rotated-1,8,6.925113415512813e-05,2.1276551429205863e-05,36
Full operator (SE(3)),rotated-1,8,8.150468011140576e-07,1.8289592145816523e-06,36
Pdiag pointwise (SE(3)),rotated-1,8,6.239341231117921e-05,2.0557141116363156e-05,36
Pdiag finite (SE(3)),rotated-1,8,4.144502355817411e-05,1.794427334867832e-05,36
Frame-weighted (SE(3)),rotated-2,15,6.92261716247401e-05,2.120409733950814e-05,36
Full operator (SE(3)),rotated-2,15,9.269313240632457e-06,1.2716936134540852e-05,36
Pdiag pointwise (SE(3)),rotated-2,15,6.232751889679546e-05,2.194518291744099e-05,36
Pdiag finite (SE(3)),rotated-2,15,3.9245860497989474e-05,1.7703969387227214e-05,36
Frame-weighted (SE(3)),rotated-1,15,7.559027118046456e-05,2.2959946122416284e-05,36
Full operator (SE(3)),rotated-1,15,1.0104583230139174e-05,1.4352583609382608e-05,36
Pdiag pointwise (SE(3)),rotated-1,15,7.118701153088056e-05,2.2767606924578046e-05,36
Pdiag finite (SE(3)),rotated-1,15,4.568249694612483e-05,1.7685252939163447e-05,36
Frame-weighted (SE(3)),local,15,6.739919975027396e-05,2.0885807960730032e-05,36
Full operator (SE(3)),local,15,9.438285160536076e-06,1.3864998322854522e-05,36
Pdiag pointwise (SE(3)),local,15,5.9400284654173964e-05,2.1182960899141697e-05,36
Pdiag finite (SE(3)),local,15,1.2466234624965854e-05,1.485755900307163e-05,36
Frame-weighted (SE(3)),rotated-1,30,8.291380084679723e-05,1.0723936521069508e-05,36
Full operator (SE(3)),rotated-1,30,9.656825755964627e-06,8.888523663080745e-06,36
Pdiag pointwise (SE(3)),rotated-1,30,7.878552687998483e-05,1.0720688568722869e-05,36
Pdiag finite (SE(3)),rotated-1,30,5.4899109766133056e-05,7.995288302278146e-06,36
Frame-weighted (SE(3)),local,30,7.323846107670117e-05,8.833154861020476e-06,36
Full operator (SE(3)),local,30,8.68358574002362e-06,8.95242688596074e-06,36
Pdiag pointwise (SE(3)),local,30,6.726443248149219e-05,9.981129616570549e-06,36
Pdiag finite (SE(3)),local,30,1.0148387443276646e-05,8.141530731002361e-06,36
Frame-weighted (SE(3)),rotated-2,30,7.491524484471109e-05,1.0278736161827187e-05,36
Full operator (SE(3)),rotated-2,30,9.630932166493832e-06,8.96482631395538e-06,36
Pdiag pointwise (SE(3)),rotated-2,30,7.12192636738296e-05,1.0564029861178933e-05,36
Pdiag finite (SE(3)),rotated-2,30,3.9794292802220396e-05,8.889706375109458e-06,36
