model,task,sample_size,local,rotated-1,rotated-2,r1/local,r2/local
Frame-weighted (SE(3)),circular_honest,8,5.7537652524726514e-05,6.357620372559057e-05,5.763920408441743e-05,1.104949558000633,1.0017649583400587
Frame-weighted (SE(3)),circular_honest,15,5.747775468187218e-05,6.411818033713018e-05,5.844668017805304e-05,1.1155303593888004,1.0168573999026869
Frame-weighted (SE(3)),circular_honest,30,6.684603144173367e-05,7.460033123225302e-05,6.707446262739576e-05,1.1160023957036012,1.0034172737069844
Frame-weighted (SE(3)),keyed,8,6.558418247097953e-05,7.492606458465702e-05,6.741329390396394e-05,1.1424410850560072,1.0278895209800591
Frame-weighted (SE(3)),keyed,15,7.73206448186705e-05,8.70623620237788e-05,8.00056630714111e-05,1.125991153177191,1.0347257612638565
Frame-weighted (SE(3)),keyed,30,7.963089071166864e-05,9.122727046134142e-05,8.275602706202641e-05,1.1456266487293418,1.0392452768319949
Full operator (SE(3)),circular_honest,8,2.998020106873922e-07,3.3416649551830806e-07,3.888010900039457e-07,1.1146239304804004,1.2968595144258526
Full operator (SE(3)),circular_honest,15,1.6362417215403839e-06,2.1552887773308237e-06,2.141571680992728e-06,1.3172190569140363,1.3088357623448315
Full operator (SE(3)),circular_honest,30,1.8551176159162121e-06,2.9066292151839646e-06,2.8967848244147115e-06,1.5668166752588504,1.561510062521851
Full operator (SE(3)),keyed,8,1.3471029156287145e-06,1.2959271067098073e-06,1.4839676477981288e-06,0.962010468298168,1.1015993140401878
Full operator (SE(3)),keyed,15,1.7240328599531768e-05,1.8053877682947524e-05,1.639705480027219e-05,1.0471887225767758,0.9510871388331611
Full operator (SE(3)),keyed,30,1.5512053864131027e-05,1.6407022296745292e-05,1.6365079508572953e-05,1.0576950312610587,1.0549911476528844
Pdiag finite (SE(3)),circular_honest,8,3.3167817337828103e-06,3.781024873180893e-05,2.3176960924673257e-05,11.399679498562032,6.987785988027554
Pdiag finite (SE(3)),circular_honest,15,3.6756797449722e-06,3.654288534986905e-05,3.1003705747019894e-05,9.94180339020407,8.434822372495454
Pdiag finite (SE(3)),circular_honest,30,3.7490396057518976e-06,4.878327694357274e-05,3.376902538474012e-05,13.01220634445362,9.00738027225175
Pdiag finite (SE(3)),keyed,8,1.1624141752317684e-05,4.507979838453928e-05,3.2948655267242e-05,3.8781184318877586,2.8345021911551034
Pdiag finite (SE(3)),keyed,15,2.125678950495951e-05,5.4822108542380614e-05,4.748801524895906e-05,2.5790399123813987,2.2340163474770933
Pdiag finite (SE(3)),keyed,30,1.65477352808014e-05,6.101494258869337e-05,4.581956021970068e-05,3.6872080410594075,2.7689323911810644
Pdiag pointwise (SE(3)),circular_honest,8,4.9008141022590106e-05,5.757005459892016e-05,4.977864812505255e-05,1.1747039042428373,1.0157220226351227
Pdiag pointwise (SE(3)),circular_honest,15,4.7350425113556715e-05,5.8919148620669885e-05,4.986665282852513e-05,1.2443214285694126,1.0531405517254375
Pdiag pointwise (SE(3)),circular_honest,30,5.902573934503194e-05,7.021292023920863e-05,6.251671357868599e-05,1.1895305508802287,1.0591432529671123
Pdiag pointwise (SE(3)),keyed,8,5.812372084835845e-05,6.721677002343274e-05,6.0046203719414534e-05,1.1564429985271858,1.0330757020196923
Pdiag pointwise (SE(3)),keyed,15,7.145014419478192e-05,8.345487444107033e-05,7.47883849650574e-05,1.1680154796267734,1.0467212600883635
Pdiag pointwise (SE(3)),keyed,30,7.550312561795241e-05,8.735813352075732e-05,7.992181376897321e-05,1.1570134720354694,1.058523248075576
