task,seed,subset_id,protocol,sample_size,repeat,basis,model,fit_success,fit_error,fit_seconds,e_data,e_alpha,off_diag_mass
keyed,20260818,4,qualified,8,1,rotated-2,Frame-weighted (SE(3)),True,,0.0021323539986042306,4.195518212307944e-05,0.1515791629224826,
keyed,20260818,4,qualified,8,1,rotated-2,Full operator (SE(3)),True,,0.0016026450030039996,2.587679835738754e-07,0.13109843945860328,0.9302523211988817
keyed,20260818,4,qualified,8,1,rotated-2,Pdiag pointwise (SE(3)),True,,0.01023588899988681,3.285595720860146e-05,0.31827909991076564,
keyed,20260818,4,qualified,8,1,rotated-2,Pdiag finite (SE(3)),True,,31.22502385599364,2.347222498461465e-05,0.30836543883436673,
keyed,20260818,4,qualified,8,1,local,Frame-weighted (SE(3)),True,,0.006914244004292414,4.237831178874086e-05,0.16153951606114922,
keyed,20260818,4,qualified,8,1,local,Full operator (SE(3)),True,,0.004085598004166968,2.940431449294101e-07,0.09312602220109086,0.8827080446078628
keyed,20260818,4,qualified,8,1,local,Pdiag pointwise (SE(3)),True,,0.01687802500964608,3.581221221318465e-05,0.1963785222574837,
keyed,20260818,4,qualified,8,1,local,Pdiag finite (SE(3)),True,,37.155127126010484,4.20323798479921e-06,0.11014072617875982,
keyed,20260818,2,random,8,2,local,Frame-weighted (SE(3)),True,,0.006991992995608598,7.08816922916154e-05,0.3661508079267895,
keyed,20260818,2,random,8,2,local,Full operator (SE(3)),True,,0.0035661209985846654,4.8330060309472496e-08,0.11056727545488494,0.8888370185404383
keyed,20260818,2,random,8,2,local,Pdiag pointwise (SE(3)),True,,0.0170290450041648,5.849360209562331e-05,0.5902143683092934,
keyed,20260818,2,random,8,2,local,Pdiag finite (SE(3)),True,,46.427839604002656,1.4341814912804268e-06,0.09783734521493233,
keyed,20260818,3,qualified,8,0,rotated-1,Frame-weighted (SE(3)),True,,0.007332740002311766,0.00011167557700750063,0.1683347578981147,
keyed,20260818,3,qualified,8,0,rotated-1,Full operator (SE(3)),True,,0.002409998996881768,5.535178773178112e-07,0.5819233175491371,0.9011834419905929
keyed,20260818,3,qualified,8,0,rotated-1,Pdiag pointwise (SE(3)),True,,0.01709428199683316,0.00010172283448088671,0.3431172739784394,
keyed,20260818,3,qualified,8,0,rotated-1,Pdiag finite (SE(3)),True,,49.64322226800141,7.199554402379002e-05,0.22864332293011344,
keyed,20260818,3,qualified,8,0,local,Frame-weighted (SE(3)),True,,0.006906405003974214,0.00010575745485555196,0.1911453412887834,
keyed,20260818,3,qualified,8,0,local,Full operator (SE(3)),True,,0.0026838619960471988,6.024747247772269e-07,0.5547653160922955,0.8862771400574423
keyed,20260818,3,qualified,8,0,local,Pdiag pointwise (SE(3)),True,,0.016907070006709546,9.428949027573515e-05,0.4094010221400747,
keyed,20260818,3,qualified,8,0,local,Pdiag finite (SE(3)),True,,50.409283567001694,3.7355891665979344e-05,0.1029861827737822,
keyed,20260818,2,random,8,2,rotated-2,Frame-weighted (SE(3)),True,,0.006925485999090597,6.981861317635298e-05,0.3247833041336241,
keyed,20260818,2,random,8,2,rotated-2,Full operator (SE(3)),True,,0.002348434994928539,1.8317425487529043e-07,0.12334970558729254,0.9139455887933535
keyed,20260818,2,random,8,2,rotated-2,Pdiag pointwise (SE(3)),True,,0.016847225997480564,6.323791517064884e-05,0.7094520900097344,
keyed,20260818,2,random,8,2,rotated-2,Pdiag finite (SE(3)),True,,54.63746629700472,1.1153541160651709e-05,0.17571454867332442,
keyed,20260818,4,qualified,8,1,rotated-1,Frame-weighted (SE(3)),True,,0.007231152994791046,4.705691916706661e-05,0.1818927569426487,
keyed,20260818,4,qualified,8,1,rotated-1,Full operator (SE(3)),True,,0.0024278990022139624,3.9141710766682376e-07,0.15367265634474295,0.9311662055267997
keyed,20260818,4,qualified,8,1,rotated-1,Pdiag pointwise (SE(3)),True,,0.017110272994614206,3.800053073873655e-05,0.3592588109762056,
keyed,20260818,4,qualified,8,1,rotated-1,Pdiag finite (SE(3)),True,,55.061576588996104,2.4104009263901642e-05,0.22680859750427534,
keyed,20260818,0,random,8,0,rotated-2,Frame-weighted (SE(3)),True,,0.0070806050061946735,4.284360893651498e-05,0.4159102365143627,
keyed,20260818,0,random,8,0,rotated-2,Full operator (SE(3)),True,,0.003573217007215135,3.745730091501382e-07,0.09644296588265192,0.9080896675221585
keyed,20260818,0,random,8,0,rotated-2,Pdiag pointwise (SE(3)),True,,0.02915977999509778,3.7506806037893436e-05,0.4549591443105273,
keyed,20260818,0,random,8,0,rotated-2,Pdiag finite (SE(3)),True,,64.2830156639975,2.523047872344551e-05,0.24321181608779402,
keyed,20260818,3,qualified,8,0,rotated-2,Frame-weighted (SE(3)),True,,0.007323702986468561,0.00010890950399872197,0.2039750438598951,
keyed,20260818,3,qualified,8,0,rotated-2,Full operator (SE(3)),True,,0.005174142002942972,8.980647350106776e-07,0.6525054383993729,0.9357585048721179
keyed,20260818,3,qualified,8,0,rotated-2,Pdiag pointwise (SE(3)),True,,0.017061513994121924,9.767263081398649e-05,0.7402485474045984,
keyed,20260818,3,qualified,8,0,rotated-2,Pdiag finite (SE(3)),True,,70.34178563200112,6.400807924719652e-05,0.406845945525851,
keyed,20260818,5,qualified,8,2,local,Frame-weighted (SE(3)),True,,0.0021900649880990386,5.8420903562171034e-05,0.16459961056859054,
keyed,20260818,5,qualified,8,2,local,Full operator (SE(3)),True,,0.001636608998524025,8.2186163142912e-08,1.9949121204397746,0.91100198376037
keyed,20260818,5,qualified,8,2,local,Pdiag pointwise (SE(3)),True,,0.009430826001334935,5.302105365762459e-05,0.14556174510341793,
keyed,20260818,5,qualified,8,2,local,Pdiag finite (SE(3)),True,,70.80814671400003,2.1067719811836154e-06,0.10989893944306287,
keyed,20260818,0,random,8,0,local,Frame-weighted (SE(3)),True,,0.006860547000542283,3.944463166692956e-05,0.2935294043484265,
keyed,20260818,0,random,8,0,local,Full operator (SE(3)),True,,0.003690703000756912,3.6073440357483045e-07,0.09397599160994635,0.8716672686935459
keyed,20260818,0,random,8,0,local,Pdiag pointwise (SE(3)),True,,0.01689034901210107,3.532962634636384e-05,0.26948649008693576,
keyed,20260818,0,random,8,0,local,Pdiag finite (SE(3)),True,,72.56375447899336,3.118995293766658e-06,0.10748249635453506,
keyed,20260818,5,qualified,8,2,rotated-2,Frame-weighted (SE(3)),True,,0.009995112006436102,6.571320419100022e-05,0.14333991684148897,
keyed,20260818,5,qualified,8,2,rotated-2,Full operator (SE(3)),True,,0.004018240011646412,2.799463650572004e-07,7.733272722557046,0.8853025600521943
keyed,20260818,5,qualified,8,2,rotated-2,Pdiag pointwise (SE(3)),True,,0.019075074000284076,5.8569659570741625e-05,0.2618331850640013,
keyed,20260818,5,qualified,8,2,rotated-2,Pdiag finite (SE(3)),True,,62.38331801399181,2.689431792281749e-05,0.19267948386237269,
keyed,20260818,5,qualified,8,2,rotated-1,Frame-weighted (SE(3)),True,,0.012240190000738949,8.442518450828625e-05,0.3742755327706582,
keyed,20260818,5,qualified,8,2,rotated-1,Full operator (SE(3)),True,,0.004563227004837245,8.612014932791401e-08,1.9925488635921889,0.9051953918256715
keyed,20260818,5,qualified,8,2,rotated-1,Pdiag pointwise (SE(3)),True,,0.018607050995342433,7.823971241983299e-05,0.5939884014400068,
keyed,20260818,5,qualified,8,2,rotated-1,Pdiag finite (SE(3)),True,,87.35332365499926,3.7930662650828514e-05,0.3713317422479976,
keyed,20260818,1,random,8,1,rotated-2,Frame-weighted (SE(3)),True,,0.007009310997091234,9.894929635103447e-05,0.20948261041967123,
keyed,20260818,1,random,8,1,rotated-2,Full operator (SE(3)),True,,0.0027050670032622293,9.766672104198982e-06,0.20834412280517947,0.9266765101865112
keyed,20260818,1,random,8,1,rotated-2,Pdiag pointwise (SE(3)),True,,0.018835681010386907,9.110807171597808e-05,0.39257773401563206,
keyed,20260818,1,random,8,1,rotated-2,Pdiag finite (SE(3)),True,,185.60528333000548,7.12198381802871e-05,0.16278263069732862,
keyed,20260818,8,random,15,2,rotated-2,Frame-weighted (SE(3)),True,,0.004090617003384978,8.737817929148766e-05,0.13012879832637358,
keyed,20260818,8,random,15,2,rotated-2,Full operator (SE(3)),True,,0.0010244629957014695,1.3578906480131442e-05,0.1637394460480764,0.9344664779308952
keyed,20260818,8,random,15,2,rotated-2,Pdiag pointwise (SE(3)),True,,0.010509214000194333,8.31790620201299e-05,0.17359122727383416,
keyed,20260818,8,random,15,2,rotated-2,Pdiag finite (SE(3)),True,,128.90431196900317,5.3329690568259915e-05,0.19032940195587458,
keyed,20260818,8,random,15,2,rotated-1,Frame-weighted (SE(3)),True,,0.007216821992187761,9.822250417232415e-05,0.21949945683535296,
keyed,20260818,8,random,15,2,rotated-1,Full operator (SE(3)),True,,0.0035268969950266182,1.2589396074207902e-05,0.22506458401258353,0.9348540262121254
keyed,20260818,8,random,15,2,rotated-1,Pdiag pointwise (SE(3)),True,,0.017578517989022657,9.545144757035678e-05,0.22151935218488059,
keyed,20260818,8,random,15,2,rotated-1,Pdiag finite (SE(3)),True,,135.31694571200933,6.545978915332877e-05,0.20640674667410183,
keyed,20260818,8,random,15,2,local,Frame-weighted (SE(3)),True,,0.007347371996729635,8.444753562141686e-05,0.1372756017890175,
keyed,20260818,8,random,15,2,local,Full operator (SE(3)),True,,0.0013919599878136069,1.3858830167697186e-05,0.14656829861460752,0.8943312272432088
keyed,20260818,8,random,15,2,local,Pdiag pointwise (SE(3)),True,,0.01758697599871084,8.03990336746837e-05,0.1340451608088355,
keyed,20260818,8,random,15,2,local,Pdiag finite (SE(3)),True,,153.99965561600402,2.7372785494303616e-05,0.10075027744676801,
keyed,20260818,9,qualified,15,0,rotated-1,Frame-weighted (SE(3)),True,,0.004517093999311328,0.0001286745719837011,0.2905214909135182,
keyed,20260818,9,qualified,15,0,rotated-1,Full operator (SE(3)),True,,0.001203298001200892,3.6282605677976444e-05,0.20824063792715422,0.9321806313750899
keyed,20260818,9,qualified,15,0,rotated-1,Pdiag pointwise (SE(3)),True,,0.011148587000207044,0.00012461650076001456,0.3173672097367648,
keyed,20260818,9,qualified,15,0,rotated-1,Pdiag finite (SE(3)),True,,121.95873521799513,8.978192432975613e-05,0.2362362351702233,
keyed,20260818,10,qualified,15,1,local,Frame-weighted (SE(3)),True,,0.005335594003554434,4.783076291294043e-05,0.20491895153493908,
keyed,20260818,10,qualified,15,1,local,Full operator (SE(3)),True,,0.0017001939995680004,9.211480010084822e-07,0.0854588972088185,0.8789252304264807
keyed,20260818,10,qualified,15,1,local,Pdiag pointwise (SE(3)),True,,0.011417297995649278,4.4763080087484345e-05,0.15442999501672444,
keyed,20260818,10,qualified,15,1,local,Pdiag finite (SE(3)),True,,133.8072901659907,2.472913651897815e-06,0.10996746441720352,
keyed,20260818,11,qualified,15,2,local,Frame-weighted (SE(3)),True,,0.007855967996874824,4.456264921217556e-05,0.22773333912136973,
keyed,20260818,11,qualified,15,2,local,Full operator (SE(3)),True,,0.001553788999444805,9.810160824540644e-07,0.08788745078131946,0.8790260024964006
keyed,20260818,11,qualified,15,2,local,Pdiag pointwise (SE(3)),True,,0.019270586999482475,3.9354755605603365e-05,0.23068973583547078,
keyed,20260818,11,qualified,15,2,local,Pdiag finite (SE(3)),True,,102.75076931399235,1.919057251716962e-06,0.10070627405392592,
keyed,20260818,10,qualified,15,1,rotated-2,Frame-weighted (SE(3)),True,,0.010714803996961564,4.963715721415392e-05,0.21641206808067337,
