model,sample_size,arm,G_psi_mean,G_psi_std,abs_dev_mean
Frame-weighted,5,circular_honest,0.27478702957800816,0.10031157817080229,0.7252129704219918
Frame-weighted,10,circular_honest,0.33464708832632617,0.09059395471922715,0.6653529116736738
Frame-weighted,20,circular_honest,0.3439358507694258,0.027713260000695013,0.6560641492305742
Full operator,5,circular_honest,0.8041418626762387,0.021809779883671977,0.1958581373237614
Full operator,10,circular_honest,0.8110516157078176,0.010035838379824136,0.18894838429218241
Full operator,20,circular_honest,0.8113491095468484,0.0022187509948843613,0.18865089045315175
Generic RBF,5,circular_honest,0.7788917550511116,0.025888484831160154,0.22110824494888837
Generic RBF,10,circular_honest,0.807885470124908,0.011100679749219152,0.19211452987509212
Generic RBF,20,circular_honest,0.8107252483459797,0.002622479484374443,0.18927475165402022
Pdiag finite,5,circular_honest,0.7330276593871772,0.04776956662427425,0.2669723406128227
Pdiag finite,10,circular_honest,0.7404959846676943,0.03581701406317812,0.2595040153323057
Pdiag finite,20,circular_honest,0.7349827650241167,0.01532415836547889,0.26501723497588325
Pdiag pointwise,5,circular_honest,0.8107568222821914,0.01400817618694856,0.18924317771780863
Pdiag pointwise,10,circular_honest,0.8112874148707655,0.005558675808202751,0.1887125851292345
Pdiag pointwise,20,circular_honest,0.8115113021661593,0.0023861265720442953,0.18848869783384078
Phase scalar GP,5,circular_honest,0.27480002565327133,0.10030488006097815,0.7251999743467287
Phase scalar GP,10,circular_honest,0.3346300933279531,0.09059615891541363,0.6653699066720469
Phase scalar GP,20,circular_honest,0.34392987169887107,0.027712094722143293,0.656070128301129
TP-GMM SE(2),5,circular_honest,0.6508658109891265,0.09282389639896807,0.34913418901087356
TP-GMM SE(2),10,circular_honest,0.7838147017648217,0.06388463432804276,0.2161852982351783
TP-GMM SE(2),20,circular_honest,0.8001675150719048,0.010327187768514268,0.19983248492809516
TP-GMM additive,5,circular_honest,0.6308035400996889,0.10129187702271372,0.36919645990031114
TP-GMM additive,10,circular_honest,0.7884962288012091,0.04668793528419459,0.21150377119879088
TP-GMM additive,20,circular_honest,0.7948206389780403,0.016561689122761042,0.20517936102195958
Frame-weighted,5,circular_placebo,0.15966565041075928,0.1533981985944453,0.8403343495892407
Frame-weighted,10,circular_placebo,0.23802798108709503,0.10166818896454086,0.7619720189129049
Frame-weighted,20,circular_placebo,0.26845881254156284,0.03889309002016825,0.7315411874584371
Full operator,5,circular_placebo,0.7987398649735433,0.018657883010542973,0.20126013502645673
Full operator,10,circular_placebo,0.8125257775144639,0.011209230100451538,0.1874742224855361
Full operator,20,circular_placebo,0.8126420644292563,0.0032022686152449156,0.1873579355707437
Generic RBF,5,circular_placebo,0.773288301551897,0.03452726748553,0.22671169844810293
Generic RBF,10,circular_placebo,0.8094914051321139,0.0122667962828068,0.19050859486788604
Generic RBF,20,circular_placebo,0.8119554600993694,0.0030247207767076516,0.18804453990063064
Pdiag finite,5,circular_placebo,0.761203186840544,0.06176865968907463,0.238796813159456
Pdiag finite,10,circular_placebo,0.7538947439721961,0.03235151275848812,0.24610525602780392
Pdiag finite,20,circular_placebo,0.7412708354686022,0.013474354115119904,0.2587291645313979
Pdiag pointwise,5,circular_placebo,0.8143896040554254,0.010301691380822531,0.18561039594457462
Pdiag pointwise,10,circular_placebo,0.8147401219639497,0.007032108499965924,0.18525987803605026
Pdiag pointwise,20,circular_placebo,0.8131628777353057,0.0029781870215054747,0.1868371222646942
Phase scalar GP,5,circular_placebo,0.1596470607294968,0.15341349201235657,0.8403529392705031
Phase scalar GP,10,circular_placebo,0.23801604318149344,0.1016538128014996,0.7619839568185065
Phase scalar GP,20,circular_placebo,0.26845284474642017,0.038897433415069155,0.7315471552535798
TP-GMM SE(2),5,circular_placebo,0.6796425475763832,0.0695787731531996,0.3203574524236168
TP-GMM SE(2),10,circular_placebo,0.7757547753825519,0.06460890516338302,0.22424522461744806
TP-GMM SE(2),20,circular_placebo,0.7993877835451868,0.009227870373136876,0.20061221645481309
TP-GMM additive,5,circular_placebo,0.6269901608174364,0.0992678384241245,0.37300983918256364
TP-GMM additive,10,circular_placebo,0.7824685529476638,0.04232978102272386,0.21753144705233618
TP-GMM additive,20,circular_placebo,0.7902550222922917,0.015815429945474798,0.20974497770770834
