model,sample_size,seed,fit_task,eval_task,cross_task_error,in_task_error,mismatch_gap
Frame-weighted,5,20260818,keyed,circular_honest,5.414588854055011,5.074976619199777,0.33961223485523373
Frame-weighted,5,20260818,keyed,circular_placebo,13.801364117087637,5.074976619199777,8.72638749788786
Phase scalar GP,5,20260818,keyed,circular_honest,5.414537609910609,5.074974147912693,0.3395634619979164
Phase scalar GP,5,20260818,keyed,circular_placebo,13.801336782933406,5.074974147912693,8.726362635020713
TP-GMM additive,5,20260818,keyed,circular_honest,7.791159529767448,5.56972347811371,2.221436051653738
TP-GMM additive,5,20260818,keyed,circular_placebo,13.637895633941739,5.56972347811371,8.068172155828028
TP-GMM SE(2),5,20260818,keyed,circular_honest,7.37161867150007,5.1319589991042065,2.239659672395864
TP-GMM SE(2),5,20260818,keyed,circular_placebo,13.846112247066467,5.1319589991042065,8.71415324796226
Generic RBF,5,20260818,keyed,circular_honest,7.741430038695692,8.135675749139109,-0.3942457104434167
Generic RBF,5,20260818,keyed,circular_placebo,14.993845794269696,8.135675749139109,6.858170045130587
Full operator,5,20260818,keyed,circular_honest,6.753815026862306,3.433094905718638,3.3207201211436677
Full operator,5,20260818,keyed,circular_placebo,14.012734155819658,3.433094905718638,10.57963925010102
Pdiag pointwise,5,20260818,keyed,circular_honest,4.972791055283859,2.391871281895833,2.5809197733880263
Pdiag pointwise,5,20260818,keyed,circular_placebo,12.886952941871703,2.391871281895833,10.49508165997587
Pdiag finite,5,20260818,keyed,circular_honest,5.2046060309139905,2.4970710859289986,2.707534944984992
Pdiag finite,5,20260818,keyed,circular_placebo,13.034511510329963,2.4970710859289986,10.537440424400964
Frame-weighted,10,20260818,keyed,circular_honest,5.41182593035031,5.102666001969131,0.3091599283811792
Frame-weighted,10,20260818,keyed,circular_placebo,13.800667452377843,5.102666001969131,8.69800145040871
Phase scalar GP,10,20260818,keyed,circular_honest,5.412026011435661,5.102748788048903,0.30927722338675867
Phase scalar GP,10,20260818,keyed,circular_placebo,13.800365818898237,5.102748788048903,8.697617030849335
TP-GMM additive,10,20260818,keyed,circular_honest,7.2303454445690685,4.558650866733733,2.6716945778353356
TP-GMM additive,10,20260818,keyed,circular_placebo,12.963258104470158,4.558650866733733,8.404607237736425
TP-GMM SE(2),10,20260818,keyed,circular_honest,6.836833352517446,4.2742465303901795,2.5625868221272663
TP-GMM SE(2),10,20260818,keyed,circular_placebo,12.358262406648796,4.2742465303901795,8.084015876258617
Generic RBF,10,20260818,keyed,circular_honest,5.000493519854412,6.041214412592807,-1.0407208927383955
Generic RBF,10,20260818,keyed,circular_placebo,13.11541299318081,6.041214412592807,7.0741985805880025
Full operator,10,20260818,keyed,circular_honest,4.945174524256626,2.3122214151933327,2.6329531090632936
Full operator,10,20260818,keyed,circular_placebo,13.099459661702767,2.3122214151933327,10.787238246509434
Pdiag pointwise,10,20260818,keyed,circular_honest,4.577317240610178,2.1503299934602103,2.4269872471499676
Pdiag pointwise,10,20260818,keyed,circular_placebo,12.675714446380097,2.1503299934602103,10.525384452919887
Pdiag finite,10,20260818,keyed,circular_honest,5.046955313385631,2.2141354779600992,2.8328198354255316
Pdiag finite,10,20260818,keyed,circular_placebo,12.892015920766413,2.2141354779600992,10.677880442806314
Frame-weighted,20,20260818,keyed,circular_honest,5.194555214113197,4.896273133727286,0.29828208038591075
Frame-weighted,20,20260818,keyed,circular_placebo,13.892516103881135,4.896273133727286,8.99624297015385
Phase scalar GP,20,20260818,keyed,circular_honest,5.1947360539978815,4.896405197264542,0.29833085673333937
Phase scalar GP,20,20260818,keyed,circular_placebo,13.892448537145405,4.896405197264542,8.996043339880863
TP-GMM additive,20,20260818,keyed,circular_honest,4.705320096401247,3.4200293386164202,1.2852907577848272
TP-GMM additive,20,20260818,keyed,circular_placebo,12.294737463985761,3.4200293386164202,8.874708125369342
TP-GMM SE(2),20,20260818,keyed,circular_honest,4.818973479403668,3.0946160453586153,1.7243574340450523
TP-GMM SE(2),20,20260818,keyed,circular_placebo,12.688380513381402,3.0946160453586153,9.593764468022787
Generic RBF,20,20260818,keyed,circular_honest,4.598056467492714,3.521974421752317,1.0760820457403968
Generic RBF,20,20260818,keyed,circular_placebo,12.951912617365688,3.521974421752317,9.42993819561337
Full operator,20,20260818,keyed,circular_honest,4.586370167490819,1.8857199739332562,2.700650193557563
Full operator,20,20260818,keyed,circular_placebo,12.951589548331588,1.8857199739332562,11.065869574398333
Pdiag pointwise,20,20260818,keyed,circular_honest,4.273809569906825,1.964209823136609,2.309599746770216
Pdiag pointwise,20,20260818,keyed,circular_placebo,12.80264830251073,1.964209823136609,10.838438479374123
Pdiag finite,20,20260818,keyed,circular_honest,4.681513991870227,1.9503587696764504,2.7311552221937765
Pdiag finite,20,20260818,keyed,circular_placebo,12.923144476453288,1.9503587696764504,10.972785706776838
Frame-weighted,5,20270818,keyed,circular_honest,5.51108582866945,5.141787466569189,0.36929836210026057
Frame-weighted,5,20270818,keyed,circular_placebo,13.54241055649488,5.141787466569189,8.400623089925691
Phase scalar GP,5,20270818,keyed,circular_honest,5.510609242172809,5.141654449244421,0.3689547929283874
Phase scalar GP,5,20270818,keyed,circular_placebo,13.541785651301621,5.141654449244421,8.4001312020572
TP-GMM additive,5,20270818,keyed,circular_honest,8.315822968350943,5.790138695212429,2.5256842731385145
TP-GMM additive,5,20270818,keyed,circular_placebo,13.294473089149681,5.790138695212429,7.504334393937253
TP-GMM SE(2),5,20270818,keyed,circular_honest,7.710001997234642,5.448146184893569,2.2618558123410724
TP-GMM SE(2),5,20270818,keyed,circular_placebo,12.860750541118366,5.448146184893569,7.412604356224796
Generic RBF,5,20270818,keyed,circular_honest,6.60830422845637,5.918149239606568,0.6901549888498018
Generic RBF,5,20270818,keyed,circular_placebo,14.116593237495499,5.918149239606568,8.19844399788893
Full operator,5,20270818,keyed,circular_honest,6.149968303067895,3.8254532772177297,2.324515025850165
Full operator,5,20270818,keyed,circular_placebo,13.623118113640489,3.8254532772177297,9.79766483642276
Pdiag pointwise,5,20270818,keyed,circular_honest,4.448110683528204,2.1824541014294385,2.265656582098765
Pdiag pointwise,5,20270818,keyed,circular_placebo,12.52927037291483,2.1824541014294385,10.346816271485391
Pdiag finite,5,20270818,keyed,circular_honest,5.109968487827698,2.5422114126152584,2.5677570752124392
Pdiag finite,5,20270818,keyed,circular_placebo,12.840574700644131,2.5422114126152584,10.298363288028874
Frame-weighted,10,20270818,keyed,circular_honest,5.418073062153916,5.053751934965614,0.364321127188302
Frame-weighted,10,20270818,keyed,circular_placebo,13.546376895573665,5.053751934965614,8.492624960608051
Phase scalar GP,10,20270818,keyed,circular_honest,5.418048837080819,5.053856647725169,0.36419218935564945
Phase scalar GP,10,20270818,keyed,circular_placebo,13.546018251476132,5.053856647725169,8.492161603750963
TP-GMM additive,10,20270818,keyed,circular_honest,6.740391309044551,4.547280189146926,2.1931111198976243
TP-GMM additive,10,20270818,keyed,circular_placebo,12.839920130902785,4.547280189146926,8.292639941755859
TP-GMM SE(2),10,20270818,keyed,circular_honest,6.5674381133169994,4.3475845696567825,2.219853543660217
TP-GMM SE(2),10,20270818,keyed,circular_placebo,12.464751941437955,4.3475845696567825,8.117167371781171
Generic RBF,10,20270818,keyed,circular_honest,4.922942243069226,3.745005192735513,1.1779370503337132
Generic RBF,10,20270818,keyed,circular_placebo,12.78932577651296,3.745005192735513,9.044320583777449
Full operator,10,20270818,keyed,circular_honest,4.899639269866987,2.0976706238492806,2.8019686460177065
Full operator,10,20270818,keyed,circular_placebo,12.769520112710302,2.0976706238492806,10.671849488861021
Pdiag pointwise,10,20270818,keyed,circular_honest,4.278808487935769,1.9935910849635026,2.2852174029722665
Pdiag pointwise,10,20270818,keyed,circular_placebo,12.444078805037924,1.9935910849635026,10.45048772007442
Pdiag finite,10,20270818,keyed,circular_honest,4.854460099531436,2.117228573453703,2.737231526077733
Pdiag finite,10,20270818,keyed,circular_placebo,12.654835297921352,2.117228573453703,10.537606724467649
Frame-weighted,20,20270818,keyed,circular_honest,5.137431030348227,4.855944301960801,0.28148672838742606
Frame-weighted,20,20270818,keyed,circular_placebo,13.352354043097451,4.855944301960801,8.496409741136649
Phase scalar GP,20,20270818,keyed,circular_honest,5.1373832293834445,4.856038064994422,0.28134516438902235
Phase scalar GP,20,20270818,keyed,circular_placebo,13.352161875889607,4.856038064994422,8.496123810895185
TP-GMM additive,20,20270818,keyed,circular_honest,4.747348736064674,3.690371143706049,1.0569775923586247
