model,sample_size,seed,fit_task,eval_task,cross_task_error,in_task_error,mismatch_gap
TP-GMM SE(2),3,20260818,keyed,circular_honest,12.490940050745644,11.25332148052817,1.2376185702174745
TP-GMM SE(2),3,20260818,keyed,circular_placebo,16.462524803775242,11.25332148052817,5.209203323247072
TP-GMM SE(2),3,20270818,keyed,circular_honest,11.97118850403177,10.827453827674894,1.1437346763568765
TP-GMM SE(2),3,20270818,keyed,circular_placebo,15.950655332091536,10.827453827674894,5.123201504416642
TP-GMM SE(2),3,20280818,keyed,circular_honest,12.071161737467966,11.110812229311684,0.9603495081562823
TP-GMM SE(2),3,20280818,keyed,circular_placebo,16.438388615961795,11.110812229311684,5.327576386650112
TP-GMM SE(2),3,20260818,circular_honest,keyed,11.843311010272261,11.25332148052817,0.5899895297440914
TP-GMM SE(2),3,20260818,circular_honest,circular_placebo,14.986222756788194,11.25332148052817,3.7329012762600247
TP-GMM SE(2),3,20270818,circular_honest,keyed,12.257676563048939,10.827453827674894,1.4302227353740449
TP-GMM SE(2),3,20270818,circular_honest,circular_placebo,14.891691303395108,10.827453827674894,4.064237475720214
TP-GMM SE(2),3,20280818,circular_honest,keyed,12.649473192185773,11.110812229311684,1.53866096287409
TP-GMM SE(2),3,20280818,circular_honest,circular_placebo,15.749529835472353,11.110812229311684,4.63871760616067
TP-GMM SE(2),3,20260818,circular_placebo,keyed,16.828032473624777,11.25332148052817,5.574710993096607
TP-GMM SE(2),3,20260818,circular_placebo,circular_honest,15.2383417409401,11.25332148052817,3.9850202604119307
TP-GMM SE(2),3,20270818,circular_placebo,keyed,17.014016888963805,10.827453827674894,6.186563061288911
TP-GMM SE(2),3,20270818,circular_placebo,circular_honest,15.204922891028152,10.827453827674894,4.377469063353258
TP-GMM SE(2),3,20280818,circular_placebo,keyed,16.511143855234515,11.110812229311684,5.400331625922831
TP-GMM SE(2),3,20280818,circular_placebo,circular_honest,15.211267087835239,11.110812229311684,4.100454858523555
