task,seed,subset_id,protocol,sample_size,repeat,model,fit_success,fit_error,fit_seconds,alpha_pre,alpha_post,e_alpha,switch_detected,switch_status,switch_location
keyed,20260818,0,random,5,0,Frame-weighted,True,,0.0026958263479173183,0.7371028282869111,0.6744581543235861,0.349113651752011,False,right_censored,
keyed,20260818,0,random,5,0,Phase scalar GP,True,,0.23502756701782346,0.7371117536277345,0.674449926594936,0.34910053289661513,False,right_censored,
keyed,20260818,0,random,5,0,TP-GMM additive,True,,15.342474325094372,0.7351344896065303,0.35941900905556357,0.14010136438886356,True,detected,0.6091855006271185
keyed,20260818,0,random,5,0,TP-GMM SE(2),True,,14.299654823727906,0.7722770580821823,0.17987040601543117,0.1293566737561842,True,detected,0.5572821405451507
keyed,20260818,0,random,5,0,Generic RBF,True,,0.16733516426756978,0.8083025981010304,0.2315707126682312,0.16214857590806123,True,detected,0.608232002635325
keyed,20260818,0,random,5,0,Full operator,True,,0.0020906170830130577,0.8085079013975123,0.23163353611118254,0.16221315127246239,True,detected,0.6078702385632143
keyed,20260818,0,random,5,0,Pdiag pointwise,True,,0.007964495103806257,0.8086198762918652,0.21659209488934025,0.15982921190622826,True,detected,0.6050673174280811
keyed,20260818,0,random,5,0,Pdiag finite,True,,1.5836911229416728,0.7723470327816792,0.2379137346040498,0.17973822284745677,True,detected,0.6070164102376676
keyed,20260818,1,random,5,1,Frame-weighted,True,,0.006362568121403456,0.7604577042028631,0.7529196858437056,0.38504304340522516,False,right_censored,
keyed,20260818,1,random,5,1,Phase scalar GP,True,,0.17455591913312674,0.7604601496547266,0.7529180812432062,0.3850359000836498,False,right_censored,
keyed,20260818,1,random,5,1,TP-GMM additive,True,,13.57666938425973,0.7024921591902317,0.14271622505671988,0.10575522981828371,True,detected,0.532471292954627
keyed,20260818,1,random,5,1,TP-GMM SE(2),True,,13.661847339943051,0.7016543062689883,0.1422345890135742,0.11622176679079614,True,detected,0.5324587356141747
keyed,20260818,1,random,5,1,Generic RBF,True,,0.5282950852997601,0.8119792271787165,0.21877926569896974,0.1565787401439741,True,detected,0.6034755054513962
keyed,20260818,1,random,5,1,Full operator,True,,0.002177888061851263,0.8121009371886685,0.21881341789674752,0.1566215747088702,True,detected,0.602783168964041
keyed,20260818,1,random,5,1,Pdiag pointwise,True,,0.008120330050587654,0.8108491196836546,0.21482336038829508,0.1563176476809516,True,detected,0.6012751128893404
keyed,20260818,1,random,5,1,Pdiag finite,True,,1.8448797892779112,0.7670962505181042,0.23500247433964838,0.1755873353427419,True,detected,0.6034272660722462
keyed,20260818,2,random,5,2,Frame-weighted,True,,0.006283144000917673,0.6618627631390559,0.696388044416183,0.41855907676011206,False,right_censored,
keyed,20260818,2,random,5,2,Phase scalar GP,True,,0.26867826003581285,0.6618814960573414,0.6963711556504656,0.4185265841145356,False,right_censored,
keyed,20260818,2,random,5,2,TP-GMM additive,True,,13.614215210080147,0.4896454625028064,0.3911836368187054,0.22962062972837446,False,left_censored,
keyed,20260818,2,random,5,2,TP-GMM SE(2),True,,13.164731939788908,0.5904964532412736,0.25965495103719816,0.16176768037282158,False,left_censored,
keyed,20260818,2,random,5,2,Generic RBF,True,,0.5638881553895772,0.7464718284438212,0.36753272947248183,0.17545773960788424,True,detected,0.6258203815714463
keyed,20260818,2,random,5,2,Full operator,True,,0.002099181991070509,0.8116337941741019,0.405975204239537,0.19269096794567364,True,detected,0.6384811519101514
keyed,20260818,2,random,5,2,Pdiag pointwise,True,,0.007805882021784782,0.8130283014511269,0.3039954568398655,0.16791293837972737,True,detected,0.6141502532159392
keyed,20260818,2,random,5,2,Pdiag finite,True,,2.58191919606179,0.7850493364479826,0.31441895649079726,0.17901147831804162,True,detected,0.6159661372625148
keyed,20260818,3,qualified,5,0,Frame-weighted,True,,0.006320047192275524,0.5860704822645549,0.6995766770275993,0.5081410272630557,False,right_censored,
