model,task,sample_size,e_alpha_mean,e_alpha_total_std,e_alpha_seed_std,e_alpha_subset_std,e_alpha_max,e_alpha_hallucination_rate,alpha_pre_mean,alpha_pre_total_std,alpha_pre_max
Frame-weighted,circular_honest,5,0.2995214165173095,0.06260687321798482,0.0093223239618419,0.062122367489640264,0.404455337237896,1.0,0.3833334587358848,0.10871731964993692,0.5347772843941924
Frame-weighted,circular_honest,10,0.2624133851361823,0.05225447449515497,0.004155255022392111,0.0521588035242633,0.3649794340099677,1.0,0.3774314690771075,0.05327705618923397,0.4861709388437656
Frame-weighted,circular_honest,20,0.26210116136186035,0.01348686712462942,0.0039048815219414807,0.013416933577008475,0.2926123034647013,1.0,0.3956689216841386,0.02402466780380858,0.4495717045538442
Frame-weighted,circular_placebo,5,0.32179890265967,0.06344219354890908,0.015267946561415979,0.06205709569742079,0.4825854205645054,1.0,0.4984548379031338,0.07366198731478373,0.6711947251869123
Frame-weighted,circular_placebo,10,0.2891445688514465,0.0601250309351099,0.006807125756799176,0.060040224092758866,0.4116950750801126,1.0,0.4740505763163386,0.05579154395132565,0.5777889499073633
Frame-weighted,circular_placebo,20,0.2839550474612606,0.016359473872082145,0.003727968171879349,0.015868589172077494,0.3194488460201694,1.0,0.4711459599120016,0.016340079925050915,0.5043606263257484
Frame-weighted,keyed,5,0.44153148263964614,0.13648052032074215,0.041491087268135024,0.12810340982790627,0.6965690895210507,1.0,0.6581204883138929,0.127381735969357,0.8058165663851072
Frame-weighted,keyed,10,0.3657179696398165,0.06528651182075024,0.017860518718444896,0.06411157510918715,0.4875960149661776,1.0,0.7120785574034336,0.05703634338915847,0.7954157980482905
Frame-weighted,keyed,20,0.33772960133898144,0.02209990703481768,0.005602972182341524,0.022054071671366023,0.3887234832762974,1.0,0.7396047724535645,0.02548707667064095,0.776288887339078
Full operator,circular_honest,5,0.06209700235828995,0.25312263386535866,0.08691977345702846,0.13813466052841342,1.1057395387335829,0.05555555555555555,0.0034798835188952124,0.017745860711727908,0.0562656749199131
Full operator,circular_honest,10,0.0001856189941722349,0.00042437151044242785,0.00015991002367902085,0.000284530930471377,0.0018768846848517,0.0,0.0015342107976623889,0.004448467155894009,0.0088878574051778
Full operator,circular_honest,20,0.00016005834673319742,0.0002206611105634775,0.00018199920219462242,8.58025459305152e-05,0.0008749463290228,0.0,0.0018003841500177776,0.0030407948247802106,0.0067461482372924
Full operator,circular_placebo,5,0.004979546672444369,0.016260362117544593,0.006232982486897951,0.009363964492939943,0.0718078306016454,0.0,0.008881881221590535,0.012093520055967205,0.0429598345400271
Full operator,circular_placebo,10,0.0018026483427566072,0.0037462103281529118,0.002381083107430045,0.0017320592218270363,0.0116019230171563,0.0,6.0048991016111125e-05,0.0045996772433488705,0.009979799882537
Full operator,circular_placebo,20,0.0005801928550243654,0.0009903732633641765,0.0007639179560670982,0.00039721488848182626,0.0027472359976606,0.0,0.0005074292676097483,0.0013644138982088058,0.0036975303956687
Full operator,keyed,5,0.1693921971288611,0.023183020680096707,0.014893473974372871,0.021007079246005794,0.249087067689966,1.0,0.8076217461951338,0.01712036698721601,0.8346022479931803
Full operator,keyed,10,0.16037534055368333,0.00914083944812509,0.006265385445931799,0.0067924979739675635,0.1720149972932259,1.0,0.81258582650548,0.009995316440572407,0.8304713499236047
Full operator,keyed,20,0.1588266268103721,0.002037739191404181,0.0015498522920642155,0.0016406107075260506,0.1617582442376038,1.0,0.813149493696866,0.003567714653393064,0.8205512563991297
Generic RBF,circular_honest,5,0.0003165049684927872,0.0005794864584999015,0.00033166723295682213,0.0004876262929990782,0.0020275911575002,0.0,0.002997140467167898,0.009896684502210037,0.0257082451488403
Generic RBF,circular_honest,10,8.448848967461792e-05,0.0001575859816716476,7.457696174787025e-05,9.88067705291902e-05,0.0006992369427282,0.0,0.0016924949595986613,0.003843399172769635,0.0074080700521731
Generic RBF,circular_honest,20,7.81920730949847e-05,8.58765507525403e-05,7.48301135213546e-05,3.482305978767179e-05,0.0003194762608639,0.0,0.0017370256029179449,0.0028742305143076917,0.0063285030309346
Generic RBF,circular_placebo,5,0.004697553915076715,0.016011380969330965,0.006052471545937726,0.00909284677141032,0.0705698429972629,0.0,0.008600593966382429,0.011908631256402288,0.0426656589797063
Generic RBF,circular_placebo,10,0.001622259184109968,0.0033968663950161783,0.0021381745489262994,0.0015821590587709773,0.0107699490325794,0.0,8.655995239258887e-05,0.004550111585541594,0.0099800224775659
Generic RBF,circular_placebo,20,0.0005699985540563266,0.000974866118907983,0.0007510326350976024,0.0003919463562836811,0.0027215634369107,0.0,0.0005068138495283376,0.0013651202694263391,0.0036975666087159
Generic RBF,keyed,5,0.16290367596308422,0.01727662600232047,0.011743609731614984,0.016528713666024424,0.2153359326710739,1.0,0.7818888955182797,0.027195959986229014,0.8287372952056193
Generic RBF,keyed,10,0.15940430526177377,0.00868557980286402,0.005796665807990552,0.006525160866960721,0.1714291188371428,1.0,0.8095779650845066,0.010748037415457306,0.8301073270272835
Generic RBF,keyed,20,0.15860895770222835,0.0020580932719341575,0.0016386110980550395,0.0015846987782648524,0.1617578638153443,1.0,0.8124622739488978,0.0034138044878729364,0.8205566305220309
Pdiag finite,circular_honest,5,0.007688054310719333,0.011395199844838404,0.006069261518720698,0.008511132501854696,0.0450036064023398,0.0,0.047212553329853996,0.03447830257978541,0.1172998959352551
Pdiag finite,circular_honest,10,0.0032005909243976003,0.00529055778621966,0.0022212313128355944,0.003934080303183328,0.0219443565920618,0.0,0.034281099606924034,0.024591373346059688,0.0992529402750835
Pdiag finite,circular_honest,20,0.0016078868215249889,0.0007953411005107559,0.0006243125270112646,0.000686826233249094,0.0035068504927333,0.0,0.031153628083849836,0.010802538688939562,0.0521742683480484
Pdiag finite,circular_placebo,5,0.004915112111586384,0.015922590584852722,0.006354325359304236,0.009810282200865949,0.0700875250741584,0.0,0.01903702587648722,0.013808067760425754,0.0565510040340546
Pdiag finite,circular_placebo,10,0.0018442158697385888,0.002699968204179631,0.0017296101790395043,0.0014993198292268912,0.0110352142582148,0.0,0.020882340302422187,0.004717339826367799,0.0285020662179936
Pdiag finite,circular_placebo,20,0.0014777320403155168,0.0009826084206527883,0.0008225540731781815,0.0005417183635504014,0.0035122376818738,0.0,0.024865557639364495,0.0028019353955578245,0.0333100723239715
Pdiag finite,keyed,5,0.17676758165301718,0.02549481040981931,0.01208203522244553,0.020011733751643123,0.2427303727311816,1.0,0.7802402127170313,0.050697806557567095,0.8616522899055731
Pdiag finite,keyed,10,0.17843140108929065,0.01410391414261071,0.00735995362237011,0.012367114249498512,0.2069309735224235,1.0,0.7747770842746183,0.030641693977321912,0.8445327080246323
Pdiag finite,keyed,20,0.18019970126451568,0.00600452612953105,0.004251690502188943,0.0045916958843928365,0.1947171482987397,1.0,0.7661363931079666,0.012120575557498783,0.7892605239215951
Pdiag pointwise,circular_honest,5,0.0007706487021652026,0.0024795899609972227,0.0008892774269781129,0.0014300073211300668,0.0109687378983339,0.0,0.004010538001411161,0.009486177878901108,0.0200022870653424
Pdiag pointwise,circular_honest,10,7.697440157766125e-05,8.603365590368985e-05,4.1078412132622255e-05,6.750848096152667e-05,0.0003702978756562,0.0,0.0034500112697727556,0.004269382239870511,0.0102719532071078
Pdiag pointwise,circular_honest,20,0.00012956522520599087,0.00014977136310889756,0.00013960192838023062,4.118959736902074e-05,0.0004902936408776,0.0,0.0021519573401687503,0.0030664536698611824,0.0064130873974229
Pdiag pointwise,circular_placebo,5,0.0039664360198855666,0.01570501681263754,0.005497583264867469,0.008647951486412552,0.0687164642821881,0.0,0.00037775622817720546,0.0050512293434557,0.0140214418392843
Pdiag pointwise,circular_placebo,10,0.0010667045804414307,0.0025289612820040535,0.0014331202615638482,0.001249007835165949,0.0102200428253556,0.0,-2.695823411455594e-06,0.00359726664282184,0.0102053498032895
Pdiag pointwise,circular_placebo,20,0.0004551163731245411,0.0007621743063981127,0.0005788612329385907,0.00030438439465323386,0.0021091683416358,0.0,0.000500381771022198,0.0013347148516301105,0.0029449736808097
Pdiag pointwise,keyed,5,0.15943296738450372,0.007849417293475748,0.00441330561974301,0.006362240805157313,0.1859219769997586,1.0,0.8147673602836026,0.00990901656055582,0.83059808535532
Pdiag pointwise,keyed,10,0.15934370547130575,0.00580764586316014,0.0037311354237542136,0.004348253984938422,0.1680694518600842,1.0,0.8147374261405382,0.005511068636767527,0.8307618572127288
Pdiag pointwise,keyed,20,0.15829755863673883,0.0018739645670107212,0.0015329374081967332,0.0014265646527455694,0.1612133161557345,1.0,0.813663259506328,0.0032926279347873953,0.8209448499162453
Phase scalar GP,circular_honest,5,0.29950017405361123,0.06260211798817616,0.009322201411457069,0.06211730214654735,0.4044345160139202,1.0,0.3833232995862182,0.10871999792543241,0.5348196642538829
Phase scalar GP,circular_honest,10,0.2624038388949753,0.05225516337363398,0.004154318502922897,0.05215969305986782,0.3649654642324786,1.0,0.37744060077896824,0.053279625146184235,0.48619339936829
Phase scalar GP,circular_honest,20,0.262093891097892,0.013488264618404699,0.0039057160648848046,0.013418295629457172,0.2926108244938061,1.0,0.3956733631891435,0.024024658064452895,0.4495579744104395
Phase scalar GP,circular_placebo,5,0.32174847109153026,0.0634390348874216,0.015257531792593036,0.062057943185710736,0.4825781774960512,1.0,0.4984762645099927,0.07366390138018478,0.6711992904553175
Phase scalar GP,circular_placebo,10,0.28913073386885163,0.06012363794593453,0.006808136783770842,0.06003885951090901,0.4116739320568847,1.0,0.474054650925428,0.05578221709963394,0.577785912058447
Phase scalar GP,circular_placebo,20,0.2839458638967034,0.016357653755476136,0.0037269701384865014,0.015867052590181317,0.3194415786261945,1.0,0.47115039014159443,0.016343871544451976,0.5043563401374273
Phase scalar GP,keyed,5,0.44150358367719295,0.1364501553583833,0.04147874755950524,0.12807951421118455,0.6965761614013549,1.0,0.6581233252394896,0.12736937159039458,0.8057100076922424
Phase scalar GP,keyed,10,0.36571733740217743,0.06527819613405275,0.01786191452713275,0.06410264801056653,0.4875887388419682,1.0,0.7120706941069215,0.057025733564016835,0.7953719012687372
Phase scalar GP,keyed,20,0.3377279919079007,0.022103627260272214,0.005605606306256569,0.02205732588523232,0.3887428006374746,1.0,0.7396032348880146,0.025489691798003714,0.7762962867313666
TP-GMM SE(2),circular_honest,5,0.006815963255104416,0.015458836605396596,0.00861477861577567,0.012605491466077251,0.0589643586185519,0.0,0.03577346757293473,0.06326795228609687,0.2339937955544479
TP-GMM SE(2),circular_honest,10,0.00013170538614795796,0.00038003205532049735,0.0001426521722021928,0.00022863462825534493,0.0016913990597394,0.0,0.003428431421099878,0.0049632716725656984,0.0221081284729926
TP-GMM SE(2),circular_honest,20,0.0005683490015142606,0.0008811202670562982,0.0007225453198048616,0.0003286463939154566,0.0028631105757293,0.0,0.004897350984007961,0.003951470998749545,0.0140813334821939
TP-GMM SE(2),circular_placebo,5,0.0003543719464913037,0.0009787859689552485,0.00037020974727223436,0.0005917069195794923,0.0043754402031166,0.0,0.006996730985677995,0.004415493158785919,0.0164137686607924
TP-GMM SE(2),circular_placebo,10,0.0008042441597607308,0.0016606280417737994,0.001012604749858953,0.0009601105061591663,0.0067548074825784,0.0,0.011488357803369684,0.009769735878115311,0.039081464671676
TP-GMM SE(2),circular_placebo,20,0.00037925806281300387,0.0007514846525416538,0.0004411540210732179,0.0003771399983908111,0.0028273109766656,0.0,0.005677082510725912,0.002913891521156967,0.0122216561870682
TP-GMM SE(2),keyed,5,0.1348057849427369,0.03826862277025681,0.02050692524588586,0.03281498334643376,0.270777793444809,1.0,0.6866392785620614,0.06773647558345461,0.8026660488517665
TP-GMM SE(2),keyed,10,0.15502492554212383,0.03200636847118233,0.012391138986296976,0.03053989338918006,0.2403493285767853,1.0,0.7872431331859217,0.06192228412311587,0.8235757466602449
TP-GMM SE(2),keyed,20,0.14208894056790966,0.005909513972123769,0.004680057422697389,0.004932417520433452,0.1548411098799393,1.0,0.8050648660559129,0.009925250960037532,0.8253751149903
TP-GMM additive,circular_honest,5,0.0006897387087571912,0.0012869911355410347,0.0006500469438121154,0.0012773093198281146,0.0038670630368722,0.0,0.011835476425587799,0.012157611489168276,0.0452925349103725
TP-GMM additive,circular_honest,10,0.00014312144175808355,0.0004893310047940345,0.0001815381096578896,0.00028685003675522875,0.0021549150492203,0.0,0.005231550045749495,0.006899544033656454,0.0314093732463311
TP-GMM additive,circular_honest,20,0.0005919278383298556,0.0009012216684771916,0.000800517054138686,0.000269589779940254,0.00277154091753,0.0,0.0025468290913298053,0.0029260258801300986,0.0135073477988131
TP-GMM additive,circular_placebo,5,0.001016488967984455,0.001664408888477803,0.00040481641382241975,0.0016387011687793434,0.0043528290017014,0.0,0.015648855707840262,0.014800597977011741,0.0479575197845092
TP-GMM additive,circular_placebo,10,0.0005232520359422261,0.0012550053322977468,0.0006644515952066626,0.0007098773719660979,0.0053483785939776,0.0,0.011259225899294827,0.012806226125381598,0.0615918351376333
TP-GMM additive,circular_placebo,20,0.0005218300414080208,0.0009691143479508338,0.0006384932263895582,0.0005289013093397726,0.0036269259971865,0.0,0.007112445777078523,0.0029372625451925456,0.0135308928981213
TP-GMM additive,keyed,5,0.13947881101732545,0.05587979626810172,0.015089364224738597,0.05404537429341456,0.2502139947019382,0.8333333333333334,0.6426390165252767,0.09633263507407253,0.8199119531958311
