seed,subset_id,sample_size,variant,component_candidates,cv_n_init,final_n_init,fit_success,fit_error,fit_seconds,task_error_mean_mm_equiv,n_components
20280818,20,5,expanded-K,"(2, 3, 4)",2,5,True,,0.5612949822098017,9.311246234525237,2
20280818,20,5,full-EM,"(2, 3, 4)",5,10,True,,1.2164703821763396,9.311246234525237,2
20280818,21,5,expanded-K,"(2, 3, 4)",2,5,True,,0.4934421991929412,10.085964451494997,2
20280818,21,5,full-EM,"(2, 3, 4)",5,10,True,,2.8786206487566233,10.085964451494997,2
20280818,22,5,expanded-K,"(2, 3, 4)",2,5,True,,2.7669401387684047,9.807648117171752,2
20280818,22,5,full-EM,"(2, 3, 4)",5,10,True,,6.873430016916245,9.807648117171752,2
20280818,23,5,expanded-K,"(2, 3, 4)",2,5,True,,1.7915136339142919,9.892377822301835,2
20280818,23,5,full-EM,"(2, 3, 4)",5,10,True,,5.56142177991569,9.892377822301835,2
20280818,24,5,expanded-K,"(2, 3, 4)",2,5,True,,2.1799520538188517,9.413861171590783,2
20280818,24,5,full-EM,"(2, 3, 4)",5,10,True,,4.695716063026339,9.413861171590783,2
20280818,60,10,expanded-K,"(2, 3, 4, 6, 8)",2,5,True,,7.629179120063782,9.62138845059567,2
20280818,61,10,expanded-K,"(2, 3, 4, 6, 8)",2,5,True,,14.468732879962772,8.789628081848821,3
20280818,62,10,expanded-K,"(2, 3, 4, 6, 8)",2,5,True,,11.597220167983323,10.086254379928292,3
20280818,63,10,expanded-K,"(2, 3, 4, 6, 8)",2,5,True,,8.603552124928683,5.359082308959288,3
20280818,64,10,expanded-K,"(2, 3, 4, 6, 8)",2,5,True,,11.33367939805612,4.683336700326132,6
