sample_size,model,task_error_mean_over_subset_means,between_subset_sd,subset_count
5,Pdiag finite,2.7087826768898813,0.24899647126754249,5
5,Full operator,4.109341696373443,1.9345242743084117,5
5,Generic RBF,5.91460413386349,3.06233216655509,5
10,Pdiag finite,2.670259108364928,0.26270066805545705,5
10,Full operator,3.9371490434797485,1.100561687348125,5
10,Generic RBF,5.266161583831019,1.3821633878846946,5
20,Pdiag finite,2.4343912237501746,0.09464451332852045,5
20,Full operator,3.28365778324281,0.30952917819970033,5
20,Generic RBF,4.020850645293711,0.46667048329662825,5
30,Pdiag finite,2.385578162368333,,1
30,Full operator,3.074994646842822,,1
30,Generic RBF,3.6296485866556987,,1
5,TP-GMM SE(2),7.58306855050039,2.975093800906864,5
10,TP-GMM SE(2),4.4283680975429895,0.4481280858575879,5
20,TP-GMM SE(2),3.7837952199194804,0.3953549744828206,5
30,TP-GMM SE(2),3.4556683892794675,,1
