phase,phase_code,phase_progress,global_bin,alpha_x,alpha_y,alpha_yaw,alpha_x_ci_low,alpha_x_ci_high,alpha_y_ci_low,alpha_y_ci_high,alpha_yaw_ci_low,alpha_yaw_ci_high,off_diagonal_fro
Align keyed,3,0.0,0,0.049886617357317455,-0.02085111761289407,0.03500774325267919,-0.03477190333111969,0.09992003815091584,-0.13725304307200833,0.07878249907853996,-0.014924571918227358,0.07674733802259824,2.3704287566800786
Align keyed,3,0.041666666666666664,1,0.05166267407744449,-0.01580027884068557,0.038804106838522756,-0.028514955684020564,0.09668321554991469,-0.12923770285683336,0.08291608403486966,-0.010950976880311391,0.08052440301979266,2.3636279753614096
Align keyed,3,0.08333333333333333,2,0.06548553122569942,0.008295533576912461,0.053610579960010174,-0.0017667620454371803,0.10805065061385566,-0.09300432108140587,0.10663438749873985,0.005200463368084139,0.0946745796866175,2.3252876496447388
Align keyed,3,0.125,3,0.08696834472646503,0.055945305252486616,0.08205710863092186,0.00347928252151715,0.16551551327516884,-0.036150545945434584,0.15275904931745773,0.03559297846809085,0.12180279594522649,2.2276579159908083
Align keyed,3,0.16666666666666666,4,0.12613171687350247,0.1302896608481466,0.12483170684290767,-0.01970267352187567,0.28066775910319675,0.009016538246879337,0.2620399832024071,0.08166808216334037,0.1626348386583461,2.092097445295225
Align keyed,3,0.20833333333333334,5,0.17883461141893395,0.22426655526692651,0.1817161305056636,-0.044501142624186876,0.43115130680682845,0.03225726252644179,0.4299850250902395,0.14144879690753187,0.2178852701844369,1.9248259318768617
Align keyed,3,0.25,6,0.2532362658033576,0.3265189716061497,0.25275114518086395,-0.06638103685078996,0.6274352731471305,0.040871747663425134,0.6094063527550656,0.21509467917796884,0.28616725305374124,1.734667804489825
Align keyed,3,0.2916666666666667,7,0.3447954116166266,0.4328484633863383,0.3372960187246221,-0.06603935763335687,0.8173649098281435,0.06450245534681545,0.7947200348634537,0.3021978378032513,0.3690957675932096,1.5340235197155627
Align keyed,3,0.3333333333333333,8,0.42614402162954473,0.5346082603754714,0.4306909160328867,-0.05425469927760966,0.9724718759679115,0.10205635860387813,0.9614262517835127,0.39664929225199763,0.45976892674732706,1.3157458073761035
Align keyed,3,0.375,9,0.48542254797348594,0.616148176190603,0.5286498773961898,-0.0351651184976743,1.0668938046525516,0.12755057923995156,1.085739999694649,0.4975182471024009,0.5551039510652382,1.1576147037590545
Align keyed,3,0.4166666666666667,10,0.5622035962505098,0.7051272296694432,0.624733354356983,0.06704355635172962,1.1351267225981014,0.20473062569144657,1.1936466537657555,0.5978088834109732,0.6488642692770843,0.9612337288967833
Align keyed,3,0.4583333333333333,11,0.6706994585342604,0.79899896288524,0.7152927136948823,0.21934936868158658,1.1909660317152537,0.34016377060888303,1.2624782874386702,0.6929322248397154,0.736833673754273,0.8126733419017182
Align keyed,3,0.5,12,0.7717886428955983,0.8776098159318149,0.7949740317045724,0.3782710498305135,1.2177347152906357,0.4800535362505214,1.2825519632210938,0.7770843086218452,0.8131840963016939,0.6834437905536155
Align keyed,3,0.5416666666666666,13,0.8526790130449247,0.9409338475520108,0.8606989736773938,0.5281382305331849,1.20875082421448,0.6078361950338693,1.2791595863683252,0.8469351629248337,0.8745954387200957,0.5587693091030247
Align keyed,3,0.5833333333333334,14,0.911126899116008,0.990803282702026,0.9125602160413089,0.6569925930205937,1.1830386370794375,0.7347348548059983,1.2525454682311579,0.902172074741248,0.9227318217068962,0.4417617011946471
