x,y,z,reachable,last_phase,error,ik_distance
-0.02,-0.15,0.18,False,initial,RuntimeError('motion planning failed'),0.463763
-0.02,-0.15,0.23,False,initial,RuntimeError('motion planning failed'),0.402
-0.02,-0.15,0.28,False,initial,RuntimeError('motion planning failed'),0.344294
-0.02,-0.15,0.33,False,initial,RuntimeError('motion planning failed'),1.08604
-0.02,-0.1,0.18,False,initial,RuntimeError('motion planning failed'),0.436442
-0.02,-0.1,0.23,False,initial,RuntimeError('motion planning failed'),0.646674
-0.02,-0.1,0.28,False,initial,RuntimeError('motion planning failed'),0.358512
-0.02,-0.1,0.33,False,initial,RuntimeError('motion planning failed'),0.673334
-0.02,-0.05,0.18,False,initial,RuntimeError('motion planning failed'),1.258962
-0.02,-0.05,0.23,False,initial,RuntimeError('motion planning failed'),0.323211
-0.02,-0.05,0.28,False,initial,RuntimeError('motion planning failed'),
-0.02,-0.05,0.33,False,initial,RuntimeError('motion planning failed'),0.481871
-0.02,0.0,0.18,False,initial,RuntimeError('motion planning failed'),0.533848
-0.02,0.0,0.23,False,initial,RuntimeError('motion planning failed'),0.378196
-0.02,0.0,0.28,False,initial,RuntimeError('motion planning failed'),
-0.02,0.0,0.33,False,initial,RuntimeError('motion planning failed'),0.976605
-0.02,0.05,0.18,False,initial,RuntimeError('motion planning failed'),0.281634
-0.02,0.05,0.23,False,initial,RuntimeError('motion planning failed'),1.08089
-0.02,0.05,0.28,False,initial,RuntimeError('motion planning failed'),0.323403
-0.02,0.05,0.33,False,initial,RuntimeError('motion planning failed'),0.379777
-0.02,0.1,0.18,False,initial,RuntimeError('motion planning failed'),0.420666
-0.02,0.1,0.23,False,initial,RuntimeError('motion planning failed'),0.657126
-0.02,0.1,0.28,False,initial,RuntimeError('motion planning failed'),0.285518
-0.02,0.1,0.33,False,initial,RuntimeError('motion planning failed'),1.020883
0.03,-0.15,0.18,False,initial,RuntimeError('motion planning failed'),0.722666
0.03,-0.15,0.23,False,initial,RuntimeError('motion planning failed'),0.705419
0.03,-0.15,0.28,False,initial,RuntimeError('motion planning failed'),0.450417
0.03,-0.15,0.33,False,initial,RuntimeError('motion planning failed'),
0.03,-0.1,0.18,False,initial,RuntimeError('motion planning failed'),0.750613
0.03,-0.1,0.23,False,initial,RuntimeError('motion planning failed'),0.443321
