x,y,z,reachable_Q1,reachable_Q2,common_feasible,margin_m
-0.45,-0.15,0.08,False,False,False,-1.0
-0.45,-0.15,0.13,False,False,False,-1.0
-0.45,-0.15,0.18,True,False,False,-1.0
-0.45,-0.15,0.23,True,True,True,0.0
-0.45,-0.1,0.08,False,True,False,-1.0
-0.45,-0.1,0.13,False,False,False,-1.0
-0.45,-0.1,0.18,False,False,False,-1.0
-0.45,-0.1,0.23,True,False,False,-1.0
-0.45,-0.05,0.08,False,True,False,-1.0
-0.45,-0.05,0.13,False,True,False,-1.0
-0.45,-0.05,0.18,False,False,False,-1.0
-0.45,-0.05,0.23,True,True,True,0.0
-0.45,0.0,0.08,False,True,False,-1.0
-0.45,0.0,0.13,False,True,False,-1.0
-0.45,0.0,0.18,False,True,False,-1.0
-0.45,0.0,0.23,True,True,True,0.0
-0.45,0.05,0.08,False,False,False,-1.0
-0.45,0.05,0.13,False,True,False,-1.0
-0.45,0.05,0.18,False,True,False,-1.0
-0.45,0.05,0.23,True,True,True,0.0
-0.45,0.1,0.08,False,True,False,-1.0
-0.45,0.1,0.13,False,True,False,-1.0
-0.45,0.1,0.18,False,False,False,-1.0
-0.45,0.1,0.23,True,False,False,-1.0
-0.4,-0.15,0.08,False,False,False,-1.0
-0.4,-0.15,0.13,True,False,False,-1.0
-0.4,-0.15,0.18,True,False,False,-1.0
-0.4,-0.15,0.23,True,False,False,-1.0
-0.4,-0.1,0.08,False,True,False,-1.0
-0.4,-0.1,0.13,False,True,False,-1.0
-0.4,-0.1,0.18,True,False,False,-1.0
-0.4,-0.1,0.23,True,False,False,-1.0
-0.4,-0.05,0.08,False,True,False,-1.0
-0.4,-0.05,0.13,False,True,False,-1.0
-0.4,-0.05,0.18,True,True,True,0.0
-0.4,-0.05,0.23,True,True,True,0.0
-0.4,0.0,0.08,False,True,False,-1.0
-0.4,0.0,0.13,False,True,False,-1.0
-0.4,0.0,0.18,True,False,False,-1.0
-0.4,0.0,0.23,True,True,True,0.0
-0.4,0.05,0.08,False,True,False,-1.0
-0.4,0.05,0.13,False,True,False,-1.0
-0.4,0.05,0.18,False,True,False,-1.0
-0.4,0.05,0.23,True,False,False,-1.0
-0.4,0.1,0.08,False,True,False,-1.0
-0.4,0.1,0.13,False,True,False,-1.0
-0.4,0.1,0.18,True,True,True,0.0
-0.4,0.1,0.23,True,True,True,0.0
-0.35,-0.15,0.08,True,False,False,-1.0
-0.35,-0.15,0.13,True,True,True,0.0
-0.35,-0.15,0.18,True,False,False,-1.0
-0.35,-0.15,0.23,True,False,False,-1.0
-0.35,-0.1,0.08,True,True,True,0.0
-0.35,-0.1,0.13,True,True,True,0.05
-0.35,-0.1,0.18,True,True,True,0.0
-0.35,-0.1,0.23,True,True,True,0.0
-0.35,-0.05,0.08,True,True,True,0.05
-0.35,-0.05,0.13,True,False,False,-1.0
-0.35,-0.05,0.18,True,True,True,0.0
-0.35,-0.05,0.23,True,True,True,0.0
-0.35,0.0,0.08,False,True,False,-1.0
-0.35,0.0,0.13,True,True,True,0.0
-0.35,0.0,0.18,True,True,True,0.0
-0.35,0.0,0.23,True,True,True,0.0
-0.35,0.05,0.08,False,True,False,-1.0
-0.35,0.05,0.13,True,False,False,-1.0
-0.35,0.05,0.18,True,True,True,0.0
-0.35,0.05,0.23,True,True,True,0.0
-0.35,0.1,0.08,True,True,True,0.05
-0.35,0.1,0.13,True,True,True,0.0
-0.35,0.1,0.18,True,True,True,0.0
-0.35,0.1,0.23,True,True,True,0.0
-0.3,-0.15,0.08,False,True,False,-1.0
-0.3,-0.15,0.13,False,False,False,-1.0
-0.3,-0.15,0.18,True,False,False,-1.0
-0.3,-0.15,0.23,False,False,False,-1.0
-0.3,-0.1,0.08,True,True,True,0.0
-0.3,-0.1,0.13,True,True,True,0.04999999999999999
-0.3,-0.1,0.18,True,False,False,-1.0
-0.3,-0.1,0.23,True,False,False,-1.0
-0.3,-0.05,0.08,True,True,True,0.05
-0.3,-0.05,0.13,True,True,True,0.0
-0.3,-0.05,0.18,True,True,True,0.0
-0.3,-0.05,0.23,True,True,True,0.0
-0.3,0.0,0.08,True,False,False,-1.0
-0.3,0.0,0.13,True,True,True,0.0
-0.3,0.0,0.18,True,True,True,0.0
-0.3,0.0,0.23,True,False,False,-1.0
-0.3,0.05,0.08,True,True,True,0.0
-0.3,0.05,0.13,True,True,True,0.04999999999999999
-0.3,0.05,0.18,True,True,True,0.0
-0.3,0.05,0.23,True,True,True,0.0
-0.3,0.1,0.08,True,True,True,0.05
-0.3,0.1,0.13,True,False,False,-1.0
-0.3,0.1,0.18,True,True,True,0.0
-0.3,0.1,0.23,True,False,False,-1.0
