context,seed,first_attempt,eventual,retries_used,last_phase
zero,20260818,True,True,1,circular_insert
zero,20270818,True,True,1,circular_insert
zero,20280818,True,True,1,circular_insert
du+,20260818,True,True,1,circular_insert
du+,20270818,True,True,1,circular_insert
du+,20280818,True,True,1,circular_insert
du-,20260818,True,True,1,circular_insert
du-,20270818,True,True,1,circular_insert
du-,20280818,True,True,1,circular_insert
dv+,20260818,True,True,1,circular_insert
dv+,20270818,True,True,1,circular_insert
dv+,20280818,True,True,1,circular_insert
dv-,20260818,True,True,1,circular_insert
dv-,20270818,True,True,1,circular_insert
dv-,20280818,True,True,1,circular_insert
dpsi+,20260818,True,True,1,circular_insert
dpsi+,20270818,True,True,1,circular_insert
dpsi+,20280818,True,True,1,circular_insert
dpsi-,20260818,True,True,1,circular_insert
dpsi-,20270818,True,True,1,circular_insert
dpsi-,20280818,True,True,1,circular_insert
